REGION,YEAR,IndicatorCode,NumericValue
EUR,2018,AMRGLASS_COORD01,1.0
AFR,2018,AMRGLASS_COORD01,4.0
SEAR,2018,AMRGLASS_COORD01,4.0
AMR,2018,AMRGLASS_COORD01,2.0
AFR,2018,AMRGLASS_COORD01,9.0
EUR,2018,AMRGLASS_COORD01,8.0
WPR,2018,AMRGLASS_COORD01,6.0
EUR,2018,AMRGLASS_COORD01,13.0
SEAR,2018,AMRGLASS_COORD01,4.0
AFR,2018,AMRGLASS_COORD01,1.0
EMR,2018,AMRGLASS_COORD01,1.0
EMR,2018,AMRGLASS_COORD01,11.0
AMR,2018,AMRGLASS_COORD01,1.0
EMR,2018,AMRGLASS_COORD01,2.0
EUR,2017,AMRGLASS_COORD02,3.7037
AFR,2019,AMRGLASS_COORD02,8.51064
AMR,2017,AMRGLASS_COORD02,0.0
AMR,2020,AMRGLASS_COORD02,0.0
AMR,2017,AMRGLASS_COORD02,5.71429
AFR,2018,AMRGLASS_COORD02,23.40426
AFR,2020,AMRGLASS_COORD02,0.0
AFR,2020,AMRGLASS_COORD02,51.06383
EUR,2019,AMRGLASS_COORD02,3.7037
SEAR,2017,AMRGLASS_COORD02,0.0
EMR,2020,AMRGLASS_COORD02,50.0
SEAR,2018,AMRGLASS_COORD02,0.0
EUR,2020,AMRGLASS_COORD02,5.55556
WPR,2018,AMRGLASS_COORD02,0.0
WPR,2017,AMRGLASS_COORD02,14.81481
WPR,2019,AMRGLASS_COORD02,74.07407
AMR,2018,AMRGLASS_COORD02,91.42857
AMR,2020,AMRGLASS_COORD02,82.85714
WPR,2019,AMRGLASS_COORD02,3.7037
AFR,2019,AMRGLASS_COORD02,2.12766
AMR,2019,AMRGLASS_COORD02,0.0
SEAR,2020,AMRGLASS_COORD02,27.27273
EMR,2020,AMRGLASS_COORD02,4.54545
EMR,2019,AMRGLASS_COORD02,22.72727
WPR,2019,AMRGLASS_COORD02,0.0
WPR,2017,AMRGLASS_COORD02,0.0
SEAR,2019,AMRGLASS_COORD02,18.18182
EMR,2020,AMRGLASS_COORD02,18.18182
AMR,2019,AMRGLASS_COORD02,88.57143
EMR,2017,AMRGLASS_COORD02,18.18182
AMR,2018,AMRGLASS_COORD02,0.0
EUR,2019,AMRGLASS_COORD02,1.85185
EUR,2020,AMRGLASS_COORD02,53.7037
AFR,2019,AMRGLASS_COORD02,59.57447
AFR,2018,AMRGLASS_COORD02,4.25532
SEAR,2018,AMRGLASS_COORD02,9.09091
EUR,2019,AMRGLASS_COORD02,40.74074
EUR,2020,AMRGLASS_COORD02,3.7037
EUR,2019,AMRGLASS_COORD02,53.7037
WPR,2020,AMRGLASS_COORD02,66.66667
AFR,2018,AMRGLASS_COORD02,0.0
AMR,2018,AMRGLASS_COORD02,0.0
AFR,2017,AMRGLASS_COORD02,12.76596
SEAR,2020,AMRGLASS_COORD02,0.0
WPR,2017,AMRGLASS_COORD02,0.0
SEAR,2017,AMRGLASS_COORD02,0.0
EMR,2018,AMRGLASS_COORD02,27.27273
EUR,2017,AMRGLASS_COORD02,0.0
AFR,2019,AMRGLASS_COORD02,27.65957
AFR,2017,AMRGLASS_COORD02,2.12766
SEAR,2019,AMRGLASS_COORD02,0.0
WPR,2019,AMRGLASS_COORD02,22.22222
EMR,2017,AMRGLASS_COORD02,54.54545
AFR,2020,AMRGLASS_COORD02,4.25532
