COUNTRY,YEAR,IndicatorCode,NumericValue
OMN,2017,GDO_Q2x2x1_AGE,
FIN,2017,GDO_Q2x2x1_AGE,
TUR,2017,GDO_Q2x2x1_AGE,
VNM,2017,GDO_Q2x2x1_AGE,
MAR,2017,GDO_Q2x2x1_AGE,
PAK,2017,GDO_Q2x2x1_AGE,
USA,2017,GDO_Q2x2x1_AGE,
HUN,2017,GDO_Q2x2x1_AGE,
AUS,2017,GDO_Q2x2x1_AGE,
CZE,2017,GDO_Q2x2x1_AGE,
SWE,2017,GDO_Q2x2x1_AGE,
IND,2017,GDO_Q2x2x1_AGE,
NLD,2017,GDO_Q2x2x1_AGE,
TGO,2017,GDO_Q2x2x1_AGE,
MDV,2017,GDO_Q2x2x1_AGE,
GRC,2017,GDO_Q2x2x1_AGE,
ISR,2017,GDO_Q2x2x1_AGE,
BGD,2017,GDO_Q2x2x1_AGE,
MYS,2017,GDO_Q2x2x1_AGE,
FJI,2017,GDO_Q2x2x1_AGE,
SWZ,2017,GDO_Q2x2x1_AGE,
COK,2017,GDO_Q2x2x1_AGE,
LCA,2017,GDO_Q2x2x1_AGE,
ZAF,2017,GDO_Q2x2x1_AGE,
CHE,2017,GDO_Q2x2x1_AGE,
CHL,2017,GDO_Q2x2x1_AGE,
DOM,2017,GDO_Q2x2x1_AGE,
LBN,2017,GDO_Q2x2x1_AGE,
CYP,2017,GDO_Q2x2x1_AGE,
IRN,2017,GDO_Q2x2x1_AGE,
BRN,2017,GDO_Q2x2x1_AGE,
LTU,2017,GDO_Q2x2x1_AGE,
BRA,2017,GDO_Q2x2x1_AGE,
DNK,2017,GDO_Q2x2x1_AGE,
CHN,2017,GDO_Q2x2x1_AGE,
SVN,2017,GDO_Q2x2x1_AGE,
MMR,2017,GDO_Q2x2x1_AGE,
QAT,2017,GDO_Q2x2x1_AGE,
CAN,2017,GDO_Q2x2x1_AGE,
KOR,2017,GDO_Q2x2x1_AGE,
BEL,2017,GDO_Q2x2x1_AGE,
GRD,2017,GDO_Q2x2x1_AGE,
JPN,2017,GDO_Q2x2x1_AGE,
MLT,2017,GDO_Q2x2x1_AGE,
TTO,2017,GDO_Q2x2x1_AGE,
ITA,2017,GDO_Q2x2x1_AGE,
EST,2017,GDO_Q2x2x1_AGE,
DEU,2017,GDO_Q2x2x1_AGE,
NOR,2017,GDO_Q2x2x1_AGE,
GUY,2017,GDO_Q2x2x1_AGE,
MUS,2017,GDO_Q2x2x1_AGE,
IRL,2017,GDO_Q2x2x1_AGE,
AUT,2017,GDO_Q2x2x1_AGE,
FRA,2017,GDO_Q2x2x1_AGE,
JOR,2017,GDO_Q2x2x1_AGE,
TUN,2017,GDO_Q2x2x1_AGE,
GBR,2017,GDO_Q2x2x1_AGE,
SGP,2017,GDO_Q2x2x1_AGE,
POL,2017,GDO_Q2x2x1_AGE,
BLZ,2017,GDO_Q2x2x1_AGE,
THA,2017,GDO_Q2x2x1_AGE,
GBR,2017,GDO_Q2x2x1_DISAB,
DNK,2017,GDO_Q2x2x1_DISAB,
ZAF,2017,GDO_Q2x2x1_DISAB,
FRA,2017,GDO_Q2x2x1_DISAB,
LTU,2017,GDO_Q2x2x1_DISAB,
GRD,2017,GDO_Q2x2x1_DISAB,
JPN,2017,GDO_Q2x2x1_DISAB,
TTO,2017,GDO_Q2x2x1_DISAB,
PAK,2017,GDO_Q2x2x1_DISAB,
SVN,2017,GDO_Q2x2x1_DISAB,
HUN,2017,GDO_Q2x2x1_DISAB,
NLD,2017,GDO_Q2x2x1_DISAB,
LCA,2017,GDO_Q2x2x1_DISAB,
CYP,2017,GDO_Q2x2x1_DISAB,
TUN,2017,GDO_Q2x2x1_DISAB,
COK,2017,GDO_Q2x2x1_DISAB,
