COUNTRY,YEAR,IndicatorCode,NumericValue
TZA,2016,HCF_NO_ELECTRICITY,24.0
SLE,2018,HCF_NO_ELECTRICITY,40.0
SEN,2019,HCF_NO_ELECTRICITY,14.0
YEM,2022,HCF_NO_ELECTRICITY,39.0
CMR,2019,HCF_NO_ELECTRICITY,13.0
LKA,2017,HCF_NO_ELECTRICITY,4.0
BGD,2017,HCF_NO_ELECTRICITY,1.0
HTI,2016,HCF_NO_ELECTRICITY,7.0
KEN,2018,HCF_NO_ELECTRICITY,11.0
LBR,2018,HCF_NO_ELECTRICITY,11.0
BGD,2017,HCF_NO_ELECTRICITY,30.0
BGD,2017,HCF_NO_ELECTRICITY,32.0
TZA,2016,HCF_NO_ELECTRICITY,19.0
LKA,2017,HCF_NO_ELECTRICITY,2.0
SLE,2018,HCF_NO_ELECTRICITY,31.0
SLE,2018,HCF_NO_ELECTRICITY,13.0
ZWE,2015,HCF_NO_ELECTRICITY,0.0
HTI,2016,HCF_NO_ELECTRICITY,33.0
SEN,2019,HCF_NO_ELECTRICITY,75.0
ETH,2016,HCF_NO_ELECTRICITY,17.0
TZA,2016,HCF_NO_ELECTRICITY,9.0
SLB,2020,HCF_NO_ELECTRICITY,23.0
ETH,2016,HCF_NO_ELECTRICITY,12.0
HTI,2016,HCF_NO_ELECTRICITY,27.0
ETH,2016,HCF_NO_ELECTRICITY,3.0
KEN,2018,HCF_NO_ELECTRICITY,15.0
SEN,2019,HCF_NO_ELECTRICITY,1.0
NPL,2021,HCF_NO_ELECTRICITY,4.0
NER,2020,HCF_NO_ELECTRICITY,39.0
UGA,2020,HCF_NO_ELECTRICITY,9.0
CAF,2022,HCF_NO_ELECTRICITY,50.0
AFG,2022,HCF_NO_ELECTRICITY,5.0
VUT,2017,HCF_NO_ELECTRICITY,11.0
SOM,2022,HCF_NO_ELECTRICITY,23.0
LKA,2017,HCF_NO_ELECTRICITY,4.0
NER,2015,HCF_NO_ELECTRICITY,9.0
RWA,2019,HCF_NO_ELECTRICITY,2.0
ZWE,2015,HCF_NO_ELECTRICITY,11.0
MLI,2022,HCF_NO_ELECTRICITY,4.0
BFA,2022,HCF_NO_ELECTRICITY,2.0
NER,2015,HCF_NO_ELECTRICITY,78.0
TLS,2015,HCF_NO_ELECTRICITY,1.0
TCD,2019,HCF_NO_ELECTRICITY,38.0
NPL,2021,HCF_NO_ELECTRICITY,4.0
LBR,2018,HCF_NO_ELECTRICITY,7.0
KEN,2018,HCF_NO_ELECTRICITY,2.0
ZWE,2015,HCF_NO_ELECTRICITY,14.0
LBR,2018,HCF_NO_ELECTRICITY,9.0
NPL,2021,HCF_NO_ELECTRICITY,4.0
LBR,2018,HCF_REL_ELECTRICITY,76.0
TZA,2016,HCF_REL_ELECTRICITY,70.0
LBR,2018,HCF_REL_ELECTRICITY,81.0
BOL,2019,HCF_REL_ELECTRICITY,95.0
TLS,2015,HCF_REL_ELECTRICITY,23.0
NER,2015,HCF_REL_ELECTRICITY,56.0
ZWE,2015,HCF_REL_ELECTRICITY,50.0
LKA,2017,HCF_REL_ELECTRICITY,90.0
