IndicatorCode,HCF_NO_ELECTRICITY,HCF_NO_ELECTRICITY,HCF_NO_ELECTRICITY,HCF_NO_ELECTRICITY,HCF_NO_ELECTRICITY,HCF_NO_ELECTRICITY,HCF_NO_ELECTRICITY,HCF_NO_ELECTRICITY,HCF_REL_ELECTRICITY,HCF_REL_ELECTRICITY,HCF_REL_ELECTRICITY,HCF_REL_ELECTRICITY,HCF_REL_ELECTRICITY,HCF_REL_ELECTRICITY,HCF_UNREL_ELECTRICITY,HCF_UNREL_ELECTRICITY,HCF_UNREL_ELECTRICITY,HCF_UNREL_ELECTRICITY,HCF_UNREL_ELECTRICITY,HCF_UNREL_ELECTRICITY
YEAR,2015,2016,2017,2018,2019,2020,2021,2022,2015,2016,2017,2018,2019,2021,2015,2016,2017,2018,2019,2021
COUNTRY,,,,,,,,,,,,,,,,,,,,
AFG,,,,,,,,5.0,,,,,,,,,,,,
BFA,,,,,,,,2.0,,,,,,,,,,,,
BGD,,,21.0,,,,,,,,30.0,,,,,,49.0,,,
BOL,,,,,,,,,,,,,95.0,,,,,,,
CAF,,,,,,,,50.0,,,,,,,,,,,,
CMR,,,,,13.0,,,,,,,,,,,,,,,
ETH,,10.666666666666666,,,,,,,,23.666666666666668,,,,,,66.0,,,,
HND,,,,,,,,,,,,,89.0,,,,,,,
HTI,,22.333333333333332,,,,,,,,35.666666666666664,,,,,,43.5,,,,
KEN,,,,9.333333333333334,,,,,,,,56.0,,,,,,34.5,,
LBR,,,,9.0,,,,,,,,80.66666666666667,,,,,,10.5,,
LKA,,,3.3333333333333335,,,,,,,,92.33333333333333,,,,,,3.5,,,
MLI,,,,,,,,4.0,,,,,,,,,,,,
NER,43.5,,,,,39.0,,,30.0,,,,,,21.5,,,,,
NPL,,,,,,,4.0,,,,,,,56.333333333333336,,,,,,39.5
RWA,,,,,2.0,,,,,,,,,,,,,,,
SEN,,,,,30.0,,,,,,,,33.666666666666664,,,,,,34.0,
SLB,,,,,,23.0,,,,,,,,,,,,,,
SLE,,,,28.0,,,,,,,,56.333333333333336,,,,,,16.5,,
SOM,,,,,,,,23.0,,,,,,,,,,,,
TCD,,,,,38.0,,,,,,,,,,,,,,,
TLS,1.0,,,,,,,,23.0,,,,,,,,,,,
TZA,,17.333333333333332,,,,,,,,64.33333333333333,,,,,,18.5,,,,
UGA,,,,,,9.0,,,,,,,,,,,,,,
VUT,,,11.0,,,,,,,,,,,,,,,,,
YEM,,,,,,,,39.0,,,,,,,,,,,,
ZWE,8.333333333333334,,,,,,,,48.666666666666664,,,,,,44.0,,,,,
