COUNTRY,YEAR,IndicatorCode,NumericValue
SAU,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,99.4
NPL,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,0.1
COD,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,0.2
IDN,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,0.3
AZE,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,100.0
LKA,2020,HEPATITIS_HCV_TESTING_HIV_PERCENT,45.5
ARE,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,18.0
BRB,2022,HEPATITIS_HCV_TESTING_HIV_PERCENT,79.7
URY,2020,HEPATITIS_HCV_TESTING_HIV_PERCENT,25.0
OMN,2020,HEPATITIS_HCV_TESTING_HIV_PERCENT,92.8
EGY,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,100.0
GTM,2020,HEPATITIS_HCV_TESTING_HIV_PERCENT,67.9
PER,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,40.3
SAU,2022,HEPATITIS_HCV_TESTING_HIV_PERCENT,100.0
MDA,2022,HEPATITIS_HCV_TESTING_HIV_PERCENT,69.2
ARE,2021,HEPATITIS_HCV_TESTING_HIV_PERCENT,6.9
MDA,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,75.8
RWA,2022,HEPATITIS_HCV_TESTING_HIV_PERCENT,2.0
GTM,2022,HEPATITIS_HCV_TESTING_HIV_PERCENT,0.5
OMN,2022,HEPATITIS_HCV_TESTING_HIV_PERCENT,85.7
KAZ,2020,HEPATITIS_HCV_TESTING_HIV_PERCENT,86.3
BLR,2022,HEPATITIS_HCV_TESTING_HIV_PERCENT,93.4
GEO,2022,HEPATITIS_HCV_TESTING_HIV_PERCENT,95.6
ALB,2021,HEPATITIS_HCV_TESTING_HIV_PERCENT,3.7
NPL,2022,HEPATITIS_HCV_TESTING_HIV_PERCENT,0.3
MYS,2020,HEPATITIS_HCV_TESTING_HIV_PERCENT,81.2
ALB,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,100.0
ECU,2021,HEPATITIS_HCV_TESTING_HIV_PERCENT,0.0
THA,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,7.6
AZE,2022,HEPATITIS_HCV_TESTING_HIV_PERCENT,100.0
THA,2020,HEPATITIS_HCV_TESTING_HIV_PERCENT,1.2
COL,2022,HEPATITIS_HCV_TESTING_HIV_PERCENT,92.8
MEX,2022,HEPATITIS_HCV_TESTING_HIV_PERCENT,34.5
CUB,2022,HEPATITIS_HCV_TESTING_HIV_PERCENT,89.3
QAT,2021,HEPATITIS_HCV_TESTING_HIV_PERCENT,87.1
ARE,2022,HEPATITIS_HCV_TESTING_HIV_PERCENT,0.9
GAB,2020,HEPATITIS_HCV_TESTING_HIV_PERCENT,2.9
ECU,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,0.4
GTM,2021,HEPATITIS_HCV_TESTING_HIV_PERCENT,82.55
JOR,2020,HEPATITIS_HCV_TESTING_HIV_PERCENT,0.0
QAT,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,92.9
RWA,2020,HEPATITIS_HCV_TESTING_HIV_PERCENT,0.9
MUS,2021,HEPATITIS_HCV_TESTING_HIV_PERCENT,76.0
MYS,2022,HEPATITIS_HCV_TESTING_HIV_PERCENT,67.3
MNG,2021,HEPATITIS_HCV_TESTING_HIV_PERCENT,4.8
CHL,2022,HEPATITIS_HCV_TESTING_HIV_PERCENT,1.6
CHL,2020,HEPATITIS_HCV_TESTING_HIV_PERCENT,2.7
GEO,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,67.0
CHL,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,2.7
GAB,2021,HEPATITIS_HCV_TESTING_HIV_PERCENT,3.0
GEO,2021,HEPATITIS_HCV_TESTING_HIV_PERCENT,98.2
MNG,2022,HEPATITIS_HCV_TESTING_HIV_PERCENT,5.3
CUB,2021,HEPATITIS_HCV_TESTING_HIV_PERCENT,85.1
SGP,2022,HEPATITIS_HCV_TESTING_HIV_PERCENT,98.0
ETH,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,17.691
TJK,2022,HEPATITIS_HCV_TESTING_HIV_PERCENT,61.8
ARM,2022,HEPATITIS_HCV_TESTING_HIV_PERCENT,3.8
HND,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,34.8
SYC,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,68.2
HND,2020,HEPATITIS_HCV_TESTING_HIV_PERCENT,21.0
NIC,2022,HEPATITIS_HCV_TESTING_HIV_PERCENT,14.3
BLR,2020,HEPATITIS_HCV_TESTING_HIV_PERCENT,91.3
RWA,2021,HEPATITIS_HCV_TESTING_HIV_PERCENT,0.8
BRB,2020,HEPATITIS_HCV_TESTING_HIV_PERCENT,82.1
QAT,2020,HEPATITIS_HCV_TESTING_HIV_PERCENT,88.0
KGZ,2020,HEPATITIS_HCV_TESTING_HIV_PERCENT,10.2
NIC,2021,HEPATITIS_HCV_TESTING_HIV_PERCENT,18.3
MNG,2020,HEPATITIS_HCV_TESTING_HIV_PERCENT,2.7
BRB,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,62.9
LKA,2021,HEPATITIS_HCV_TESTING_HIV_PERCENT,0.5
SGP,2020,HEPATITIS_HCV_TESTING_HIV_PERCENT,99.3
ARM,2020,HEPATITIS_HCV_TESTING_HIV_PERCENT,37.1
MUS,2020,HEPATITIS_HCV_TESTING_HIV_PERCENT,77.6
BLR,2021,HEPATITIS_HCV_TESTING_HIV_PERCENT,89.7
PRY,2021,HEPATITIS_HCV_TESTING_HIV_PERCENT,0.0
LKA,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,0.1
NGA,2021,HEPATITIS_HCV_TESTING_HIV_PERCENT,0.3
ARM,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,2.9
ALB,2022,HEPATITIS_HCV_TESTING_HIV_PERCENT,100.0
OMN,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,87.8
SGP,2021,HEPATITIS_HCV_TESTING_HIV_PERCENT,99.1
PRY,2020,HEPATITIS_HCV_TESTING_HIV_PERCENT,0.5
KAZ,2021,HEPATITIS_HCV_TESTING_HIV_PERCENT,76.7
CZE,2020,HEPATITIS_HCV_TESTING_HIV_PERCENT,94.8
CUB,2020,HEPATITIS_HCV_TESTING_HIV_PERCENT,95.3
KAZ,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,88.8
KGZ,2021,HEPATITIS_HCV_TESTING_HIV_PERCENT,7.7
HND,2022,HEPATITIS_HCV_TESTING_HIV_PERCENT,47.2
NGA,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,0.0
PAN,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,16.9
CUB,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,7.2
TJK,2020,HEPATITIS_HCV_TESTING_HIV_PERCENT,63.2
NER,2020,HEPATITIS_HCV_TESTING_HIV_PERCENT,0.0
KAZ,2022,HEPATITIS_HCV_TESTING_HIV_PERCENT,73.8
HND,2021,HEPATITIS_HCV_TESTING_HIV_PERCENT,49.7
GTM,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,1.0
MYS,2021,HEPATITIS_HCV_TESTING_HIV_PERCENT,97.2
COL,2020,HEPATITIS_HCV_TESTING_HIV_PERCENT,87.3
BLZ,2022,HEPATITIS_HCV_TESTING_HIV_PERCENT,1.3
ARM,2021,HEPATITIS_HCV_TESTING_HIV_PERCENT,6.0
ARE,2020,HEPATITIS_HCV_TESTING_HIV_PERCENT,61.4
COL,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,93.0
BLR,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,76.5
SYC,2021,HEPATITIS_HCV_TESTING_HIV_PERCENT,66.3
SYC,2020,HEPATITIS_HCV_TESTING_HIV_PERCENT,89.1
PAN,2022,HEPATITIS_HCV_TESTING_HIV_PERCENT,0.2
IRN,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,8.8
EGY,2021,HEPATITIS_HCV_TESTING_HIV_PERCENT,100.0
BRB,2021,HEPATITIS_HCV_TESTING_HIV_PERCENT,34.0
TCD,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,2.3
MYS,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,83.2
EGY,2020,HEPATITIS_HCV_TESTING_HIV_PERCENT,100.0
GAB,2022,HEPATITIS_HCV_TESTING_HIV_PERCENT,17.5
CHL,2021,HEPATITIS_HCV_TESTING_HIV_PERCENT,4.3
KGZ,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,77.2
IDN,2022,HEPATITIS_HCV_TESTING_HIV_PERCENT,2.4
GAB,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,4.0
MNG,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,4.3
ZAF,2020,HEPATITIS_HCV_TESTING_HIV_PERCENT,100.0
UZB,2020,HEPATITIS_HCV_TESTING_HIV_PERCENT,35.2
TUN,2020,HEPATITIS_HCV_TESTING_HIV_PERCENT,63.4
THA,2021,HEPATITIS_HCV_TESTING_HIV_PERCENT,2.3
OMN,2021,HEPATITIS_HCV_TESTING_HIV_PERCENT,87.9
MDA,2021,HEPATITIS_HCV_TESTING_HIV_PERCENT,75.6
COL,2021,HEPATITIS_HCV_TESTING_HIV_PERCENT,91.4
AZE,2020,HEPATITIS_HCV_TESTING_HIV_PERCENT,100.0
GEO,2020,HEPATITIS_HCV_TESTING_HIV_PERCENT,95.5
ETH,2022,HEPATITIS_HCV_TESTING_HIV_PERCENT,40.9
GNQ,2020,HEPATITIS_HCV_TESTING_HIV_PERCENT,0.0
AZE,2021,HEPATITIS_HCV_TESTING_HIV_PERCENT,100.0
SGP,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,93.9
RWA,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,0.6
NGA,2022,HEPATITIS_HCV_TESTING_HIV_PERCENT,0.1
KGZ,2022,HEPATITIS_HCV_TESTING_HIV_PERCENT,81.6
TJK,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,72.4
ALB,2020,HEPATITIS_HCV_TESTING_HIV_PERCENT,1.4
MEX,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,29.6
SYC,2022,HEPATITIS_HCV_TESTING_HIV_PERCENT,64.3
MDA,2020,HEPATITIS_HCV_TESTING_HIV_PERCENT,62.3
MUS,2022,HEPATITIS_HCV_TESTING_HIV_PERCENT,79.2
TJK,2021,HEPATITIS_HCV_TESTING_HIV_PERCENT,89.4
EGY,2022,HEPATITIS_HCV_TESTING_HIV_PERCENT,100.0
AFG,2023,HEPATITIS_HCV_TESTING_HIV_PERCENT,0.01
COL,2023,HEPATITIS_HCV_TESTING_PWID_PERCENT,90.0
CHL,2021,HEPATITIS_HCV_TESTING_PWID_PERCENT,0.0
MDA,2020,HEPATITIS_HCV_TESTING_PWID_PERCENT,65.2
MUS,2022,HEPATITIS_HCV_TESTING_PWID_PERCENT,84.0
TJK,2020,HEPATITIS_HCV_TESTING_PWID_PERCENT,61.6
SGP,2021,HEPATITIS_HCV_TESTING_PWID_PERCENT,100.0
GTM,2023,HEPATITIS_HCV_TESTING_PWID_PERCENT,0.0
