COUNTRY,YEAR,IndicatorCode,NumericValue
SEAR,2020,CARE_SOURCE,33.7
EUR,2020,CARE_SOURCE,49.8
BLZ,2015,CARE_SOURCE,1.52
SLE,2017,CARE_SOURCE,74.26
SEN,2017,CARE_SOURCE,72.44
SLV,2014,CARE_SOURCE,67.32
PAK,2012,CARE_SOURCE,70.32
EGY,2014,CARE_SOURCE,26.09
CUB,2010,CARE_SOURCE,1.17
SUR,2010,CARE_SOURCE,6.97
LAO,2017,CARE_SOURCE,8.95
KHM,2010,CARE_SOURCE,80.01
UGA,2011,CARE_SOURCE,40.87
PSE,2010,CARE_SOURCE,47.33
ZAF,2016,CARE_SOURCE,19.92
MRT,2015,CARE_SOURCE,15.5
STP,2014,CARE_SOURCE,6.95
ZAF,2016,CARE_SOURCE,22.72
TUN,2011,CARE_SOURCE,0.0
AFG,2015,CARE_SOURCE,75.25
AFG,2010,CARE_SOURCE,84.56
SRB,2014,CARE_SOURCE,0.0
GNB,2014,CARE_SOURCE,5.95
TZA,2010,CARE_SOURCE,14.64
EUR,2020,CARE_SOURCE,3.05
SUR,2018,CARE_SOURCE,65.08
PAK,2017,CARE_SOURCE,27.81
BEN,2017,CARE_SOURCE,46.25
SDN,2014,CARE_SOURCE,0.0
CUB,2014,CARE_SOURCE,0.0
AFR,2020,CARE_SOURCE,29.91
TZA,2010,CARE_SOURCE,2.29
COG,2014,CARE_SOURCE,0.97
BDI,2016,CARE_SOURCE,2.89
MWI,2015,CARE_SOURCE,8.79
BEN,2014,CARE_SOURCE,48.8
SEAR,2020,CARE_SOURCE,38.76
TZA,2010,CARE_SOURCE,68.89
KHM,2010,CARE_SOURCE,27.15
ZAF,2016,CARE_SOURCE,44.84
COG,2011,CARE_SOURCE,12.62
MMR,2015,CARE_SOURCE,21.65
KGZ,2014,CARE_SOURCE,0.0
GUY,2014,CARE_SOURCE,16.71
BGD,2011,CARE_SOURCE,0.63
CUB,2014,CARE_SOURCE,0.57
SDN,2010,CARE_SOURCE,83.93
GMB,2018,CARE_SOURCE,23.84
TUN,2011,CARE_SOURCE,3.15
BDI,2016,CARE_SOURCE,13.78
PRY,2016,CARE_SOURCE,81.55
TZA,2010,CARE_SOURCE,1.8
JOR,2012,CARE_SOURCE,60.18
GHA,2014,CARE_SOURCE,0.0
IND,2015,CARE_SOURCE,38.92
ZWE,2015,CARE_SOURCE,38.51
WPR,2020,CARE_SOURCE,35.0
KHM,2014,CARE_SOURCE,51.8
ZAF,2016,CARE_SOURCE,84.2
BDI,2016,CARE_SOURCE,20.35
BEN,2017,CARE_SOURCE,63.22
EMR,2020,CARE_SOURCE,0.0
THA,2015,CARE_SOURCE,56.9
DOM,2014,CARE_SOURCE,0.75
ARM,2015,CARE_SOURCE,3.63
KHM,2014,CARE_SOURCE,61.87
CMR,2011,CARE_SOURCE,23.07
SEAR,2020,CARE_SOURCE,57.56
WPR,2020,CARE_SOURCE,67.02
MLI,2018,CARE_SOURCE,6.53
SLE,2013,CARE_SOURCE,82.77
CIV,2016,CARE_SOURCE,70.93
GIN,2018,CARE_SOURCE,0.0
IDN,2017,CARE_SOURCE,33.71
UGA,2016,CARE_SOURCE,0.0
SWZ,2014,CARE_SOURCE,4.47
BGD,2011,CARE_SOURCE,55.2
BGD,2014,CARE_SOURCE,22.16
HTI,2012,CARE_SOURCE,0.0
GIN,2012,CARE_SOURCE,13.84
ALB,2017,CARE_SOURCE,3.08
BGD,2011,CARE_SOURCE,0.73
MMR,2015,CARE_SOURCE,0.24
MNG,2013,CARE_SOURCE,96.07
LAO,2017,CARE_SOURCE,3.01
BDI,2010,CARE_SOURCE,11.64
BGD,2014,CARE_SOURCE,69.03
BGD,2011,CARE_SOURCE,6.34
IRQ,2018,CARE_SOURCE,60.5
AMR,2020,CARE_SOURCE,41.37
SEAR,2020,CARE_SOURCE,74.28
UGA,2016,CARE_SOURCE,56.53
TKM,2015,CARE_SOURCE,97.21
CIV,2016,CARE_SOURCE,57.11
NGA,2016,CARE_SOURCE,53.58
WPR,2020,CARE_SOURCE,64.71
