IndicatorCode,CARE_SOURCE,CARE_SOURCE,CARE_SOURCE,CARE_SOURCE,CARE_SOURCE,CARE_SOURCE,CARE_SOURCE,CARE_SOURCE,CARE_SOURCE,CARE_SOURCE,DEVICES00,DEVICES00,DEVICES01,DEVICES01,DEVICES02,DEVICES02,DEVICES02,DEVICES03,DEVICES03,DEVICES03,DEVICES04,DEVICES04,DEVICES04,DEVICES05,DEVICES05,DEVICES05,MDG_0000000010,MDG_0000000011,WHS6_101,WHS6_116
YEAR,2010,2011,2012,2013,2014,2015,2016,2017,2018,2020,2013,2014,2010,2013,2010,2013,2014,2010,2013,2014,2010,2013,2014,2010,2013,2014,2013,2013,2013,2013
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,25.000833333333333,,,,,36.36363636363637,,,,,0.36659,,2.87,2.9491,1.19,1.22416,,0.18,0.1833,,0.1,0.09819,,0.08,0.0851,,81.1,,94.0,
AFR,,,,,,,,,,34.59615384615385,,,,,,,,,,,,,,,,,,,,
AGO,,,,,,42.10526315789474,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,
ALB,,,,,,,,42.10526315789474,,,1.35507,,12.95,13.07799,,,,0.72,0.7248,,0.34,0.34664,,0.28,0.28362,,,,,
AMR,,,,,,,,,,34.61480769230769,,,,,,,,,,,,,,,,,,,,
ARM,24.999166666666667,,,,,36.36409090909091,,,,,4.03149,,7.7,7.99579,0.52,0.53753,,1.75,1.81417,,1.52,1.579,,0.61,0.63832,,,,,
ATG,,,,,,,,,,,1.1113,,,,,,,,,,,,,222.07,1.1113,,,,,
AZE,,,,,,,,,,,7.96735,,,,7.62,7.43619,,5.44,5.31157,,2.18,2.12463,,0.54,0.53116,,,,,
BDI,25.0,,,,,,36.36363636363637,,,,0.50184,,0.0,0.0,6.07,5.00859,,0.39,0.32472,,0.18,0.1476,,0.04,0.02952,,46.7,1.7,58.3,2.8
BEN,,,,,24.99833333333333,,,36.36363636363637,,,0.40684,,,,6.36,5.45359,,0.29,0.25185,,0.06,0.04843,,0.12,0.10655,,,,,
BFA,,,,,,,,,,,0.30706,,,,10.35,11.88674,,0.98,0.25391,,0.1,0.0,,0.02,0.05314,,87.1,2.2,72.1,2.9
BGD,,24.997500000000002,,,36.36409090909091,,,,,,0.16667,,6.54,6.20837,0.02,0.01724,,0.04,0.03768,,0.09,0.08493,,0.05,0.04406,,,,,
