COUNTRY,YEAR,IndicatorCode,NumericValue
GUY,2014,HRH_40,
MCO,2014,HRH_40,
MLT,2017,HRH_40,
GRC,2014,HRH_40,0.27
BRA,2015,HRH_40,
NIC,2017,HRH_40,
CHN,2014,HRH_40,
COM,2017,HRH_40,
QAT,2014,HRH_40,
GNB,2017,HRH_40,
NIU,2015,HRH_40,
DJI,2017,HRH_40,
DZA,2014,HRH_40,
GHA,2015,HRH_40,
SAU,2014,HRH_40,0.1
GRD,2014,HRH_40,
BIH,2017,HRH_40,0.14
MCO,2015,HRH_40,
MMR,2015,HRH_40,
BLZ,2015,HRH_40,
BGR,2014,HRH_40,
NLD,2014,HRH_40,0.3
BHR,2015,HRH_40,
AZE,2014,HRH_40,
HRV,2015,HRH_40,0.47
DMA,2014,HRH_40,
QAT,2015,HRH_40,
THA,2014,HRH_40,
PAN,2017,HRH_40,0.81
MEX,2015,HRH_40,0.24
BIH,2014,HRH_40,
KWT,2017,HRH_40,
IRQ,2014,HRH_40,
NZL,2015,HRH_40,0.06
KEN,2015,HRH_40,
TUN,2015,HRH_40,
MDG,2014,HRH_40,
BHS,2017,HRH_40,
PAK,2014,HRH_40,
FJI,2015,HRH_40,
LAO,2015,HRH_40,
CMR,2014,HRH_40,
PRT,2015,HRH_40,0.09
TUV,2015,HRH_40,
NAM,2017,HRH_40,
ISL,2015,HRH_40,1.7
ESP,2017,HRH_40,0.22
GNB,2015,HRH_40,
COL,2015,HRH_40,0.06
NOR,2014,HRH_40,
MHL,2015,HRH_40,
KGZ,2017,HRH_40,
DEU,2017,HRH_40,0.25
NGA,2014,HRH_40,
SWE,2015,HRH_40,0.87
DEU,2015,HRH_40,0.25
MYS,2017,HRH_40,0.26
PRK,2015,HRH_40,
LBR,2014,HRH_40,0.0
BOL,2014,HRH_40,
BRB,2017,HRH_40,
GTM,2014,HRH_40,
HUN,2015,HRH_40,0.41
KGZ,2015,HRH_40,
BEN,2015,HRH_40,
ZAF,2014,HRH_40,
LUX,2014,HRH_40,
POL,2017,HRH_40,
MRT,2015,HRH_40,
AZE,2015,HRH_40,
USA,2014,HRH_40,0.49
EST,2014,HRH_40,0.47
EGY,2014,HRH_40,1.22
COD,2014,HRH_40,
PRY,2015,HRH_40,0.05
DOM,2015,HRH_40,0.09
NAM,2015,HRH_40,
YEM,2014,HRH_40,
COD,2015,HRH_40,
ISR,2017,HRH_40,2.34
GNB,2014,HRH_40,
AND,2014,HRH_40,
FIN,2014,HRH_40,0.28
BEL,2017,HRH_40,0.44
MHL,2014,HRH_40,
WSM,2015,HRH_40,
ITA,2017,HRH_40,1.4
SVN,2014,HRH_40,0.84
FIN,2017,HRH_40,1.55
FSM,2014,HRH_40,0.19
DOM,2017,HRH_40,0.09
IND,2017,HRH_40,0.23
AGO,2015,HRH_40,
TLS,2015,HRH_40,
VUT,2017,HRH_40,
PAK,2017,HRH_40,0.06
TKM,2017,HRH_40,
NRU,2014,HRH_40,
NER,2015,HRH_40,
TGO,2017,HRH_40,
