COUNTRY,YEAR,IndicatorCode,NumericValue
PAN,2021,MALARIA_1STLINE_TREATED,3539.0
CMR,2023,MALARIA_1STLINE_TREATED,2315998.0
UGA,2023,MALARIA_1STLINE_TREATED,14581251.0
GTM,2022,MALARIA_1STLINE_TREATED,1831.0
NIC,2023,MALARIA_1STLINE_TREATED,6769.0
CAF,2023,MALARIA_1STLINE_TREATED,3449396.0
GUY,2022,MALARIA_1STLINE_TREATED,21738.0
PAN,2022,MALARIA_1STLINE_TREATED,6064.0
HTI,2023,MALARIA_1STLINE_TREATED,13624.0
LBR,2021,MALARIA_1STLINE_TREATED,835087.0
RWA,2022,MALARIA_1STLINE_TREATED,822300.0
BOL,2023,MALARIA_1STLINE_TREATED,10298.0
LAO,2023,MALARIA_1STLINE_TREATED,695.0
IDN,2021,MALARIA_1STLINE_TREATED,299148.0
PNG,2023,MALARIA_1STLINE_TREATED,7158010.0
STP,2023,MALARIA_1STLINE_TREATED,2278.0
GUY,2023,MALARIA_1STLINE_TREATED,28715.0
COD,2021,MALARIA_1STLINE_TREATED,18535664.0
IRN,2022,MALARIA_1STLINE_TREATED,5677.0
STP,2022,MALARIA_1STLINE_TREATED,3979.0
UGA,2022,MALARIA_1STLINE_TREATED,17895617.0
SUR,2021,MALARIA_1STLINE_TREATED,76.0
THA,2021,MALARIA_1STLINE_TREATED,3254.0
GTM,2023,MALARIA_1STLINE_TREATED,3053.0
BTN,2023,MALARIA_1STLINE_TREATED,10.0
NGA,2023,MALARIA_1STLINE_TREATED,25283482.0
MLI,2021,MALARIA_1STLINE_TREATED,3153865.0
MLI,2022,MALARIA_1STLINE_TREATED,5386462.0
GHA,2022,MALARIA_1STLINE_TREATED,5142790.0
SLB,2022,MALARIA_1STLINE_TREATED,121656.0
CMR,2021,MALARIA_1STLINE_TREATED,1439118.0
MEX,2023,MALARIA_1STLINE_TREATED,710.0
KOR,2022,MALARIA_1STLINE_TREATED,420.0
MYS,2022,MALARIA_1STLINE_TREATED,2806.0
BOL,2021,MALARIA_1STLINE_TREATED,9959.0
BGD,2023,MALARIA_1STLINE_TREATED,16665.0
AGO,2023,MALARIA_1STLINE_TREATED,1316833.0
ERI,2022,MALARIA_1STLINE_TREATED,65572.0
KHM,2023,MALARIA_1STLINE_TREATED,1384.0
CIV,2021,MALARIA_1STLINE_TREATED,6422581.0
LAO,2021,MALARIA_1STLINE_TREATED,3852.0
COM,2022,MALARIA_1STLINE_TREATED,11100.0
SEAR,2021,MALARIA_1STLINE_TREATED,488091.0
PER,2021,MALARIA_1STLINE_TREATED,18140.0
IDN,2022,MALARIA_1STLINE_TREATED,412783.0
MMR,2021,MALARIA_1STLINE_TREATED,15127.0
SLE,2021,MALARIA_1STLINE_TREATED,3394004.0
COG,2023,MALARIA_1STLINE_TREATED,389920.0
THA,2022,MALARIA_1STLINE_TREATED,10140.0
PNG,2022,MALARIA_1STLINE_TREATED,899510.0
RWA,2021,MALARIA_1STLINE_TREATED,1059628.0
SUR,2022,MALARIA_1STLINE_TREATED,61.0
ETH,2022,MALARIA_1STLINE_TREATED,2634520.0
BEN,2023,MALARIA_1STLINE_TREATED,1907605.0
COG,2022,MALARIA_1STLINE_TREATED,349345.0
BFA,2022,MALARIA_1STLINE_TREATED,10693078.0
DJI,2021,MALARIA_1STLINE_TREATED,56081.0
TGO,2021,MALARIA_1STLINE_TREATED,1772609.0
THA,2023,MALARIA_1STLINE_TREATED,16250.0
PAK,2022,MALARIA_1STLINE_TREATED,355888.0
ERI,2023,MALARIA_1STLINE_TREATED,92980.22843
GMB,2022,MALARIA_1STLINE_TREATED,110988.0
CRI,2021,MALARIA_1STLINE_TREATED,504.0
ETH,2023,MALARIA_1STLINE_TREATED,3798950.657
HTI,2021,MALARIA_1STLINE_TREATED,9513.0
SLB,2021,MALARIA_1STLINE_TREATED,118643.0
VUT,2021,MALARIA_1STLINE_TREATED,304.0
HND,2023,MALARIA_1STLINE_TREATED,2408.0
MDG,2021,MALARIA_1STLINE_TREATED,1947787.0
ERI,2021,MALARIA_1STLINE_TREATED,42056.0
ETH,2021,MALARIA_1STLINE_TREATED,1144562.0
GIN,2021,MALARIA_1STLINE_TREATED,2358447.0
BEN,2021,MALARIA_1STLINE_TREATED,2985960.0
KEN,2022,MALARIA_1STLINE_TREATED,5005921.0
BRA,2023,MALARIA_1STLINE_TREATED,142817.0
PNG,2021,MALARIA_1STLINE_TREATED,164757.0
AGO,2021,MALARIA_1STLINE_TREATED,7793251.0
PHL,2022,MALARIA_1STLINE_TREATED,3150.0
COL,2022,MALARIA_1STLINE_TREATED,78295.0
BDI,2022,MALARIA_1STLINE_TREATED,7077860.0
STP,2021,MALARIA_1STLINE_TREATED,2515.0
PER,2022,MALARIA_1STLINE_TREATED,26652.0
NPL,2021,MALARIA_1STLINE_TREATED,391.0
KOR,2023,MALARIA_1STLINE_TREATED,747.0
RWA,2023,MALARIA_1STLINE_TREATED,548518.0
SDN,2021,MALARIA_1STLINE_TREATED,3993620.0
GNQ,2022,MALARIA_1STLINE_TREATED,7496.0
BDI,2023,MALARIA_1STLINE_TREATED,3612436.0
NAM,2022,MALARIA_1STLINE_TREATED,11849.0
ECU,2023,MALARIA_1STLINE_TREATED,757.0
MDG,2023,MALARIA_1STLINE_TREATED,2689480.0
ZWE,2022,MALARIA_1STLINE_TREATED,137260.0
KHM,2022,MALARIA_1STLINE_TREATED,4106.0
TZA,2023,MALARIA_1STLINE_TREATED,3218740.0
VUT,2023,MALARIA_1STLINE_TREATED,2227.0
BGD,2022,MALARIA_1STLINE_TREATED,12360.0
SLE,2023,MALARIA_1STLINE_TREATED,2183438.0
ECU,2021,MALARIA_1STLINE_TREATED,2450.0
IND,2021,MALARIA_1STLINE_TREATED,161753.0
IDN,2023,MALARIA_1STLINE_TREATED,377662.0
GMB,2021,MALARIA_1STLINE_TREATED,72247.0
NGA,2022,MALARIA_1STLINE_TREATED,23704759.0
ZMB,2022,MALARIA_1STLINE_TREATED,5899632.0
SUR,2023,MALARIA_1STLINE_TREATED,101.0
DOM,2022,MALARIA_1STLINE_TREATED,337.0
HTI,2022,MALARIA_1STLINE_TREATED,12396.0
MLI,2023,MALARIA_1STLINE_TREATED,3938480.0
PAN,2023,MALARIA_1STLINE_TREATED,11664.0
TGO,2023,MALARIA_1STLINE_TREATED,2252079.0
SWZ,2022,MALARIA_1STLINE_TREATED,367.0
