IndicatorCode,MALARIA_1STLINE_TREATED,MALARIA_1STLINE_TREATED,MALARIA_1STLINE_TREATED,MALARIA_ACT_TREATED,MALARIA_ACT_TREATED,MALARIA_ACT_TREATED,MALARIA_CONF_CASES,MALARIA_CONF_CASES,MALARIA_CONF_CASES,MALARIA_CONF_CASES,MALARIA_CONF_CASES,MALARIA_CONF_CASES,MALARIA_CONF_CASES,MALARIA_CONF_CASES,MALARIA_CONF_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_CASES,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_DEATHS,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_INCIDENCE,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_EST_MORTALITY,MALARIA_IMPORTED,MALARIA_IMPORTED,MALARIA_IMPORTED,MALARIA_IMPORTED,MALARIA_IMPORTED,MALARIA_IMPORTED,MALARIA_IMPORTED,MALARIA_IMPORTED,MALARIA_IMPORTED,MALARIA_INDIG,MALARIA_INDIG,MALARIA_INDIG,MALARIA_INDIG,MALARIA_INDIG,MALARIA_INDIG,MALARIA_INDIG,MALARIA_INDIG,MALARIA_INDIG,MALARIA_IPTP3_COVERAGE,MALARIA_IPTP3_COVERAGE,MALARIA_IPTP3_COVERAGE,MALARIA_IPTP3_COVERAGE,MALARIA_IPTP3_COVERAGE,MALARIA_IPTP3_COVERAGE,MALARIA_IPTP3_COVERAGE,MALARIA_IPTP3_COVERAGE,MALARIA_IPTP3_COVERAGE,MALARIA_IRS_COVERAGE,MALARIA_IRS_COVERAGE,MALARIA_IRS_COVERAGE,MALARIA_IRS_COVERAGE,MALARIA_IRS_COVERAGE,MALARIA_IRS_COVERAGE,MALARIA_IRS_COVERAGE,MALARIA_IRS_COVERAGE,MALARIA_IRS_COVERAGE,MALARIA_ITN_COVERAGE,MALARIA_ITN_COVERAGE,MALARIA_ITN_COVERAGE,MALARIA_ITN_COVERAGE,MALARIA_ITN_COVERAGE,MALARIA_ITN_COVERAGE,MALARIA_ITN_COVERAGE,MALARIA_ITN_COVERAGE,MALARIA_ITN_COVERAGE,MALARIA_MICR_POS,MALARIA_MICR_POS,MALARIA_MICR_POS,MALARIA_MICR_POS,MALARIA_MICR_POS,MALARIA_MICR_POS,MALARIA_MICR_POS,MALARIA_MICR_POS,MALARIA_MICR_POS,MALARIA_MICR_TEST,MALARIA_MICR_TEST,MALARIA_MICR_TEST,MALARIA_MICR_TEST,MALARIA_MICR_TEST,MALARIA_MICR_TEST,MALARIA_MICR_TEST,MALARIA_MICR_TEST,MALARIA_MICR_TEST,MALARIA_NMCP_CALCULATIONS,MALARIA_NMCP_CALCULATIONS,MALARIA_NMCP_CALCULATIONS,MALARIA_NMCP_CALCULATIONS,MALARIA_NMCP_CALCULATIONS,MALARIA_NMCP_CALCULATIONS,MALARIA_NMCP_CALCULATIONS,MALARIA_NMCP_CALCULATIONS,MALARIA_NMCP_CALCULATIONS,MALARIA_PF_INDIG,MALARIA_PF_INDIG,MALARIA_PF_INDIG,MALARIA_PF_INDIG,MALARIA_PF_INDIG,MALARIA_PF_INDIG,MALARIA_PF_INDIG,MALARIA_PF_INDIG,MALARIA_PF_INDIG,MALARIA_PRES_CASES,MALARIA_PRES_CASES,MALARIA_PRES_CASES,MALARIA_PRES_CASES,MALARIA_PRES_CASES,MALARIA_PRES_CASES,MALARIA_PRES_CASES,MALARIA_PRES_CASES,MALARIA_PRES_CASES,MALARIA_PV_INDIG,MALARIA_PV_INDIG,MALARIA_PV_INDIG,MALARIA_PV_INDIG,MALARIA_PV_INDIG,MALARIA_PV_INDIG,MALARIA_PV_INDIG,MALARIA_PV_INDIG,MALARIA_PV_INDIG,MALARIA_RDT_POS,MALARIA_RDT_POS,MALARIA_RDT_POS,MALARIA_RDT_POS,MALARIA_RDT_POS,MALARIA_RDT_POS,MALARIA_RDT_POS,MALARIA_RDT_POS,MALARIA_RDT_POS,MALARIA_RDT_TEST,MALARIA_RDT_TEST,MALARIA_RDT_TEST,MALARIA_RDT_TEST,MALARIA_RDT_TEST,MALARIA_RDT_TEST,MALARIA_RDT_TEST,MALARIA_RDT_TEST,MALARIA_RDT_TEST,MALARIA_SUSPECTS,MALARIA_SUSPECTS,MALARIA_SUSPECTS,MALARIA_SUSPECTS,MALARIA_SUSPECTS,MALARIA_SUSPECTS,MALARIA_SUSPECTS,MALARIA_SUSPECTS,MALARIA_SUSPECTS,MALARIA_TOTAL_CASES,MALARIA_TOTAL_CASES,MALARIA_TOTAL_CASES,MALARIA_TOTAL_CASES,MALARIA_TOTAL_CASES,MALARIA_TOTAL_CASES,MALARIA_TOTAL_CASES,MALARIA_TOTAL_CASES,MALARIA_TOTAL_CASES
YEAR,2021,2022,2023,2021,2022,2023,2015,2016,2017,2018,2019,2020,2021,2022,2023,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2015,2016,2017,2018,2019,2020,2021,2022,2023,2015,2016,2017,2018,2019,2020,2021,2022,2023,2015,2016,2017,2018,2019,2020,2021,2022,2023,2015,2016,2017,2018,2019,2020,2021,2022,2023,2015,2016,2017,2018,2019,2020,2021,2022,2023,2015,2016,2017,2018,2019,2020,2021,2022,2023,2015,2016,2017,2018,2019,2020,2021,2022,2023,2015,2016,2017,2018,2019,2020,2021,2022,2023,2015,2016,2017,2018,2019,2020,2021,2022,2023,2015,2016,2017,2018,2019,2020,2021,2022,2023,2015,2016,2017,2018,2019,2020,2021,2022,2023,2015,2016,2017,2018,2019,2020,2021,2022,2023,2015,2016,2017,2018,2019,2020,2021,2022,2023,2015,2016,2017,2018,2019,2020,2021,2022,2023,2015,2016,2017,2018,2019,2020,2021,2022,2023
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,84873.0,124429.0,,82141.0,120424.0,,119859.0,241233.0,313086.0,248689.0,173860.0,105295.0,86263.0,125620.0,180045.0,1312939.0,1312939.0,1382972.0,1242906.0,716954.0,535477.0,418216.0,452626.0,402909.0,274981.0,292015.0,362319.0,220653.0,279634.0,319142.0,368235.0,733205.0,798871.0,633500.0,413480.0,253150.0,193232.0,287835.0,424307.0,965.0,965.0,1133.0,798.0,350.0,259.0,222.0,236.0,198.0,139.0,165.0,192.0,92.0,129.0,152.0,174.0,351.0,378.0,292.0,170.0,110.0,91.0,131.0,202.0,84.47579881,83.83453346,83.78813399,70.81400733,39.41327514,28.41896717,21.30559806,22.62627923,19.70536804,12.96714173,13.37215945,15.99025859,9.351786144,11.45327126,12.60514093,14.09739894,27.36697834,28.99223169,22.3310996,14.14675946,8.392366384,6.256812709,9.187186104,13.25697218,6.20890581,6.161773303,6.864344022,4.546568916,1.924062952,1.374571176,1.130956914,1.179738216,0.968373224,0.65547536,0.755579785,0.84735541,0.389917348,0.52835921,0.600353893,0.666136412,1.310112369,1.371818927,1.029310353,0.581636139,0.364669288,0.294656142,0.418128921,0.631125195,,,,,,,,,,119859.0,241233.0,313086.0,248689.0,173860.0,105295.0,86263.0,125620.0,180045.0,,,,,,,,,,,,,,,,,,38568.0,,,,,,,,,,103377.0,151528.0,194866.0,104960.0,71389.0,38923.0,35149.0,59891.0,98424.0,538789.0,598556.0,611904.0,665200.0,561160.0,449875.0,483806.0,596883.0,636245.0,1139007.585,1123579.446,1096175.158,237903.8454,0.0,0.0,0.0,0.0,0.0,4004.0,6369.0,6907.0,6437.0,2701.0,2691.0,3921.0,4462.0,7946.0,263149.0,194784.0,100450.0,51174.0,1034.0,150.0,107.0,168.0,673.0,82891.0,132407.0,154468.0,166583.0,170747.0,102316.0,82094.0,120785.0,171523.0,16482.0,89705.0,118220.0,143729.0,102471.0,66372.0,51114.0,65729.0,81621.0,138026.0,262028.0,431157.0,524149.0,446293.0,389994.0,433195.0,357699.0,366455.0,939964.0,1055368.0,1143511.0,1240523.0,1008487.0,943267.0,917108.0,954750.0,1003373.0,383008.0,436017.0,413536.0,299863.0,174894.0,105445.0,86370.0,125788.0,180718.0
AFR,185448588.0,,,,,,96147691.0,126007349.0,134342232.0,121571041.0,156584840.0,151636256.0,161968274.0,,,204294828.3,211207696.6,211136828.3,215046001.0,215884861.9,214329985.6,213589254.1,211462145.2,210945362.4,216086520.9,217271692.982009,214090226.417902,212277771.187014,210878155.912217,207922726.175002,210291110.893279,211739449.181207,221342486.912298,220448671.578061,222657637.270431,234918079.312526,235816253.820007,237001795.761538,246379881.47709,804683.0,815401.0,786546.0,758155.0,751070.0,711989.0,723067.0,704155.0,666288.0,673419.0,649545.0,618470.0,577848.0,555775.0,550705.0,550088.0,546294.0,547711.0,551467.0,544579.0,597812.0,577523.0,573425.0,568749.0,355.6756507,357.5390815,347.4897376,344.0381986,335.6498668,323.7947274,313.5301023,301.6037823,292.3049409,290.9399161,284.211676,272.0191516,262.0798235,253.0762042,242.6887783,238.853328,234.0265489,238.1253527,230.9284373,227.1760696,233.5226379,228.4796755,223.8968192,226.8455963,142.6359159,140.5565619,131.8584007,123.6240388,119.0351282,109.6969185,108.3057953,102.4464985,94.22856902,92.55556975,84.966555249,78.581674407,71.341573369,66.698908083,64.27865106,62.480220365,60.379537207,58.924012678,57.76828303,55.563024158,59.42609255,55.955543981,54.171755585,,13867.0,8002.0,20106.0,15863.0,25288.0,18225.0,14597.0,,,96139932.0,126001041.0,134322130.0,121559510.0,156560604.0,150639045.0,160589720.0,,,,,,,,,,,,72232977.0,51815973.0,57113838.0,47394861.0,57736914.0,60386086.0,57397929.0,,,,,,,,,,,,17390095.0,23945815.0,21677073.0,15021708.0,22897979.0,18255779.0,20443704.0,,,43504079.0,51386214.0,53319415.0,39856089.0,45177721.0,46215170.0,51207170.0,,,,,,,,,,,,43386766.0,53764152.0,77338014.0,83258541.0,111842211.0,137719397.0,146860895.0,,,46325824.0,34840020.0,29880271.0,36425256.0,11697645.0,16728693.0,12993912.0,,,683217.0,579268.0,480086.0,108520.0,182148.0,273454.0,301399.0,,,78757761.0,102062222.0,112666504.0,106549633.0,133709069.0,130795496.0,139842739.0,,,137014204.0,173934626.0,190698164.0,188233743.0,227949335.0,216430159.0,236150193.0,,,226839519.0,260150689.0,273892215.0,264621825.0,298863373.0,282779798.0,301753684.0,,,142473515.0,160847369.0,164222503.0,157996297.0,168282485.0,168364949.0,174962186.0,,
AGO,7793251.0,7858802.0,1316833.0,7793251.0,7858802.0,1316833.0,2769305.0,3794253.0,3874892.0,5150575.0,7054978.0,7343696.0,8325921.0,7858860.0,9098006.0,5281275.0,5515150.0,5453353.0,5728142.0,5825267.0,6072049.0,6017599.0,5618681.0,4946244.0,4364153.0,3992908.0,3827322.0,3876249.0,4148142.0,4473173.0,4958976.0,5603401.0,6580120.0,7317416.0,7873129.0,8188826.0,8586519.0,8452563.0,8251449.0,22365.0,23559.0,21691.0,21842.0,21219.0,20668.0,19154.0,17620.0,15039.0,13152.0,12185.0,11524.0,11144.0,11219.0,11615.0,12090.0,12961.0,13849.0,14399.0,15253.0,17198.0,20493.0,20286.0,16169.0,326.1079374,329.317599,314.718821,319.2283737,313.1792755,314.7581068,300.6502682,270.4076091,229.219291,194.6998526,171.4075122,158.0339636,153.9575144,158.5340611,164.6924283,176.1137714,192.0086201,217.633704,233.8045103,243.1807045,244.7996678,248.6508841,237.1981513,224.5297988,138.0993041,140.6742032,125.1810757,121.7250923,114.0780508,107.137155,95.69689236,84.79894253,69.6938711,58.67558864,52.30775505,47.58375168,44.26192798,42.87687431,42.76388493,42.93659611,44.41273656,45.80477508,46.00737671,47.11259382,51.41231095,59.34421816,56.92713201,43.99739145,,,,,,,,,2.0,2769305.0,3794253.0,3874892.0,5150575.0,7054978.0,7343696.0,8325921.0,7858860.0,9098004.0,13.0272683,7.092675,8.6559473,13.443344,16.215379,15.0358827,15.3318906,21.7397881,23.2295942,,,,,,44633.0,620815.0,863135.0,,22.45219652,22.98055536,31.42300406,34.20638744,42.80240362,28.19435182,11.42330632,30.96143483,26.94946706,1396773.0,2058128.0,2199810.0,2442500.0,2557385.0,2359788.0,3424950.0,3934900.0,4548707.0,3345693.0,4183727.0,7493969.0,5066780.0,5643654.0,5216938.0,6663417.0,7857537.0,9699775.0,59329667.45,60516262.16,47661525.05,55261770.69,2051782.704,2769273.88,17120716.78,4878805.189,3498672.0,2769305.0,3794253.0,3874892.0,5150575.0,7054978.0,7343696.0,8325921.0,7858860.0,9098004.0,484965.0,506893.0,625329.0,777685.0,475810.0,339043.0,843346.0,1362550.0,1398874.0,,,,,,,,,,1372532.0,1736125.0,1675082.0,2708075.0,4497593.0,4983908.0,4900971.0,3923960.0,4549299.0,3009305.0,2959282.0,2931055.0,5025981.0,8221926.0,8433855.0,8117947.0,6926016.0,8309491.0,6839963.0,7649902.0,11050353.0,10870446.0,14341390.0,13989836.0,15624710.0,16172933.0,19410521.0,3254270.0,4301146.0,4500221.0,5928260.0,7530788.0,7682739.0,9169267.0,9221410.0,10496880.0
AMR,459488.0,,,,,,478623.0,650966.0,931744.0,929923.0,848782.0,583031.0,524015.0,,,1582971.0,1296643.0,1182741.0,1159262.0,1146515.0,1273168.0,1097170.0,988539.0,696347.0,687668.0,818329.0,615178.0,585436.0,575612.0,475342.0,572789.0,688485.0,945940.0,929017.0,896756.0,653760.0,580090.0,528160.0,548103.0,896.0,805.0,732.0,709.0,685.0,659.0,563.0,496.0,461.0,452.0,492.0,459.0,425.0,467.0,346.0,385.0,523.0,665.0,572.0,509.0,415.0,330.0,322.0,342.0,13.49584976,10.87695334,9.767157695,9.428839627,9.188659366,10.05804043,8.546896758,7.596013219,5.28025762,5.147885642,6.051390107,4.49436636,4.224666658,4.103633872,3.348632076,3.988019448,4.739182446,6.444154211,6.272076639,6.004716988,4.343036191,3.824965254,3.454852755,3.553308828,0.721337198,0.672964085,0.601631694,0.573943376,0.547194824,0.518124739,0.436459203,0.379274224,0.347838367,0.336632117,0.361817776,0.33533614,0.30669165,0.330721849,0.242056788,0.266107175,0.357280873,0.449444678,0.386174617,0.338352236,0.275691388,0.215923314,0.210629845,,14904.0,8827.0,9922.0,11641.0,8952.0,4006.0,3424.0,,,443050.0,560356.0,766460.0,753777.0,714129.0,510402.0,478396.0,,,,,,,,,,,,3974669.0,2057830.0,1573368.0,1722927.0,1667002.0,1034438.0,2410527.0,,,,,,,,,,,,429175.0,579755.0,844826.0,721755.0,660099.0,425200.0,328483.0,,,6465070.0,5915212.0,6275549.0,5695264.0,5925762.0,3820994.0,4420015.0,,,,,,,,,,,,102218.0,150943.0,157345.0,145588.0,144628.0,121587.0,96008.0,,,0.0,0.0,0.0,0.0,0.0,6233.0,0.0,,,316324.0,390166.0,579490.0,578651.0,540327.0,348893.0,334713.0,,,21717.0,36586.0,39149.0,83036.0,99106.0,138386.0,140023.0,,,327185.0,608875.0,663108.0,688681.0,514708.0,448354.0,707631.0,,,6745333.0,6424859.0,6605423.0,5995853.0,6369333.0,4376142.0,5209603.0,,,478623.0,650966.0,931744.0,929923.0,848782.0,589264.0,524015.0,,
ARE,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,,,,,,,11.0,9.0,16.0,28.0,22.0,13.0,13.0,10.0,16.0,440.0,215.0,125.0,124.0,116.0,231.0,172.0,328.0,105.0,92.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.364714165,1.142863218,0.657389585,0.64542658,0.597694753,1.178072551,0.868204533,1.639319682,0.51949337,0.450375476,0.261573413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.520505307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,11.0,9.0,18.0,23.0,22.0,13.0,13.0,10.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,9.0,16.0,28.0,22.0,13.0,13.0,10.0,16.0,3862.0,3479.0,2114.0,345.0,2850.0,1268.0,439.0,1077.0,337.0,1174268.7,1162868.1,1140066.7,4002334.5,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,,,,,,,,,,,,,,,,3862.0,3479.0,2114.0,345.0,2850.0,1268.0,439.0,1077.0,337.0,11.0,9.0,16.0,28.0,22.0,13.0,13.0,10.0,16.0
ARM,,,,,,,2.0,2.0,2.0,6.0,,3.0,,2.0,2.0,141.0,79.0,52.0,29.0,47.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.045110935,0.025613185,0.017017767,0.009542713,0.01554983,0.002328404,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2.0,2.0,2.0,6.0,,3.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,6.0,,3.0,,,,1213.0,465.0,350.0,320.0,,121.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,1213.0,465.0,350.0,320.0,,121.0,,,,2.0,2.0,2.0,6.0,,3.0,,2.0,2.0
AZE,,,,,,,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,,1526.0,1054.0,505.0,480.0,386.0,242.0,141.0,108.0,72.0,78.0,50.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,8.116157856,5.553506507,2.637061947,2.484317744,1.976780511,1.223854028,0.703729768,0.531886078,0.350058343,0.374882849,0.237668566,0.018788958,0.013911302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,0.0,,,,,405416.0,465860.0,373562.0,358009.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,405416.0,465860.0,373562.0,358009.0,,,,,,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,
