COUNTRY,YEAR,IndicatorCode,NumericValue
MEX,2010,NTD_1,
MYS,2004,NTD_1,
PER,2004,NTD_1,
GNQ,2014,NTD_1,
BRA,2004,NTD_1,
AGO,2016,NTD_1,
BRA,2007,NTD_1,
UGA,2021,NTD_1,
GNQ,2016,NTD_1,
PNG,2008,NTD_1,24.0
LBR,2020,NTD_1,1.0
GHA,2010,NTD_1,1048.0
AGO,2021,NTD_1,13.0
JPN,2015,NTD_1,4.0
CHN,2021,NTD_1,
GAB,2008,NTD_1,53.0
GHA,2022,NTD_1,106.0
NGA,2011,NTD_1,4.0
LKA,2021,NTD_1,
CAF,2022,NTD_1,
LKA,2008,NTD_1,
KIR,2008,NTD_1,
SSD,2002,NTD_1,568.0
AGO,2006,NTD_1,
KIR,2022,NTD_1,
IDN,2008,NTD_1,
MWI,2002,NTD_1,
BRA,2020,NTD_1,
GNQ,2002,NTD_1,
UGA,2019,NTD_1,
CMR,2002,NTD_1,132.0
KEN,2018,NTD_1,
AUS,2008,NTD_1,40.0
UGA,2012,NTD_1,
LKA,2011,NTD_1,
IDN,2004,NTD_1,
PER,2020,NTD_1,
MYS,2015,NTD_1,
CHN,2014,NTD_1,
PNG,2011,NTD_1,8.0
SEN,2016,NTD_1,
COD,2002,NTD_1,17.0
GNQ,2007,NTD_1,
GNQ,2005,NTD_1,3.0
BFA,2016,NTD_1,
SEN,2020,NTD_1,
AUS,2016,NTD_1,198.0
CIV,2022,NTD_1,271.0
MYS,2016,NTD_1,
UGA,2004,NTD_1,7.0
SUR,2005,NTD_1,
TGO,2019,NTD_1,51.0
SLE,2021,NTD_1,
BRA,2014,NTD_1,
CAF,2016,NTD_1,
BRA,2006,NTD_1,
AGO,2005,NTD_1,
MEX,2005,NTD_1,
SEN,2018,NTD_1,
LKA,2019,NTD_1,
COG,2003,NTD_1,180.0
LKA,2010,NTD_1,
SUR,2013,NTD_1,
PNG,2003,NTD_1,18.0
LBR,2011,NTD_1,
