COUNTRY,YEAR,IndicatorCode,NumericValue
QAT,2024,NTD_LEISHCEND,
SGP,2024,NTD_LEISHCEND,
DNK,2024,NTD_LEISHCEND,
GMB,2024,NTD_LEISHCEND,
MRT,2024,NTD_LEISHCEND,
GIN,2024,NTD_LEISHCEND,
AZE,2024,NTD_LEISHCEND,
RWA,2024,NTD_LEISHCEND,
PER,2024,NTD_LEISHCEND,
MAR,2024,NTD_LEISHCEND,
KEN,2024,NTD_LEISHCEND,
BGR,2024,NTD_LEISHCEND,
COD,2024,NTD_LEISHCEND,
TUV,2024,NTD_LEISHCEND,
MNG,2024,NTD_LEISHCEND,
LBR,2024,NTD_LEISHCEND,
BWA,2024,NTD_LEISHCEND,
MDG,2024,NTD_LEISHCEND,
NIC,2024,NTD_LEISHCEND,
PAN,2024,NTD_LEISHCEND,
BRN,2024,NTD_LEISHCEND,
CYP,2024,NTD_LEISHCEND,
CPV,2024,NTD_LEISHCEND,
NRU,2024,NTD_LEISHCEND,
MLT,2024,NTD_LEISHCEND,
DMA,2024,NTD_LEISHCEND,
IRN,2024,NTD_LEISHCEND,
SUR,2024,NTD_LEISHCEND,
GAB,2024,NTD_LEISHCEND,
TZA,2024,NTD_LEISHCEND,
IDN,2024,NTD_LEISHCEND,
SLB,2024,NTD_LEISHCEND,
CUB,2024,NTD_LEISHCEND,
KWT,2024,NTD_LEISHCEND,
STP,2024,NTD_LEISHCEND,
PNG,2024,NTD_LEISHCEND,
HUN,2024,NTD_LEISHCEND,
LAO,2024,NTD_LEISHCEND,
SVN,2024,NTD_LEISHCEND,
WSM,2024,NTD_LEISHCEND,
NOR,2024,NTD_LEISHCEND,
MNE,2024,NTD_LEISHCEND,
SSD,2024,NTD_LEISHCEND,
TCD,2024,NTD_LEISHCEND,
PLW,2024,NTD_LEISHCEND,
CAN,2024,NTD_LEISHCEND,
TON,2024,NTD_LEISHCEND,
FIN,2024,NTD_LEISHCEND,
CAF,2024,NTD_LEISHCEND,
UKR,2024,NTD_LEISHCEND,
KNA,2024,NTD_LEISHCEND,
GRC,2024,NTD_LEISHCEND,
DJI,2024,NTD_LEISHCEND,
FSM,2024,NTD_LEISHCEND,
GHA,2024,NTD_LEISHCEND,
TLS,2024,NTD_LEISHCEND,
ARM,2024,NTD_LEISHCEND,
DEU,2024,NTD_LEISHCEND,
ARG,2024,NTD_LEISHCEND,
PRT,2024,NTD_LEISHCEND,
NZL,2024,NTD_LEISHCEND,
SOM,2024,NTD_LEISHCEND,
LCA,2024,NTD_LEISHCEND,
AGO,2024,NTD_LEISHCEND,
GUY,2024,NTD_LEISHCEND,
MLI,2024,NTD_LEISHCEND,
