IndicatorCode,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM
YEAR,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,12752.0,19689.0,30319.0,24585.0,32937.0,32145.0,31293.0,33894.0,23621.0,19065.0,29392.0,34912.0,32065.0,38407.0,55225.0,44167.0,39554.0,58131.0,82742.0,87271.0,,,,,,,,,,,,,,,,,,11.0,21.0,24.0,16.0,12.0,8.0,9.0,14.0,23.0,20.0,12.0,20.0,27.0,33.0,32.0,,,,,,,,,,,,
ALB,3.0,3.0,7.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,6.0,0.0,2.0,2.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,136.0,117.0,108.0,75.0,62.0,60.0,52.0,53.0,54.0,33.0,15.0,15.0,22.0,45.0,7.0,6.0,21.0,,3.0,,,,,0.0,0.0,0.0,0.0,,,,,
AND,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ARE,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,99.0,41.0,1.0,,15.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,2.0,,0.0,1.0
ARG,282.0,257.0,201.0,208.0,163.0,166.0,140.0,173.0,90.0,138.0,334.0,241.0,306.0,303.0,232.0,176.0,328.0,117.0,135.0,202.0,,,3.0,0.0,,0.0,9.0,6.0,9.0,,9.0,8.0,0.0,2.0,17.0,19.0,18.0,21.0,15.0,24.0,6.0,11.0,8.0,11.0,9.0,2.0,6.0,11.0,16.0,11.0,28.0,30.0,,,3.0,0.0,,0.0,3.0,0.0,0.0,,1.0,1.0
ARM,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,,,0.0,3.0,5.0,9.0,14.0,,9.0,7.0,8.0,7.0,9.0,18.0,17.0,17.0,17.0,17.0,15.0,10.0,14.0,29.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
AZE,15.0,17.0,22.0,14.0,33.0,45.0,31.0,19.0,33.0,15.0,18.0,35.0,10.0,16.0,43.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,24.0,23.0,32.0,35.0,16.0,32.0,15.0,22.0,14.0,6.0,28.0,44.0,51.0,40.0,61.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
BEL,,,,,,,,,,,,,,,,,,,,,12.0,,,,23.0,25.0,23.0,27.0,14.0,,33.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,16.0,1.0,3.0,8.0,3.0,,3.0,
BFA,827.0,827.0,,,,,1389.0,1134.0,947.0,741.0,729.0,1075.0,712.0,856.0,501.0,416.0,873.0,928.0,307.0,1239.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,
BGD,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,,,,0.0,6892.0,9379.0,4932.0,4840.0,4293.0,3800.0,2874.0,1902.0,1103.0,650.0,544.0,258.0,210.0,124.0,97.0,47.0,35.0,47.0,34.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
