IndicatorCode,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR14,NTD_LEPR14,NTD_LEPR14,NTD_LEPR14,NTD_LEPR14,NTD_LEPR14,NTD_LEPR14,NTD_LEPR14,NTD_LEPR14,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45
YEAR,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,13.0,13.0,11.0,14.0,18.0,17.0,22.0,13.0,3.0,6.0,4.0,5.0,1.0,0.204,0.186,0.199,0.261,0.129,0.382,0.189,0.0,0.123,0.057,,0.044,0.055,,,,0.0,,0.0,,,,1.241,1.277,1.215,1.291,1.385,1.267,1.157,0.815,0.565,0.474,0.17,0.284,0.141,43.0,44.0,38.0,42.0,48.0,45.0,38.0,11.0,22.0,19.0,9.0,17.0,6.0,1.442,1.44,1.215,1.29125,1.385,1.267,1.022,0.289,0.565,0.474,0.22,0.402,0.141,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,0.03258,0.06303,0.03053,0.05928,0.05771,0.05629,0.0269,0.03,0.0,0.05,0.02,0.047,0.047,3.0,3.0,3.0,4.0,2.0,6.0,3.0,0.0,2.0,1.0,,1.0,1.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,31.0,21.0,26.0,24.0,52.0,51.0,50.0,37.0,39.0,38.0,42.0,48.0,45.0,43.0,31.0,22.0,19.0,7.0,12.0,6.0
AGO,,,,420.0,235.0,257.0,312.0,197.0,157.0,197.0,201.0,188.0,254.0,4.641,5.122,,7.16,3.839,2.508,4.735,7.818,3.673,5.966,6.62,5.754,4.166,0.0,0.0,,0.0,0.0,,0.0,,0.0,20.701,39.587,,,21.483,20.313,27.491,22.655,12.84,23.099,24.17,22.871,23.307,1159.0,1092.0,,1173.0,1230.0,1018.0,1070.0,1070.0,1870.0,13.0,1731.0,1937.0,1853.0,55.666,50.858,,42.104,42.688,34.179,34.729,33.621,56.897,0.377,48.64,52.802,48.91,,,,111.0,111.0,98.0,145.0,112.0,20.0,187.0,85.0,105.0,92.0,,,,3.98431,3.85236,3.29034,4.7063,3.52,0.61,5.42,2.39,2.862,2.428,55.0,76.0,,94.0,52.0,35.0,68.0,116.0,56.0,93.0,106.0,117.0,70.0,,,5.0,4.0,5.0,0.0,6.0,72.0,9.0,24.0,11.0,1877.0,1078.0,1269.0,1184.0,937.0,1076.0,508.0,431.0,850.0,,823.0,619.0,605.0,847.0,721.0,422.0,797.0,860.0,839.0,883.0
ALB,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,0.0,,,0.0,,0.0,,,,0.0,,,0.0,,0.0,,,,0.0,,,,0.0,,,0.0,,0.0,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,0.0,,,0.0,,0.0,,,,,,0.0,,,0.0,,0.0,,,0.0,,,0.0,,,,,0.0,0.0,,,0.0,,,0.0,,0.0
AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33084.0,,,,,,,,,,,
AND,,,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,12.53,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,12.486,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0
ARE,,0.0,,,2.0,,0.0,2.0,1.0,1.0,2.0,2.0,5.0,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,40.0,,68.0,55.0,78.0,0.0,38.0,51.0,41.0,,3.317,,,4.315,0.0,7.061,5.629,7.886,4.378,4.03,5.989,3.718,,0.0,,,0.0,0.0,0.0,1065.0,,41.0,0.0,3.0,0.0,,0.0,,,0.0,0.0,0.0,,,4.378,0.0,0.315,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,7.0,,11.0,10.0,0.0,10.0,,,31.0,,,40.0,0.0,68.0,55.0,78.0,41.0,38.0,57.0,41.0
ARG,104.0,88.0,117.0,118.0,119.0,102.0,110.0,74.0,24.0,35.0,51.0,55.0,51.0,0.187,0.182,0.37,0.46,0.458,0.365,0.455,0.091,0.181,0.284,0.19,0.216,0.304,76.0,32.0,25.0,12.0,10.0,16.0,17.0,13.0,16.0,7.545,7.455,7.511,6.679,6.728,5.647,6.064,4.712,2.899,3.158,3.12,2.927,3.392,603.0,538.0,511.0,586.0,513.0,440.0,476.0,370.0,329.0,357.0,343.0,284.0,289.0,14.676,12.981,12.224,13.49709,11.7,9.939,10.73,8.262,7.279,7.885,7.54,6.204,6.324,35.0,29.0,27.0,43.0,36.0,36.0,38.0,16.0,17.0,13.0,20.0,25.0,17.0,0.83142,0.68171,0.62818,0.99038,0.82103,0.81317,0.85661,0.36,0.38,0.287,0.44,0.546,0.372,2.0,2.0,4.0,5.0,5.0,4.0,5.0,1.0,2.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,484.0,412.0,312.0,388.0,333.0,354.0,340.0,310.0,309.0,314.0,290.0,295.0,250.0,269.0,211.0,131.0,143.0,142.0,134.0,155.0
ARM,,,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
