IndicatorCode,NTD_ONCHEMO,NTD_ONCHEMO,NTD_ONCHEMO,NTD_ONCHEMO,NTD_ONCHEMO,NTD_ONCHEMO,NTD_ONCHEMO,NTD_ONCHEMO,NTD_ONCHEMO,NTD_ONCHEMO,NTD_ONCHEMO,NTD_ONCHEMO,NTD_ONCTREAT,NTD_ONCTREAT,NTD_ONCTREAT,NTD_ONCTREAT,NTD_ONCTREAT,NTD_ONCTREAT,NTD_ONCTREAT,NTD_ONCTREAT,NTD_ONCTREAT,NTD_ONCTREAT,NTD_ONCTREAT,NTD_ONCTREAT,NTD_ONCTREAT,NTD_ONCTREAT,NTD_ONCTREAT,NTD_ONCTREAT,NTD_ONCTREAT,NTD_ONCTREAT,NTD_ONCTREAT,NTD_ONCTREAT
YEAR,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,2540933.0,2609589.0,5598633.0,5553472.0,5561326.0,5719813.0,5759007.0,,6233935.0,6430925.0,6772368.0,6772368.0,48286.0,69923.0,278093.0,282913.0,423391.0,711276.0,131487.0,430329.0,,145643.0,0.0,123759.0,231106.0,1142370.0,670224.0,2003569.0,0.0,0.0,1797738.0,2681161.0
BDI,1526788.0,2259717.0,1664143.0,1698290.0,1737426.0,1825304.0,1932403.0,,2071686.0,2125963.0,2181663.0,2266748.0,164794.0,756833.0,860416.0,899564.0,1044371.0,1146033.0,1176498.0,1204433.0,1245115.0,1286570.0,1352797.0,1358226.0,1437189.0,1514812.0,1576933.0,,0.0,1764893.0,1814017.0,1937227.0
BEN,3427756.0,3520306.0,6417650.0,6642274.0,5865389.0,5685180.0,6070676.0,,6005261.0,6215444.0,6385123.0,6545392.0,,562436.0,,1960056.0,,,2745061.0,2768062.0,2764755.0,2952152.0,3651804.0,3795689.0,4309310.0,4567943.0,4548030.0,,4112681.0,4551367.0,0.0,4839816.0
BFA,224342.0,231037.0,252961.0,255594.0,260001.0,279379.0,275034.0,,285926.0,316383.0,337175.0,340655.0,98460.0,132529.0,,133341.0,,,176936.0,186040.0,187732.0,202009.0,244178.0,242786.0,230153.0,228293.0,224377.0,,57350.0,250928.0,266131.0,270762.0
BRA,13982.0,13982.0,15323.0,15475.0,15475.0,16985.0,16985.0,,18000.0,19593.0,19593.0,16842.0,6834.0,6836.0,7549.0,7925.0,7968.0,8824.0,9206.0,9760.0,9760.0,9862.0,10745.0,10560.0,11460.0,12280.0,12342.0,,10743.0,9774.0,10418.0,11514.0
CAF,2107828.0,2149163.0,2256621.0,2485741.0,2485741.0,2688483.0,2606167.0,,3578661.0,3647805.0,4016059.0,3798119.0,966364.0,763715.0,724791.0,870516.0,1088053.0,1264508.0,1502260.0,985325.0,,651857.0,,1240157.0,,921480.0,1727295.0,,2175465.0,0.0,1673019.0,1659920.0
CIV,2285120.0,2335027.0,3096711.0,3069563.0,3096211.0,4185263.0,3829278.0,,19558880.0,20057637.0,20569107.0,22621435.0,,,,404397.0,224292.0,1339774.0,1333662.0,1219178.0,1001818.0,1865273.0,2107463.0,2929230.0,3096211.0,4134441.0,3648272.0,,14588755.0,15133669.0,16063053.0,17961183.0
CMR,8753217.0,8940799.0,10866999.0,10866998.0,9909128.0,11479661.0,11709244.0,,11465695.0,11290383.0,11469628.0,11772428.0,3613842.0,4148276.0,4427481.0,4647473.0,4809180.0,5300025.0,5403559.0,5500491.0,6176064.0,7203643.0,7572216.0,8161467.0,7540235.0,7348709.0,5732355.0,,8024640.0,8202580.0,9130244.0,8890816.0
