IndicatorCode,NTD_1,NTD_1,NTD_1,NTD_1,NTD_1,NTD_1,NTD_1,NTD_1,NTD_1,NTD_1,NTD_1,NTD_1,NTD_1,NTD_1,NTD_1,NTD_1,NTD_1,NTD_1,NTD_1,NTD_1,NTD_1,NTD_BU_CONF,NTD_BU_CONF,NTD_BU_CONF,NTD_BU_CONF,NTD_BU_CONF,NTD_BU_CONF,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP,NTD_BU_SUSP
YEAR,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2019,2020,2021,2022,2023,2024,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,,,,,,,,,,,,,,,,,,,,13.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,13.0,,,
AUS,32.0,14.0,34.0,47.0,72.0,61.0,40.0,35.0,42.0,143.0,105.0,74.0,89.0,111.0,198.0,297.0,348.0,308.0,221.0,291.0,343.0,308.0,221.0,291.0,341.0,376.0,364.0,32.0,14.0,34.0,47.0,72.0,61.0,40.0,35.0,42.0,143.0,105.0,74.0,89.0,111.0,198.0,297.0,348.0,308.0,221.0,291.0,341.0,376.0,364.0
BEN,565.0,722.0,925.0,1045.0,1195.0,1203.0,897.0,674.0,572.0,492.0,365.0,378.0,330.0,311.0,312.0,267.0,219.0,240.0,197.0,178.0,166.0,,86.0,62.0,54.0,116.0,91.0,565.0,722.0,925.0,1045.0,1195.0,1203.0,897.0,674.0,572.0,492.0,365.0,378.0,330.0,311.0,312.0,267.0,219.0,240.0,197.0,178.0,166.0,146.0,119.0
CAF,,,,,,,3.0,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,3.0,,,,,,,,,,,,,,,77.0,
CIV,750.0,768.0,1153.0,1564.0,1872.0,2191.0,2242.0,2679.0,2533.0,1659.0,1386.0,1039.0,827.0,549.0,376.0,344.0,261.0,251.0,231.0,239.0,271.0,,120.0,166.0,220.0,153.0,184.0,750.0,768.0,1153.0,1564.0,1872.0,2191.0,2242.0,2679.0,2533.0,1659.0,1386.0,1039.0,827.0,549.0,376.0,344.0,261.0,251.0,231.0,239.0,271.0,207.0,219.0
CMR,132.0,223.0,914.0,265.0,271.0,230.0,312.0,323.0,287.0,256.0,160.0,133.0,126.0,133.0,85.0,86.0,155.0,106.0,118.0,168.0,312.0,35.0,41.0,34.0,26.0,35.0,28.0,132.0,223.0,914.0,265.0,271.0,230.0,312.0,323.0,287.0,256.0,160.0,133.0,126.0,133.0,85.0,86.0,155.0,106.0,118.0,168.0,312.0,133.0,154.0
COD,17.0,119.0,487.0,51.0,74.0,340.0,260.0,172.0,136.0,209.0,284.0,214.0,192.0,234.0,175.0,120.0,99.0,41.0,334.0,259.0,558.0,0.0,111.0,54.0,84.0,74.0,40.0,17.0,119.0,487.0,51.0,74.0,340.0,260.0,172.0,136.0,209.0,284.0,214.0,192.0,234.0,175.0,120.0,99.0,41.0,334.0,259.0,558.0,332.0,432.0
COG,102.0,180.0,235.0,53.0,370.0,99.0,126.0,147.0,107.0,56.0,38.0,6.0,,,,,,,,199.0,107.0,,,0.0,3.0,15.0,21.0,102.0,180.0,235.0,53.0,370.0,99.0,126.0,147.0,107.0,56.0,38.0,6.0,,,,,,,,199.0,107.0,83.0,87.0
