IndicatorCode,NTD_RAB2,NTD_RAB2,NTD_RAB2,NTD_RAB2,NTD_RAB2,NTD_RAB2,NTD_RAB2,NTD_RAB2,NTD_RAB2,NTD_RAB2,NTD_RAB2,NTD_RAB2,NTD_RAB2,NTD_RAB2,NTD_RAB2
YEAR,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
COUNTRY,,,,,,,,,,,,,,,
AFG,,,,,,,,,15.0,10.0,16.0,21.0,18.0,,
AGO,,,,,,151.0,271.0,249.0,,,,,,274.0,
ALB,,,,,0.0,0.0,0.0,0.0,,,,,,,
ARE,,,,,,,,,,,0.0,,,,
ARG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
ARM,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0,0.0,,,1.0,
ATG,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
AUS,0.0,0.0,,,,,,,,,,0.0,,,
AUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AZE,,,,,,2.0,3.0,2.0,7.0,5.0,2.0,,,,
BDI,,,,,,,,,,,,,,,2.0
BEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BEN,,,,,,3.0,,,,,,,,42.0,25.0
BFA,,,29.0,11.0,19.0,17.0,,,,,25.0,57.0,123.0,94.0,47.0
BGD,,,,,,83.0,66.0,80.0,57.0,57.0,26.0,40.0,45.0,47.0,56.0
BGR,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BHR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BHS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
BIH,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
BLR,,2.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,,,
BLZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
BOL,2.0,10.0,1.0,2.0,4.0,5.0,1.0,7.0,5.0,1.0,1.0,5.0,1.0,2.0,1.0
BRA,3.0,2.0,5.0,5.0,0.0,2.0,2.0,6.0,11.0,1.0,2.0,1.0,5.0,2.0,2.0
BRB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
BRN,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0
BTN,,,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
BWA,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0
CAF,,,,,,,,,,,,,0.0,,
CAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0
CHE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
CHL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
CHN,2014.0,1879.0,1361.0,1128.0,854.0,801.0,644.0,516.0,422.0,290.0,202.0,157.0,134.0,122.0,
CIV,,,,,,17.0,18.0,18.0,25.0,29.0,18.0,15.0,25.0,35.0,21.0
CMR,,,,,,,,,,,61.0,7.0,2.0,2.0,4.0
COD,,,,,,0.0,,,,,,,,,221.0
COL,5.0,0.0,2.0,0.0,0.0,,0.0,,0.0,0.0,1.0,1.0,0.0,,
CPV,,0.0,0.0,,,,,,,,,,,0.0,
CRI,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,
CUB,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0
CYP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CZE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DEU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
DMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
DNK,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
DOM,2.0,0.0,5.0,3.0,0.0,4.0,0.0,4.0,4.0,1.0,0.0,0.0,,,1.0
DZA,,,,,7.0,20.0,15.0,20.0,22.0,,,,,,11.0
