COUNTRY,YEAR,IndicatorCode,NumericValue
GIN,2016,NTD_TSOL3,104000.0
BWA,2020,NTD_TSOL3,2464.0
ARM,2020,NTD_TSOL3,223250.0
PLW,2020,NTD_TSOL3,
BLZ,2020,NTD_TSOL3,25661.0
HRV,2016,NTD_TSOL3,1110000.0
KAZ,2020,NTD_TSOL3,816736.0
ARG,2016,NTD_TSOL3,2440000.0
CPV,2016,NTD_TSOL3,84559.0
MYS,2016,NTD_TSOL3,1816660.0
CRI,2020,NTD_TSOL3,395598.0
RUS,2016,NTD_TSOL3,18816357.0
MRT,2020,NTD_TSOL3,
TTO,2016,NTD_TSOL3,35000.0
PRK,2016,NTD_TSOL3,2265000.0
NOR,2020,NTD_TSOL3,785161.0
URY,2020,NTD_TSOL3,162000.0
UGA,2016,NTD_TSOL3,2497600.0
HUN,2016,NTD_TSOL3,2989000.0
NZL,2016,NTD_TSOL3,297724.0
MLI,2020,NTD_TSOL3,87215.0
NAM,2020,NTD_TSOL3,105395.0
IDN,2020,NTD_TSOL3,9069892.0
COK,2016,NTD_TSOL3,32200.0
ZAF,2016,NTD_TSOL3,1600000.0
IRQ,2016,NTD_TSOL3,0.0
ATG,2016,NTD_TSOL3,5000.0
VEN,2016,NTD_TSOL3,3900000.0
TKM,2020,NTD_TSOL3,7726.0
COM,2020,NTD_TSOL3,
SWE,2020,NTD_TSOL3,1383200.0
USA,2016,NTD_TSOL3,64775000.0
LVA,2020,NTD_TSOL3,306820.0
SWZ,2020,NTD_TSOL3,35758.0
SLB,2020,NTD_TSOL3,55293.0
MDA,2016,NTD_TSOL3,410400.0
VUT,2016,NTD_TSOL3,94000.0
GRD,2020,NTD_TSOL3,2955.0
PHL,2020,NTD_TSOL3,12795721.0
GBR,2020,NTD_TSOL3,5148000.0
JPN,2020,NTD_TSOL3,9123909.0
SAU,2020,NTD_TSOL3,
MWI,2020,NTD_TSOL3,7794586.0
DEU,2020,NTD_TSOL3,26069900.0
BEL,2020,NTD_TSOL3,6218270.0
PHL,2016,NTD_TSOL3,11843051.0
SLE,2020,NTD_TSOL3,268746.0
NRU,2020,NTD_TSOL3,3049.0
TLS,2020,NTD_TSOL3,444897.0
GTM,2016,NTD_TSOL3,2768500.0
STP,2020,NTD_TSOL3,42985.0
EGY,2016,NTD_TSOL3,10600.0
LSO,2016,NTD_TSOL3,81000.0
