COUNTRY,YEAR,IndicatorCode,NumericValue
ISR,2025,NTD_6,
NLD,2025,NTD_6,
SWZ,2025,NTD_6,
SYR,2025,NTD_6,
ITA,2025,NTD_6,
ARG,2025,NTD_6,
SLE,2025,NTD_6,
GHA,2025,NTD_6,
NZL,2025,NTD_6,
LVA,2025,NTD_6,
ZAF,2025,NTD_6,
MDV,2025,NTD_6,
KHM,2025,NTD_6,
VNM,2025,NTD_6,
NAM,2025,NTD_6,
ISL,2025,NTD_6,
KAZ,2025,NTD_6,
KGZ,2025,NTD_6,
UZB,2025,NTD_6,
CAN,2025,NTD_6,
IRL,2025,NTD_6,
BIH,2025,NTD_6,
DZA,2025,NTD_6,
GRC,2025,NTD_6,
LTU,2025,NTD_6,
CYP,2025,NTD_6,
GTM,2025,NTD_6,
PNG,2025,NTD_6,
TUR,2025,NTD_6,
BGR,2025,NTD_6,
VCT,2025,NTD_6,
FIN,2025,NTD_6,
CHN,2025,NTD_6,
BLR,2025,NTD_6,
DOM,2025,NTD_6,
TLS,2025,NTD_6,
ECU,2025,NTD_6,
STP,2025,NTD_6,
NER,2025,NTD_6,
MDG,2025,NTD_6,
TGO,2025,NTD_6,
FJI,2025,NTD_6,
SMR,2025,NTD_6,
SVK,2025,NTD_6,
NRU,2025,NTD_6,
LKA,2025,NTD_6,
MNG,2025,NTD_6,
IDN,2025,NTD_6,
SUR,2025,NTD_6,
TZA,2025,NTD_6,
DNK,2025,NTD_6,
KEN,2025,NTD_6,
AGO,2025,NTD_6,
BLZ,2025,NTD_6,
PRY,2025,NTD_6,
GNQ,2025,NTD_6,
KIR,2025,NTD_6,
VUT,2025,NTD_6,
PRK,2025,NTD_6,
DJI,2025,NTD_6,
ARM,2025,NTD_6,
MHL,2025,NTD_6,
ZWE,2025,NTD_6,
MOZ,2025,NTD_6,
BGD,2025,NTD_6,
GRD,2025,NTD_6,
MDA,2025,NTD_6,
PAN,2025,NTD_6,
SWE,2025,NTD_6,
POL,2025,NTD_6,
IRQ,2025,NTD_6,
USA,2025,NTD_6,
PLW,2025,NTD_6,
VEN,2025,NTD_6,
LBR,2025,NTD_6,
DEU,2025,NTD_6,
BHR,2025,NTD_6,
PHL,2025,NTD_6,
SRB,2025,NTD_6,
MYS,2025,NTD_6,
DMA,2025,NTD_6,
NIC,2025,NTD_6,
SAU,2025,NTD_6,
JPN,2025,NTD_6,
SYC,2025,NTD_6,
LBY,2025,NTD_6,
ERI,2025,NTD_6,
TON,2025,NTD_6,
CHL,2025,NTD_6,
GMB,2025,NTD_6,
CRI,2025,NTD_6,
SVN,2025,NTD_6,
IND,2025,NTD_6,
BRB,2025,NTD_6,
PER,2025,NTD_6,
SGP,2025,NTD_6,
NIU,2025,NTD_6,
TUV,2025,NTD_6,
CPV,2025,NTD_6,
IRN,2025,NTD_6,
ARE,2025,NTD_6,
LCA,2025,NTD_6,
BEL,2025,NTD_6,
ESP,2025,NTD_6,
SOM,2025,NTD_6,
AUT,2025,NTD_6,
UGA,2025,NTD_6,
FSM,2025,NTD_6,
MEX,2025,NTD_6,
ETH,2025,NTD_6,
PRT,2025,NTD_6,
MCO,2025,NTD_6,
WSM,2025,NTD_6,
ALB,2025,NTD_6,
CHE,2025,NTD_6,
COD,2025,NTD_6,
TCD,2025,NTD_6,
AND,2025,NTD_6,
PAK,2025,NTD_6,
CZE,2025,NTD_6,
GAB,2025,NTD_6,
MLT,2025,NTD_6,
CAF,2025,NTD_6,
RUS,2025,NTD_6,
JAM,2025,NTD_6,
JOR,2025,NTD_6,
GNB,2025,NTD_6,
MLI,2025,NTD_6,
SLB,2025,NTD_6,
BWA,2025,NTD_6,
GBR,2025,NTD_6,
NGA,2025,NTD_6,
CUB,2025,NTD_6,
TUN,2025,NTD_6,
GUY,2025,NTD_6,
HRV,2025,NTD_6,
QAT,2025,NTD_6,
BRA,2025,NTD_6,
RWA,2025,NTD_6,
ATG,2025,NTD_6,
TTO,2025,NTD_6,
OMN,2025,NTD_6,
BOL,2025,NTD_6,
CIV,2025,NTD_6,
ZMB,2025,NTD_6,
BTN,2025,NTD_6,
MUS,2025,NTD_6,
COG,2025,NTD_6,
COM,2025,NTD_6,
MWI,2025,NTD_6,
MMR,2025,NTD_6,
LBN,2025,NTD_6,
