IndicatorCode,NTD_7,NTD_7,NTD_7,NTD_7,NTD_7,NTD_7,NTD_7,NTD_7,NTD_7,NTD_7,NTD_7,NTD_7,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_8,NTD_TRA5,NTD_TRA5,NTD_TRA5,NTD_TRA5,NTD_TRA5,NTD_TRA5,NTD_TRA5,NTD_TRA5,NTD_TRA5,NTD_TRA5,NTD_TRA5
YEAR,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,262736.0,,,,,,429310.0,446163.0,447064.0,456005.0,465125.0,474427.0,,,8282.0,5330.0,6032.0,0.0,,203.0,,185.0,0.0,0.0,,3430.0,5771.0,0.0,,0.0,0.0,0.0,41.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0
AGO,,,,,,,,,,853622.0,882921.0,910291.0,,,,,69.0,49.0,144.0,197.0,63.0,99.0,157.0,85.0,72.0,36.0,42.0,,0.0,0.0,0.0,0.0,6.0,16.0,12.0,2.0,4.0,0.0,,0.0,0.0,0.0,0.0
AUS,144692.0,54311.0,17476.0,20994.0,20123.0,20123.0,13700.0,20401.0,18286.0,3477.0,10441.0,8631.0,,,,5709.0,,,,,,9785.0,8550.0,11369.0,9202.0,6459.0,4696.0,3752.0,1817.0,882.0,1677.0,1674.0,16.0,11.0,14.0,9.0,1.0,6.0,2.0,5.0,2.0,7.0,6.0
BDI,,673660.0,2293534.0,2467199.0,1861943.0,382790.0,188217.0,0.0,0.0,0.0,0.0,0.0,,,,,875.0,875.0,653216.0,161884.0,,0.0,0.0,0.0,0.0,0.0,179073.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEN,560873.0,1025779.0,1173099.0,1154786.0,1112343.0,1237030.0,519010.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,424989.0,1083924.0,470696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,93.0,330.0,5.0,0.0,0.0
BFA,2330303.0,5550988.0,4398135.0,4288965.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1053174.0,966404.0,3405260.0,2893060.0,4699418.0,2498155.0,2423890.0,1093486.0,1157426.0,4385808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,258.0,382.0,950.0,733.0,64.0,120.0,348.0,229.0,153.0,101.0
BRA,,5489056.0,4402470.0,4943337.0,4943337.0,4943337.0,4943337.0,5042204.0,5143048.0,5245909.0,0.0,0.0,25000.0,,90000.0,40000.0,60000.0,50000.0,0.0,20000.0,140205.0,183868.0,238562.0,285018.0,32150.0,50797.0,224.0,0.0,224.0,,600.0,677.0,1126.0,1478.0,1131.0,1705.0,1105.0,0.0,0.0,20.0,,0.0,0.0
BWA,,,,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.0
CAF,3766803.0,2440520.0,2021778.0,2035086.0,2590015.0,2866251.0,3108413.0,3531155.0,3601778.0,3860632.0,3947522.0,3630485.0,,,,,45500.0,230000.0,,3221.0,,0.0,128647.0,355938.0,823749.0,672970.0,1078744.0,550759.0,1701830.0,1087082.0,0.0,2288013.0,48.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHN,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1074.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
CIV,,,1890060.0,2068076.0,2605145.0,2665715.0,6755650.0,7862733.0,6237002.0,3739598.0,1069656.0,0.0,,,,,,0.0,,,,0.0,0.0,667318.0,997442.0,0.0,2250428.0,1979599.0,3881055.0,966932.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,5.0,9.0,0.0,2.0,4.0
CMR,1613234.0,2415234.0,2177419.0,1638749.0,0.0,0.0,243522.0,323140.0,331541.0,371057.0,286898.0,323829.0,,,,,110000.0,,732063.0,1497733.0,1418244.0,1147878.0,,421376.0,0.0,0.0,0.0,0.0,238217.0,183000.0,117261.0,0.0,4047.0,1104.0,561.0,802.0,421.0,292.0,0.0,0.0,72.0,321.0,0.0
COD,,267818.0,3011531.0,5461980.0,7096441.0,9418824.0,12534712.0,13264523.0,10237798.0,8607017.0,10082258.0,9201738.0,,,,,0.0,0.0,,,,0.0,0.0,705896.0,1027046.0,1771607.0,7137971.0,1851734.0,3047826.0,1924566.0,1125267.0,831427.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,192.0,35.0,0.0
COL,113512.0,16609.0,139242.0,152101.0,153567.0,186680.0,191348.0,195175.0,199078.0,203060.0,207121.0,228096.0,,,,,,,,,14152.0,13813.0,13348.0,792.0,23629.0,22562.0,,,8075.0,8376.0,28948.0,32258.0,24.0,16.0,18.0,4.0,5.0,,,0.0,0.0,0.0,8.0
DZA,22713.0,,,,5392.0,5392.0,5392.0,5500.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,4614.0,1425.0,,,,0.0,6766.0,,,,,0.0,41.0,,,,0.0,48.0,
EGY,32563245.0,,1640557.0,1673826.0,1736759.0,1888299.0,1916624.0,1945374.0,1974555.0,2004173.0,2054277.0,2090193.0,,,,,,,,100000.0,,1033.0,0.0,0.0,0.0,0.0,285256.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
ERI,1289598.0,,1441264.0,1497725.0,1076700.0,956062.0,399861.0,125856.0,96000.0,98688.0,0.0,0.0,,,1364817.0,1364830.0,0.0,77933.0,547332.0,,370007.0,46917.0,169073.0,269102.0,743984.0,0.0,91262.0,90240.0,94025.0,0.0,0.0,0.0,892.0,1035.0,1105.0,1594.0,1991.0,1953.0,948.0,965.0,913.0,1275.0,1011.0
