COUNTRY,YEAR,IndicatorCode,NumericValue
SLE,2011,NTD_4,
SEN,2024,NTD_4,0.0
GAB,2009,NTD_4,14.0
GHA,1990,NTD_4,3.0
TCD,2011,NTD_4,276.0
GHA,2021,NTD_4,0.0
TCD,2012,NTD_4,197.0
GAB,2017,NTD_4,9.0
AGO,2008,NTD_4,517.0
LBR,1999,NTD_4,
SLE,2009,NTD_4,
CMR,2018,NTD_4,7.0
SLE,2020,NTD_4,
GNQ,2003,NTD_4,23.0
GMB,2013,NTD_4,
BEN,2008,NTD_4,0.0
AGO,1990,NTD_4,1498.0
COG,1998,NTD_4,201.0
GNQ,2007,NTD_4,15.0
TGO,2013,NTD_4,0.0
BEN,2018,NTD_4,0.0
BEN,2021,NTD_4,0.0
GNB,1993,NTD_4,
CIV,1995,NTD_4,326.0
SEN,1999,NTD_4,
GIN,2008,NTD_4,90.0
TCD,2014,NTD_4,95.0
GHA,2005,NTD_4,0.0
MLI,2013,NTD_4,0.0
LBR,1994,NTD_4,
CIV,2006,NTD_4,29.0
AGO,2016,NTD_4,20.0
AGO,2020,NTD_4,33.0
AGO,2003,NTD_4,3115.0
LBR,1997,NTD_4,
GNQ,2012,NTD_4,2.0
GHA,1995,NTD_4,0.0
GHA,1994,NTD_4,0.0
GHA,2024,NTD_4,0.0
CMR,2011,NTD_4,15.0
GAB,1998,NTD_4,6.0
AGO,1994,NTD_4,1274.0
TGO,2001,NTD_4,0.0
NGA,2008,NTD_4,0.0
SLE,2024,NTD_4,0.0
GMB,2015,NTD_4,
GNB,1994,NTD_4,
GMB,2018,NTD_4,
CAF,2002,NTD_4,572.0
LBR,2019,NTD_4,
SSD,2021,NTD_4,10.0
GHA,2016,NTD_4,0.0
TGO,1997,NTD_4,0.0
CMR,2017,NTD_4,5.0
UGA,2005,NTD_4,311.0
LBR,2001,NTD_4,
AGO,2022,NTD_4,44.0
LBR,2021,NTD_4,0.0
BFA,2021,NTD_4,0.0
UGA,2001,NTD_4,310.0
NER,1994,NTD_4,
SLE,2018,NTD_4,
AGO,1992,NTD_4,2406.0
COG,2021,NTD_4,18.0
CIV,2015,NTD_4,3.0
GNB,2005,NTD_4,
GAB,2003,NTD_4,26.0
CMR,2012,NTD_4,7.0
GMB,2019,NTD_4,
GMB,2023,NTD_4,0.0
GNB,2000,NTD_4,
GIN,2013,NTD_4,78.0
BEN,2010,NTD_4,0.0
AGO,2018,NTD_4,79.0
SSD,2012,NTD_4,317.0
GNB,2013,NTD_4,
CMR,1993,NTD_4,3.0
CAF,2008,NTD_4,1194.0
GAB,2013,NTD_4,17.0
AGO,2007,NTD_4,648.0
CIV,1997,NTD_4,185.0
CIV,2000,NTD_4,188.0
UGA,2009,NTD_4,99.0
UGA,2007,NTD_4,120.0
GIN,1999,NTD_4,68.0
AGO,1993,NTD_4,1796.0
TCD,1995,NTD_4,315.0
GIN,2019,NTD_4,69.0
LBR,1995,NTD_4,
SEN,2022,NTD_4,0.0
GHA,1992,NTD_4,16.0
GNB,1990,NTD_4,
SEN,2007,NTD_4,
CIV,2005,NTD_4,42.0
LBR,1998,NTD_4,
NGA,2024,NTD_4,0.0
