IndicatorCode,NTD_4,NTD_4,NTD_4,NTD_4,NTD_4,NTD_4,NTD_4,NTD_4,NTD_4,NTD_4,NTD_4,NTD_4,NTD_4,NTD_4,NTD_4,NTD_4,NTD_4,NTD_4,NTD_4,NTD_4,NTD_4,NTD_4,NTD_4,NTD_4,NTD_4,NTD_4,NTD_4,NTD_4,NTD_4,NTD_4,NTD_4,NTD_4,NTD_4,NTD_4,NTD_4,NTD_5,NTD_5,NTD_5,NTD_5,NTD_5,NTD_5,NTD_5,NTD_5,NTD_5,NTD_5,NTD_5,NTD_5,NTD_5,NTD_5,NTD_5,NTD_5,NTD_5,NTD_5,NTD_5,NTD_5,NTD_5,NTD_5,NTD_5,NTD_5,NTD_5,NTD_5,NTD_5,NTD_5,NTD_5,NTD_5,NTD_5,NTD_5,NTD_5,NTD_5,NTD_5
YEAR,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,1498.0,2094.0,2406.0,1796.0,1274.0,2441.0,6726.0,8275.0,6610.0,5351.0,4546.0,4577.0,3621.0,3115.0,2280.0,1727.0,1105.0,648.0,517.0,247.0,211.0,154.0,70.0,69.0,36.0,35.0,20.0,18.0,79.0,30.0,33.0,174.0,44.0,52.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
BEN,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,27.0,27.0,20.0,17.0,18.0,13.0,12.0,1.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAF,308.0,197.0,362.0,262.0,368.0,676.0,492.0,730.0,1068.0,869.0,988.0,718.0,572.0,539.0,738.0,666.0,460.0,654.0,1194.0,1054.0,395.0,132.0,381.0,59.0,194.0,147.0,101.0,76.0,57.0,86.0,39.0,44.0,110.0,104.0,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIV,365.0,349.0,456.0,260.0,206.0,326.0,240.0,185.0,121.0,104.0,188.0,92.0,97.0,68.0,74.0,42.0,29.0,13.0,14.0,8.0,8.0,10.0,9.0,7.0,6.0,3.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,86.0,69.0,21.0,3.0,20.0,21.0,17.0,10.0,54.0,32.0,27.0,14.0,32.0,33.0,17.0,3.0,15.0,7.0,13.0,24.0,16.0,15.0,7.0,6.0,7.0,6.0,6.0,5.0,7.0,20.0,2.0,11.0,7.0,11.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COD,7515.0,5825.0,7757.0,11384.0,19021.0,18182.0,19342.0,25094.0,26318.0,18684.0,16951.0,17300.0,13816.0,11459.0,10339.0,10249.0,8013.0,8155.0,7318.0,7178.0,5624.0,5590.0,5968.0,5647.0,3205.0,2347.0,1768.0,1100.0,660.0,613.0,395.0,425.0,516.0,394.0,330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COG,580.0,703.0,727.0,829.0,418.0,475.0,474.0,142.0,201.0,91.0,111.0,894.0,1005.0,717.0,873.0,398.0,300.0,189.0,182.0,87.0,87.0,61.0,39.0,20.0,21.0,36.0,18.0,15.0,24.0,17.0,15.0,18.0,10.0,14.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2.0,0.0
GAB,80.0,45.0,33.0,80.0,61.0,20.0,32.0,11.0,6.0,38.0,45.0,30.0,26.0,26.0,49.0,53.0,31.0,30.0,24.0,14.0,22.0,17.0,9.0,17.0,10.0,9.0,10.0,9.0,16.0,8.0,11.0,18.0,21.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,3.0,6.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,52.0,29.0,24.0,27.0,26.0,33.0,38.0,88.0,99.0,68.0,52.0,72.0,132.0,130.0,95.0,94.0,48.0,69.0,90.0,79.0,68.0,57.0,70.0,78.0,33.0,29.0,108.0,139.0,74.0,69.0,36.0,28.0,30.0,24.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNQ,63.0,36.0,45.0,30.0,85.0,37.0,46.0,67.0,62.0,28.0,16.0,17.0,32.0,23.0,22.0,17.0,13.0,15.0,11.0,7.0,8.0,1.0,2.0,3.0,0.0,0.0,3.0,4.0,4.0,3.0,1.0,3.0,13.0,7.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,8.0,4.0,2.0,1.0,0.0,2.0,5.0,14.0,22.0,15.0,10.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLI,0.0,0.0,0.0,27.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,24.0,10.0,16.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
MWI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.0,195.0,143.0,53.0,31.0,15.0,8.0,7.0,10.0,11.0,35.0,38.0,43.0,70.0,48.0,41.0,58.0,50.0,49.0,39.0,29.0,23.0,18.0,35.0,32.0,30.0,35.0,7.0,15.0,91.0,89.0,49.0,24.0,16.0,13.0
NER,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,14.0,14.0,26.0,31.0,10.0,21.0,3.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLE,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSD,67.0,58.0,28.0,62.0,69.0,56.0,157.0,737.0,1726.0,1312.0,1801.0,1919.0,3121.0,3061.0,1742.0,1853.0,789.0,469.0,623.0,373.0,199.0,272.0,317.0,117.0,63.0,45.0,17.0,12.0,17.0,11.0,15.0,10.0,30.0,50.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCD,20.0,221.0,149.0,65.0,214.0,315.0,178.0,122.0,134.0,187.0,153.0,138.0,715.0,222.0,483.0,190.0,276.0,97.0,196.0,510.0,232.0,276.0,197.0,195.0,95.0,67.0,54.0,28.0,12.0,16.0,17.0,15.0,18.0,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.0,177.0,366.0,262.0,319.0,422.0,400.0,354.0,299.0,288.0,350.0,277.0,228.0,113.0,159.0,186.0,127.0,126.0,59.0,14.0,5.0,1.0,4.0,1.0,1.0,2.0,4.0,3.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0
UGA,2066.0,1328.0,2042.0,1764.0,1469.0,1062.0,981.0,1123.0,971.0,1036.0,948.0,310.0,604.0,517.0,378.0,311.0,290.0,120.0,198.0,99.0,101.0,44.0,20.0,9.0,9.0,4.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1417.0,832.0,606.0,503.0,342.0,497.0,178.0,217.0,283.0,283.0,300.0,426.0,329.0,338.0,335.0,473.0,261.0,119.0,138.0,129.0,112.0,84.0,71.0,43.0,70.0,28.0,10.0,13.0,4.0,5.0,2.0,2.0,0.0,0.0,3.0
ZMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,4.0,1.0,1.0,1.0,3.0,,,15.0,9.0,4.0,5.0,15.0,9.0,7.0,6.0,10.0,13.0,4.0,8.0,3.0,6.0,6.0,12.0,9.0,4.0,3.0,5.0,15.0,6.0,3.0,7.0,5.0,18.0
ZWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,9.0,,,,,,,,3.0,,,0.0,3.0,2.0,4.0,9.0,1.0,3.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0
