COUNTRY,YEAR,IndicatorCode,NumericValue
MOZ,2018,NTD_ONCHEMO,
COL,2019,NTD_ONCHEMO,
TCD,2017,NTD_ONCHEMO,5641756.0
BRA,2024,NTD_ONCHEMO,16842.0
CMR,2017,NTD_ONCHEMO,9909128.0
GNQ,2016,NTD_ONCHEMO,98797.0
UGA,2014,NTD_ONCHEMO,4449401.0
MLI,2019,NTD_ONCHEMO,6106340.0
SEN,2021,NTD_ONCHEMO,347321.0
ECU,2020,NTD_ONCHEMO,
SDN,2013,NTD_ONCHEMO,435419.0
ETH,2023,NTD_ONCHEMO,28901151.0
YEM,2016,NTD_ONCHEMO,322819.0
AGO,2016,NTD_ONCHEMO,5553472.0
CIV,2017,NTD_ONCHEMO,3096211.0
TCD,2020,NTD_ONCHEMO,
VEN,2023,NTD_ONCHEMO,18452.0
SLE,2020,NTD_ONCHEMO,
BFA,2017,NTD_ONCHEMO,260001.0
ETH,2018,NTD_ONCHEMO,17221291.0
MLI,2022,NTD_ONCHEMO,6790076.0
MOZ,2013,NTD_ONCHEMO,64868.0
BDI,2013,NTD_ONCHEMO,1526788.0
CIV,2020,NTD_ONCHEMO,
GNQ,2020,NTD_ONCHEMO,
BDI,2021,NTD_ONCHEMO,2071686.0
BFA,2019,NTD_ONCHEMO,275034.0
COL,2014,NTD_ONCHEMO,
COG,2019,NTD_ONCHEMO,713514.0
SDN,2023,NTD_ONCHEMO,196703.0
MWI,2013,NTD_ONCHEMO,2215041.0
CIV,2014,NTD_ONCHEMO,2335027.0
TCD,2019,NTD_ONCHEMO,5791444.0
BRA,2020,NTD_ONCHEMO,
CIV,2021,NTD_ONCHEMO,19558880.0
SLE,2022,NTD_ONCHEMO,7362099.0
VEN,2015,NTD_ONCHEMO,14212.0
MWI,2021,NTD_ONCHEMO,2490955.0
CAF,2023,NTD_ONCHEMO,4016059.0
ETH,2015,NTD_ONCHEMO,16570870.0
TCD,2016,NTD_ONCHEMO,3819804.0
SDN,2015,NTD_ONCHEMO,380904.0
CIV,2016,NTD_ONCHEMO,3069563.0
SLE,2014,NTD_ONCHEMO,3242242.0
YEM,2018,NTD_ONCHEMO,628728.0
CIV,2018,NTD_ONCHEMO,4185263.0
COG,2024,NTD_ONCHEMO,841658.0
MLI,2024,NTD_ONCHEMO,7311532.0
CAF,2019,NTD_ONCHEMO,2606167.0
BRA,2016,NTD_ONCHEMO,15475.0
NER,2020,NTD_ONCHEMO,
GIN,2021,NTD_ONCHEMO,7960337.0
UGA,2019,NTD_ONCHEMO,2368399.0
COG,2013,NTD_ONCHEMO,1427670.0
SEN,2015,NTD_ONCHEMO,877204.0
GNQ,2019,NTD_ONCHEMO,98797.0
COG,2018,NTD_ONCHEMO,678758.0
GNB,2021,NTD_ONCHEMO,579506.0
MEX,2017,NTD_ONCHEMO,
BRA,2015,NTD_ONCHEMO,15323.0
BEN,2017,NTD_ONCHEMO,5865389.0
BFA,2013,NTD_ONCHEMO,224342.0
NER,2024,NTD_ONCHEMO,
CAF,2020,NTD_ONCHEMO,
LBR,2023,NTD_ONCHEMO,3762030.0
COD,2022,NTD_ONCHEMO,54801844.0
GNB,2015,NTD_ONCHEMO,472476.0
KEN,2013,NTD_ONCHEMO,
BFA,2022,NTD_ONCHEMO,316383.0
ECU,2014,NTD_ONCHEMO,
MWI,2014,NTD_ONCHEMO,2286853.0
ECU,2013,NTD_ONCHEMO,
COG,2016,NTD_ONCHEMO,596972.0
CAF,2015,NTD_ONCHEMO,2256621.0
AGO,2023,NTD_ONCHEMO,6772368.0
RWA,2017,NTD_ONCHEMO,
GIN,2015,NTD_ONCHEMO,8401792.0
LBR,2018,NTD_ONCHEMO,3094538.0
MOZ,2016,NTD_ONCHEMO,18279.0
TGO,2019,NTD_ONCHEMO,3688250.0
SSD,2015,NTD_ONCHEMO,7317734.0
COD,2017,NTD_ONCHEMO,46447852.0
MOZ,2022,NTD_ONCHEMO,
CAF,2017,NTD_ONCHEMO,2485741.0
GNB,2018,NTD_ONCHEMO,533512.0
SSD,2022,NTD_ONCHEMO,9209212.0
COL,2016,NTD_ONCHEMO,
NER,2018,NTD_ONCHEMO,
GTM,2016,NTD_ONCHEMO,
SEN,2013,NTD_ONCHEMO,180485.0
GHA,2023,NTD_ONCHEMO,4944189.0
AGO,2018,NTD_ONCHEMO,5719813.0
TGO,2014,NTD_ONCHEMO,3186658.0
BDI,2022,NTD_ONCHEMO,2125963.0
COG,2020,NTD_ONCHEMO,
RWA,2024,NTD_ONCHEMO,
CAF,2022,NTD_ONCHEMO,3647805.0
TGO,2013,NTD_ONCHEMO,3123011.0
COL,2017,NTD_ONCHEMO,
UGA,2018,NTD_ONCHEMO,2012913.0
SEN,2014,NTD_ONCHEMO,185181.0
RWA,2022,NTD_ONCHEMO,
NGA,2021,NTD_ONCHEMO,50876435.0
NGA,2023,NTD_ONCHEMO,46890284.0
BRA,2022,NTD_ONCHEMO,19593.0
KEN,2023,NTD_ONCHEMO,
BEN,2018,NTD_ONCHEMO,5685180.0
GTM,2015,NTD_ONCHEMO,
LBR,2021,NTD_ONCHEMO,3237250.0
NER,2019,NTD_ONCHEMO,
SSD,2018,NTD_ONCHEMO,7467149.0
BDI,2024,NTD_ONCHEMO,2266748.0
LBR,2024,NTD_ONCHEMO,3837984.0
NGA,2022,NTD_ONCHEMO,43465628.0
KEN,2024,NTD_ONCHEMO,
BEN,2015,NTD_ONCHEMO,6417650.0
MEX,2022,NTD_ONCHEMO,
SLE,2018,NTD_ONCHEMO,5842131.0
GIN,2013,NTD_ONCHEMO,3275821.0
GNQ,2024,NTD_ONCHEMO,
GHA,2019,NTD_ONCHEMO,7621642.0
AGO,2024,NTD_ONCHEMO,6772368.0
GHA,2022,NTD_ONCHEMO,8616893.0
GNQ,2023,NTD_ONCHEMO,
SDN,2018,NTD_ONCHEMO,456851.0
GAB,2023,NTD_ONCHEMO,783365.0
MWI,2022,NTD_ONCHEMO,1673854.0
TZA,2023,NTD_ONCHEMO,6675782.0
UGA,2021,NTD_ONCHEMO,1684108.0
TCD,2018,NTD_ONCHEMO,5703057.0
ETH,2014,NTD_ONCHEMO,12104208.0
UGA,2015,NTD_ONCHEMO,2240172.0
COD,2019,NTD_ONCHEMO,49326691.0
GTM,2018,NTD_ONCHEMO,
CAF,2024,NTD_ONCHEMO,3798119.0
SEN,2022,NTD_ONCHEMO,356387.0
RWA,2018,NTD_ONCHEMO,
MWI,2023,NTD_ONCHEMO,2106734.0
RWA,2013,NTD_ONCHEMO,
NGA,2015,NTD_ONCHEMO,47484244.0
CAF,2018,NTD_ONCHEMO,2688483.0
COG,2017,NTD_ONCHEMO,661383.0
CIV,2024,NTD_ONCHEMO,22621435.0
COL,2020,NTD_ONCHEMO,
VEN,2019,NTD_ONCHEMO,16761.0
BEN,2021,NTD_ONCHEMO,6005261.0
GAB,2017,NTD_ONCHEMO,76466.0
BFA,2014,NTD_ONCHEMO,231037.0
GIN,2023,NTD_ONCHEMO,8401212.0
KEN,2015,NTD_ONCHEMO,
GNB,2022,NTD_ONCHEMO,592821.0
MOZ,2015,NTD_ONCHEMO,17759.0
GNB,2016,NTD_ONCHEMO,517050.0
TGO,2016,NTD_ONCHEMO,5402535.0
COD,2023,NTD_ONCHEMO,55374689.0
NGA,2014,NTD_ONCHEMO,51392689.0
BRA,2013,NTD_ONCHEMO,13982.0
KEN,2017,NTD_ONCHEMO,
MOZ,2014,NTD_ONCHEMO,16914.0
COD,2015,NTD_ONCHEMO,40348952.0
GTM,2024,NTD_ONCHEMO,
LBR,2017,NTD_ONCHEMO,2575431.0
TGO,2022,NTD_ONCHEMO,4018551.0
UGA,2013,NTD_ONCHEMO,4313818.0
CMR,2016,NTD_ONCHEMO,10866998.0
COG,2022,NTD_ONCHEMO,804412.0
NER,2021,NTD_ONCHEMO,
SDN,2020,NTD_ONCHEMO,
COD,2024,NTD_ONCHEMO,57748368.0
RWA,2019,NTD_ONCHEMO,
SSD,2017,NTD_ONCHEMO,7532425.0
TZA,2017,NTD_ONCHEMO,6223741.0
MLI,2016,NTD_ONCHEMO,5528833.0
BDI,2014,NTD_ONCHEMO,2259717.0
ECU,2019,NTD_ONCHEMO,
BDI,2019,NTD_ONCHEMO,1932403.0
AGO,2015,NTD_ONCHEMO,5598633.0
GAB,2016,NTD_ONCHEMO,76466.0
COD,2018,NTD_ONCHEMO,50388597.0
BDI,2023,NTD_ONCHEMO,2181663.0
YEM,2017,NTD_ONCHEMO,628728.0
GHA,2021,NTD_ONCHEMO,8390624.0
LBR,2019,NTD_ONCHEMO,3175460.0
SLE,2019,NTD_ONCHEMO,6230730.0
ECU,2024,NTD_ONCHEMO,
MLI,2018,NTD_ONCHEMO,5894346.0
UGA,2016,NTD_ONCHEMO,1975870.0
GAB,2021,NTD_ONCHEMO,721967.0
TZA,2014,NTD_ONCHEMO,3542959.0
NER,2013,NTD_ONCHEMO,
MEX,2020,NTD_ONCHEMO,
GIN,2016,NTD_ONCHEMO,6781592.0
MWI,2015,NTD_ONCHEMO,2240773.0
SLE,2017,NTD_ONCHEMO,5944634.0
AGO,2013,NTD_ONCHEMO,2540933.0
LBR,2013,NTD_ONCHEMO,3092730.0
BEN,2019,NTD_ONCHEMO,6070676.0
GIN,2014,NTD_ONCHEMO,3358110.0
ETH,2019,NTD_ONCHEMO,23153508.0
ETH,2017,NTD_ONCHEMO,17506842.0
VEN,2014,NTD_ONCHEMO,12800.0
UGA,2022,NTD_ONCHEMO,1511426.0
ETH,2013,NTD_ONCHEMO,11858617.0
VEN,2020,NTD_ONCHEMO,
KEN,2021,NTD_ONCHEMO,
SDN,2014,NTD_ONCHEMO,662366.0
BFA,2023,NTD_ONCHEMO,337175.0
SLE,2024,NTD_ONCHEMO,7068534.0
TZA,2015,NTD_ONCHEMO,5657719.0
TGO,2021,NTD_ONCHEMO,3915680.0
GHA,2020,NTD_ONCHEMO,
CMR,2015,NTD_ONCHEMO,10866999.0
TCD,2024,NTD_ONCHEMO,6171351.0
MWI,2018,NTD_ONCHEMO,2480265.0
RWA,2021,NTD_ONCHEMO,
GNQ,2017,NTD_ONCHEMO,98797.0
CMR,2018,NTD_ONCHEMO,11479661.0
GTM,2021,NTD_ONCHEMO,
MEX,2015,NTD_ONCHEMO,
GTM,2014,NTD_ONCHEMO,
TZA,2021,NTD_ONCHEMO,6752340.0
TGO,2017,NTD_ONCHEMO,5092592.0
MWI,2020,NTD_ONCHEMO,
NGA,2019,NTD_ONCHEMO,50567805.0
NGA,2024,NTD_ONCHEMO,40379411.0
BFA,2016,NTD_ONCHEMO,255594.0
MEX,2019,NTD_ONCHEMO,
GNQ,2021,NTD_ONCHEMO,
RWA,2014,NTD_ONCHEMO,
SEN,2017,NTD_ONCHEMO,714920.0
GHA,2017,NTD_ONCHEMO,8066348.0
VEN,2021,NTD_ONCHEMO,17518.0
TZA,2019,NTD_ONCHEMO,6476193.0
SLE,2013,NTD_ONCHEMO,3175897.0
BEN,2020,NTD_ONCHEMO,
KEN,2019,NTD_ONCHEMO,
COG,2021,NTD_ONCHEMO,786404.0
TZA,2016,NTD_ONCHEMO,6015438.0
COG,2023,NTD_ONCHEMO,822832.0
GTM,2017,NTD_ONCHEMO,
TGO,2020,NTD_ONCHEMO,3819743.0
GTM,2013,NTD_ONCHEMO,
CMR,2022,NTD_ONCHEMO,11290383.0
NER,2022,NTD_ONCHEMO,
GAB,2015,NTD_ONCHEMO,74550.0
CMR,2024,NTD_ONCHEMO,11772428.0
SEN,2020,NTD_ONCHEMO,
TCD,2014,NTD_ONCHEMO,2579785.0
GNQ,2015,NTD_ONCHEMO,95067.0
MOZ,2020,NTD_ONCHEMO,
CIV,2019,NTD_ONCHEMO,3829278.0
BEN,2024,NTD_ONCHEMO,6545392.0
CMR,2014,NTD_ONCHEMO,8940799.0
COD,2013,NTD_ONCHEMO,42394937.0
ECU,2016,NTD_ONCHEMO,
SLE,2015,NTD_ONCHEMO,3374326.0
BRA,2018,NTD_ONCHEMO,16985.0
CMR,2021,NTD_ONCHEMO,11465695.0
BFA,2024,NTD_ONCHEMO,340655.0
SLE,2016,NTD_ONCHEMO,5333157.0
ETH,2016,NTD_ONCHEMO,17402030.0
ECU,2021,NTD_ONCHEMO,
BFA,2021,NTD_ONCHEMO,285926.0
SDN,2017,NTD_ONCHEMO,456851.0
NER,2016,NTD_ONCHEMO,
RWA,2015,NTD_ONCHEMO,
ETH,2024,NTD_ONCHEMO,30555363.0
AGO,2020,NTD_ONCHEMO,
TCD,2015,NTD_ONCHEMO,3819804.0
YEM,2022,NTD_ONCHEMO,1457625.0
VEN,2022,NTD_ONCHEMO,18452.0
GAB,2020,NTD_ONCHEMO,
CMR,2013,NTD_ONCHEMO,8753217.0
SSD,2013,NTD_ONCHEMO,6806792.0
GTM,2020,NTD_ONCHEMO,
MLI,2014,NTD_ONCHEMO,5232154.0
TCD,2021,NTD_ONCHEMO,6089228.0
CAF,2016,NTD_ONCHEMO,2485741.0
BFA,2018,NTD_ONCHEMO,279379.0
COL,2018,NTD_ONCHEMO,
MOZ,2021,NTD_ONCHEMO,
COL,2021,NTD_ONCHEMO,
COD,2021,NTD_ONCHEMO,52044663.0
GNQ,2013,NTD_ONCHEMO,85805.0
UGA,2017,NTD_ONCHEMO,2669822.0
GNB,2019,NTD_ONCHEMO,553775.0
BDI,2016,NTD_ONCHEMO,1698290.0
AGO,2022,NTD_ONCHEMO,6430925.0
KEN,2014,NTD_ONCHEMO,
GNQ,2014,NTD_ONCHEMO,90540.0
BRA,2014,NTD_ONCHEMO,13982.0
SEN,2016,NTD_ONCHEMO,915362.0
SSD,2019,NTD_ONCHEMO,8215863.0
MWI,2024,NTD_ONCHEMO,2031239.0
CMR,2019,NTD_ONCHEMO,11709244.0
SDN,2016,NTD_ONCHEMO,501181.0
LBR,2016,NTD_ONCHEMO,2911626.0
ETH,2021,NTD_ONCHEMO,26249925.0
UGA,2024,NTD_ONCHEMO,651348.0
MOZ,2019,NTD_ONCHEMO,
MEX,2023,NTD_ONCHEMO,
BFA,2020,NTD_ONCHEMO,
LBR,2014,NTD_ONCHEMO,3174470.0
BEN,2013,NTD_ONCHEMO,3427756.0
GIN,2019,NTD_ONCHEMO,7083264.0
