COUNTRY,YEAR,IndicatorCode,NumericValue
SEN,2023,HWF_0010,0.11
NOR,2007,HWF_0010,8.72
MAR,2004,HWF_0010,1.03
BDI,2011,HWF_0010,0.0
BRA,1997,HWF_0010,6.16
ZWE,2018,HWF_0010,0.07
USA,2021,HWF_0010,6.0
CZE,1993,HWF_0010,5.71
NOR,2013,HWF_0010,8.73
MLI,2004,HWF_0010,0.03
CPV,2006,HWF_0010,0.06
TKM,1998,HWF_0010,1.79
MDG,2003,HWF_0010,0.09
ZWE,2021,HWF_0010,0.3
BHR,2018,HWF_0010,0.81
ETH,2019,HWF_0010,0.13
IRL,2013,HWF_0010,5.73
IDN,2019,HWF_0010,0.58
KOR,1998,HWF_0010,2.79
BOL,2021,HWF_0010,2.29
TZA,2018,HWF_0010,0.12
ZMB,2022,HWF_0010,0.15
HRV,1999,HWF_0010,6.65
EST,2006,HWF_0010,8.87
MYS,2001,HWF_0010,0.95
IRL,1993,HWF_0010,4.01
DNK,2005,HWF_0010,8.57
ITA,1991,HWF_0010,3.44
KGZ,1996,HWF_0010,2.36
TUN,2005,HWF_0010,1.8
SYR,2009,HWF_0010,7.19
AZE,1992,HWF_0010,3.1
CHL,2021,HWF_0010,14.83
BEL,2006,HWF_0010,7.35
IRL,2018,HWF_0010,6.6
CMR,2007,HWF_0010,0.02
CHE,2015,HWF_0010,5.07
SVN,2022,HWF_0010,7.43
NRU,2004,HWF_0010,0.99
GEO,2002,HWF_0010,3.4
ECU,1990,HWF_0010,1.45
TTO,2011,HWF_0010,2.46
LVA,2017,HWF_0010,7.1
KNA,2001,HWF_0010,3.28
ARE,2017,HWF_0010,6.08
LVA,2001,HWF_0010,5.3
NLD,1997,HWF_0010,4.47
ISR,2015,HWF_0010,8.24
BIH,2005,HWF_0010,1.76
SRB,2021,HWF_0010,2.45
SAU,2013,HWF_0010,4.46
THA,1993,HWF_0010,0.49
MEX,1994,HWF_0010,0.75
CHL,2008,HWF_0010,0.01
TJK,2000,HWF_0010,1.47
OMN,2020,HWF_0010,3.3
LTU,1999,HWF_0010,6.5
EST,1993,HWF_0010,5.82
FIN,2000,HWF_0010,9.71
LTU,1996,HWF_0010,4.64
ESP,2022,HWF_0010,6.03
BGD,2010,HWF_0010,0.29
NOR,2011,HWF_0010,8.84
ESP,2011,HWF_0010,6.19
COD,2016,HWF_0010,0.02
BGR,2013,HWF_0010,9.72
POL,1990,HWF_0010,4.78
NLD,1994,HWF_0010,4.73
CHE,1995,HWF_0010,4.93
COL,2001,HWF_0010,7.22
KOR,1999,HWF_0010,3.02
MKD,2011,HWF_0010,7.95
PLW,2018,HWF_0010,2.25
ISR,1995,HWF_0010,10.82
KOR,1997,HWF_0010,2.68
CYP,1992,HWF_0010,5.95
AND,1995,HWF_0010,4.85
ISL,1997,HWF_0010,10.47
OMN,2022,HWF_0010,3.59
POL,2017,HWF_0010,3.49
POL,1997,HWF_0010,4.6
BEL,2017,HWF_0010,7.49
BIH,2006,HWF_0010,1.9
BIH,2016,HWF_0010,2.42
MEX,1992,HWF_0010,0.63
AUS,2009,HWF_0010,5.26
CHE,2000,HWF_0010,4.83
KWT,2020,HWF_0010,8.1
AND,2003,HWF_0010,6.33
ISL,2004,HWF_0010,9.82
BIH,2019,HWF_0010,2.58
GBR,2010,HWF_0010,5.13
MKD,2019,HWF_0010,9.47
SWE,2010,HWF_0010,8.11
BEL,2020,HWF_0010,7.69
ISR,1997,HWF_0010,9.45
IRL,2003,HWF_0010,5.44
ECU,2016,HWF_0010,3.18
SVK,2017,HWF_0010,5.01
GBR,2007,HWF_0010,4.79
TJK,1998,HWF_0010,1.84
BGD,2009,HWF_0010,0.26
LVA,2003,HWF_0010,5.56
CPV,2018,HWF_0010,1.58
GEO,2014,HWF_0010,5.67
AUT,1992,HWF_0010,3.82
ALB,1999,HWF_0010,4.47
WSM,2010,HWF_0010,2.33
NGA,2006,HWF_0010,0.15
FIN,2006,HWF_0010,7.54
NZL,2004,HWF_0010,3.85
CAF,2004,HWF_0010,0.01
LKA,2004,HWF_0010,0.38
COL,1996,HWF_0010,6.72
BRA,2006,HWF_0010,11.64
GRC,2001,HWF_0010,11.43
ESP,2003,HWF_0010,4.71
MDG,2002,HWF_0010,0.07
NOR,2000,HWF_0010,8.03
ZWE,2007,HWF_0010,0.15
KNA,1999,HWF_0010,3.14
UZB,1999,HWF_0010,2.21
MEX,2003,HWF_0010,0.94
FRA,2002,HWF_0010,7.1
OMN,2006,HWF_0010,1.97
PRT,1990,HWF_0010,1.69
BHR,2005,HWF_0010,1.05
PAK,1999,HWF_0010,0.25
CAN,2006,HWF_0010,5.62
LVA,1994,HWF_0010,3.56
LTU,2018,HWF_0010,10.32
SWE,1990,HWF_0010,14.32
USA,2012,HWF_0010,5.96
CRI,2022,HWF_0010,10.89
IND,2014,HWF_0010,1.18
SWE,1993,HWF_0010,14.69
OMN,2013,HWF_0010,2.29
MWI,2018,HWF_0010,0.06
HUN,2004,HWF_0010,5.11
NER,2016,HWF_0010,0.01
ISL,2007,HWF_0010,9.43
DZA,2002,HWF_0010,2.79
ARM,2015,HWF_0010,3.7
CZE,1998,HWF_0010,6.22
BEL,2000,HWF_0010,7.47
ZMB,2009,HWF_0010,0.18
FRA,1999,HWF_0010,7.22
BTN,2021,HWF_0010,0.97
MDA,2004,HWF_0010,3.47
DNK,2002,HWF_0010,8.52
CPV,2010,HWF_0010,0.08
SMR,2022,HWF_0010,7.33
POL,2015,HWF_0010,3.29
MCO,2013,HWF_0010,10.73
NOR,2004,HWF_0010,8.05
CAN,2016,HWF_0010,6.34
SVK,2005,HWF_0010,5.43
PRT,2013,HWF_0010,8.48
CYP,1998,HWF_0010,6.42
KAZ,2019,HWF_0010,2.34
SWZ,2019,HWF_0010,0.12
BWA,2007,HWF_0010,0.17
TUR,2015,HWF_0010,3.1
ZWE,2016,HWF_0010,0.09
MAR,2021,HWF_0010,1.4
DMA,1997,HWF_0010,0.58
LTU,2000,HWF_0010,6.85
NLD,2020,HWF_0010,5.64
ESP,2013,HWF_0010,6.92
URY,2017,HWF_0010,14.71
ROU,2014,HWF_0010,7.44
EST,2001,HWF_0010,8.08
BRN,2004,HWF_0010,1.93
TJK,2005,HWF_0010,1.43
GMB,2019,HWF_0010,0.05
BRA,2017,HWF_0010,12.65
CYP,1996,HWF_0010,6.33
FRA,2008,HWF_0010,6.9
AUT,2009,HWF_0010,5.74
SYC,2004,HWF_0010,1.47
BOL,2010,HWF_0010,0.96
MMR,2007,HWF_0010,0.39
GRC,1996,HWF_0010,10.8
FJI,2019,HWF_0010,1.17
HTI,2013,HWF_0010,0.1
BRN,2018,HWF_0010,2.58
DEU,2008,HWF_0010,8.01
ISL,1998,HWF_0010,9.89
LKA,1991,HWF_0010,0.19
TJK,2016,HWF_0010,1.53
NLD,2019,HWF_0010,5.59
TUV,2020,HWF_0010,0.96
SWE,1998,HWF_0010,8.19
NER,2004,HWF_0010,0.01
UGA,2018,HWF_0010,0.01
KOR,1990,HWF_0010,1.76
CHE,2009,HWF_0010,5.21
GRC,2006,HWF_0010,12.87
KWT,2015,HWF_0010,6.75
AUT,2005,HWF_0010,5.14
LAO,2012,HWF_0010,0.49
SVN,2011,HWF_0010,6.25
MKD,1990,HWF_0010,5.39
NLD,2021,HWF_0010,5.74
MEX,1991,HWF_0010,0.6
DNK,2011,HWF_0010,8.02
LBR,2022,HWF_0010,0.02
PRK,2008,HWF_0010,1.74
JPN,1990,HWF_0010,5.84
AND,2019,HWF_0010,10.98
ZAF,2004,HWF_0010,1.14
BLR,2022,HWF_0010,5.87
MLT,2011,HWF_0010,4.38
RWA,2008,HWF_0010,0.06
MKD,2006,HWF_0010,5.62
PAK,2008,HWF_0010,0.48
GRD,2017,HWF_0010,1.47
MEX,1993,HWF_0010,0.71
ALB,1998,HWF_0010,4.33
BRA,2010,HWF_0010,11.51
SWE,1991,HWF_0010,14.43
GEO,2020,HWF_0010,5.35
UKR,2009,HWF_0010,6.37
KWT,2007,HWF_0010,3.39
BLR,2005,HWF_0010,4.71
BGR,2001,HWF_0010,8.18
TUN,1999,HWF_0010,1.35
IND,2020,HWF_0010,1.59
ISR,2000,HWF_0010,8.18
VUT,2012,HWF_0010,0.68
KWT,2013,HWF_0010,6.27
JPN,2018,HWF_0010,8.02
LKA,2006,HWF_0010,0.58
SAU,2008,HWF_0010,2.98
MEX,2019,HWF_0010,1.34
MDG,2008,HWF_0010,0.1
COL,2017,HWF_0010,15.42
AZE,2005,HWF_0010,2.78
TTO,2002,HWF_0010,1.65
MNE,2010,HWF_0010,0.41
BHR,2006,HWF_0010,1.04
ESP,2018,HWF_0010,8.02
CHL,2010,HWF_0010,5.57
BWA,2004,HWF_0010,0.21
MDA,1995,HWF_0010,4.36
NZL,2011,HWF_0010,5.98
HUN,2007,HWF_0010,4.0
GNB,2009,HWF_0010,0.05
AUT,2018,HWF_0010,5.94
