IndicatorCode,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0010,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0011,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0012,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,HWF_0013,ORALHEALTH_DENOMINATOR_CHEPPP,ORALHEALTH_DENOMINATOR_TTLPOP,ORALHEALTH_DENTALHEALTHCARE_EXP_PERCAP,ORALHEALTH_DENTALHEALTHCARE_EXP_TOTAL,ORALHEALTH_HWF_DENTALPROSTHETICTECH_10K,ORALHEALTH_UHC_GOVSCHEME,PRISON_B9_1_DENTISTS_RATIO
YEAR,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,1983,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2019,2020,2019,2019,2019,2021,2020
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,,,,,,,,,,,,,,,,,0.13,0.12,0.14,,,,,,0.03,0.04,0.04,,0.05,0.07,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.0,311.0,382.0,,,,,,111.0,123.0,120.0,,178.0,262.0,232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635.0,,,,648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545.0,,,,,285.6,38972.23,0.45686,16.68,0.14326,,
AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,,,,,,,,0.0,,,,,,,0.12,,,,,,,,,,,,,,0.53,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,222.0,,,,,,,,,,,,,,1652.0,,,,254.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.0,33428.486,2.32953,70.18406,,,
ALB,3.4,3.52,3.63,3.77,3.95,3.51,3.18,4.21,4.33,4.47,4.6,4.84,4.28,4.33,,,3.39,,,,,,,,,,,,10.27,,,,,,,,,,,,,,,,,,,,,,,,,,665.0,,,937.0,971.0,982.0,,,,1099.0,1115.0,1154.0,1190.0,1236.0,1290.0,1145.0,1033.0,1360.0,1390.0,1425.0,1457.0,1525.0,1342.0,1350.0,,,1035.0,,,,,,,,,,,,2973.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,,,,,,,2866.849,12.65606,36.3229,0.86778,,4.07
AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND,,,,,,4.85,,7.42,5.2,4.72,6.55,6.37,6.32,6.33,6.06,5.94,5.78,5.74,,6.08,6.57,7.07,6.9,7.45,8.28,9.97,10.25,10.57,10.51,10.98,11.63,11.61,11.67,12.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,48.0,34.0,31.0,43.0,42.0,42.0,44.0,45.0,46.0,46.0,47.0,,51.0,53.0,55.0,53.0,56.0,61.0,72.0,74.0,78.0,79.0,84.0,90.0,91.0,93.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3716.0,77.7,189.88976,14.62341,,,
ARE,,,,,,,,,,,2.3,2.81,2.91,3.04,3.35,3.03,2.71,3.41,3.37,4.29,4.44,4.17,4.19,4.06,4.87,5.67,5.72,6.08,6.71,7.01,7.26,7.64,8.29,8.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802.0,1045.0,1150.0,1274.0,1484.0,1414.0,1358.0,1919.0,2124.0,2874.0,3081.0,3000.0,3143.0,3181.0,4009.0,4916.0,5165.0,5611.0,6273.0,6576.0,6860.0,7476.0,8486.0,9413.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3393.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.0,,2996.0,9287.289,64.98664,698.54135,,30.0,
ARG,,,6.5,,,,,,7.95,,,,,,,,,,,,,,10.58,10.85,11.03,11.19,11.37,11.54,11.61,11.72,11.74,11.88,9.68,10.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21900.0,,,,,,28900.0,,,,,,,,,,,,,,44585.0,46195.0,47437.0,48668.0,49926.0,51091.0,51834.0,52705.0,53074.0,53821.0,43935.0,49466.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2199.0,45036.032,24.5488,1105.97272,1.19181,100.0,
