COUNTRY,YEAR,IndicatorCode,NumericValue
EMR,2017,AMRGLASS_SURVL01,54.0
AMR,2020,AMRGLASS_SURVL01,76.0
SEAR,2020,AMRGLASS_SURVL01,129.0
EUR,2019,AMRGLASS_SURVL01,1117.0
EMR,2020,AMRGLASS_SURVL01,149.0
AFR,2018,AMRGLASS_SURVL01,30.0
EUR,2017,AMRGLASS_SURVL01,131.0
EUR,2018,AMRGLASS_SURVL01,947.0
SEAR,2019,AMRGLASS_SURVL01,34.0
AFR,2019,AMRGLASS_SURVL01,39.0
AMR,2019,AMRGLASS_SURVL01,4132.0
EMR,2019,AMRGLASS_SURVL01,168.0
EMR,2018,AMRGLASS_SURVL01,100.0
AFR,2017,AMRGLASS_SURVL01,30.0
AFR,2020,AMRGLASS_SURVL01,217.0
WPR,2017,AMRGLASS_SURVL01,6.0
WPR,2020,AMRGLASS_SURVL01,104.0
SEAR,2017,AMRGLASS_SURVL01,2.0
WPR,2018,AMRGLASS_SURVL01,58.0
EUR,2020,AMRGLASS_SURVL01,1232.0
WPR,2019,AMRGLASS_SURVL01,67.0
SEAR,2018,AMRGLASS_SURVL01,28.0
EUR,2020,AMRGLASS_SURVL02,19558.0
AMR,2020,AMRGLASS_SURVL02,6.0
EMR,2017,AMRGLASS_SURVL02,109.0
AFR,2017,AMRGLASS_SURVL02,5.0
WPR,2019,AMRGLASS_SURVL02,68.0
AFR,2019,AMRGLASS_SURVL02,42.0
SEAR,2019,AMRGLASS_SURVL02,3.0
EUR,2017,AMRGLASS_SURVL02,6.0
SEAR,2018,AMRGLASS_SURVL02,1.0
AMR,2019,AMRGLASS_SURVL02,40600.0
AFR,2018,AMRGLASS_SURVL02,5.0
EUR,2018,AMRGLASS_SURVL02,145.0
WPR,2018,AMRGLASS_SURVL02,68.0
EUR,2019,AMRGLASS_SURVL02,15901.0
EMR,2019,AMRGLASS_SURVL02,204.0
WPR,2020,AMRGLASS_SURVL02,2.0
EMR,2020,AMRGLASS_SURVL02,59.0
AFR,2020,AMRGLASS_SURVL02,9.0
SEAR,2020,AMRGLASS_SURVL02,5.0
EMR,2018,AMRGLASS_SURVL02,129.0
BRA,2015,ANC_ATLEAST1VISIT_PERCENT,97.2
NGA,2018,ANC_ATLEAST1VISIT_PERCENT,67.0
ROU,2016,ANC_ATLEAST1VISIT_PERCENT,73.6
JOR,2022,ANC_ATLEAST1VISIT_PERCENT,97.0
TUR,2014,ANC_ATLEAST1VISIT_PERCENT,97.0
MYS,2016,ANC_ATLEAST1VISIT_PERCENT,99.4
IRQ,2018,ANC_ATLEAST1VISIT_PERCENT,87.6
ARG,2020,ANC_ATLEAST1VISIT_PERCENT,95.0
ROU,2015,ANC_ATLEAST1VISIT_PERCENT,75.6
MNE,2018,ANC_ATLEAST1VISIT_PERCENT,97.2
MLI,2021,ANC_ATLEAST1VISIT_PERCENT,84.2
MOZ,2023,ANC_ATLEAST1VISIT_PERCENT,87.0
PER,2019,ANC_ATLEAST1VISIT_PERCENT,98.2
BGD,2014,ANC_ATLEAST1VISIT_PERCENT,63.9
BOL,2016,ANC_ATLEAST1VISIT_PERCENT,95.6
XKX,2020,ANC_ATLEAST1VISIT_PERCENT,99.7
SEN,2017,ANC_ATLEAST1VISIT_PERCENT,97.1
MWI,2020,ANC_ATLEAST1VISIT_PERCENT,96.8
VNM,2021,ANC_ATLEAST1VISIT_PERCENT,97.0
NPL,2014,ANC_ATLEAST1VISIT_PERCENT,68.3
UZB,2015,ANC_ATLEAST1VISIT_PERCENT,99.4
NER,2021,ANC_ATLEAST1VISIT_PERCENT,84.0
CPV,2018,ANC_ATLEAST1VISIT_PERCENT,98.8
