COUNTRY,YEAR,IndicatorCode,NumericValue
SEAR,2010,FOODBORNE_DALY,401.0
WPR,2010,FOODBORNE_DALY,77667.0
EUR,2010,FOODBORNE_DALY,2068.0
EUR,2010,FOODBORNE_DALY,369.0
GLOBAL,2010,FOODBORNE_DALY,17659226.0
AMR,2010,FOODBORNE_DALY,0.0
AMR,2010,FOODBORNE_DALY,18903.0
WPR,2010,FOODBORNE_DALY,11480.0
EUR,2010,FOODBORNE_DALY,0.2
WPR,2010,FOODBORNE_DALY,516.0
WPR,2010,FOODBORNE_DALY,1294093.0
AFR,2010,FOODBORNE_DALY,390.0
SEAR,2010,FOODBORNE_DALY,1173440.0
WPR,2010,FOODBORNE_DALY,121169.0
SEAR,2010,FOODBORNE_DALY,613.0
AFR,2010,FOODBORNE_DALY,6443.0
AFR,2010,FOODBORNE_DALY,922789.0
AMR,2010,FOODBORNE_DALY,3304.0
SEAR,2010,FOODBORNE_DALY,100.0
EUR,2010,FOODBORNE_DALY,0.0
SEAR,2010,FOODBORNE_DALY,1042715.0
WPR,2010,FOODBORNE_DALY,818024.0
AMR,2010,FOODBORNE_DALY,0.0
SEAR,2010,FOODBORNE_DALY,140199.0
EUR,2010,FOODBORNE_DALY,6882.0
GLOBAL,2010,FOODBORNE_DALY,227507.0
WPR,2010,FOODBORNE_DALY,94128.0
EMR,2010,FOODBORNE_DALY,92522.0
SEAR,2010,FOODBORNE_DALY,448.0
AMR,2010,FOODBORNE_DALY,445614.0
WPR,2010,FOODBORNE_DALY,440585.0
AFR,2010,FOODBORNE_DALY,450898.0
AFR,2010,FOODBORNE_DALY,138.0
EUR,2010,FOODBORNE_DALY,80.0
GLOBAL,2010,FOODBORNE_DALY,1463560.0
SEAR,2010,FOODBORNE_DALY,102295.0
EUR,2010,FOODBORNE_DALY,8428.0
WPR,2010,FOODBORNE_DALY,586905.0
EUR,2010,FOODBORNE_DALY,8533.0
WPR,2010,FOODBORNE_DALY,48314.0
GLOBAL,2010,FOODBORNE_DALY,1638925.0
AFR,2010,FOODBORNE_DALY,422266.0
WPR,2010,FOODBORNE_DALY,5123.0
EMR,2010,FOODBORNE_DALY,3043.0
AMR,2010,FOODBORNE_DALY,1470.0
SEAR,2010,FOODBORNE_DALY,3270877.0
WPR,2010,FOODBORNE_DALY,63697.0
WPR,2010,FOODBORNE_DALY,63697.0
WPR,2010,FOODBORNE_DALY,0.0
AMR,2010,FOODBORNE_DALY,10865.0
AMR,2010,FOODBORNE_DALY,6547.0
AFR,2010,FOODBORNE_DALY,163.0
GLOBAL,2010,FOODBORNE_DALY,605278.0
SEAR,2010,FOODBORNE_DALY,17246.0
GLOBAL,2010,FOODBORNE_DALY,2788426.0
EMR,2010,FOODBORNE_DALY,0.0
WPR,2010,FOODBORNE_DALY,182.0
EMR,2010,FOODBORNE_DALY,18132.0
GLOBAL,2010,FOODBORNE_DALY,2562.0
AMR,2010,FOODBORNE_DALY,138635.0
AFR,2010,FOODBORNE_DALY,248490.0
EMR,2010,FOODBORNE_DALY,4109.0
AFR,2010,FOODBORNE_DALY,146.0
EMR,2010,FOODBORNE_DALY,41704.0
EMR,2010,FOODBORNE_DALY,17456.0
SEAR,2010,FOODBORNE_DALY,146111.0
EMR,2010,FOODBORNE_DALY,99193.0
EUR,2010,FOODBORNE_DALY,175734.0
AMR,2010,FOODBORNE_DALY,170.0
AMR,2010,FOODBORNE_DALY,64942.0
WPR,2010,FOODBORNE_DALY,484.0
EMR,2010,FOODBORNE_DALY,40953.0
EUR,2010,FOODBORNE_DALY,1.0
GLOBAL,2010,FOODBORNE_DALY,5016.0
AFR,2010,FOODBORNE_DALY,214974.0
WPR,2010,FOODBORNE_DALY,2274.0
EMR,2010,FOODBORNE_DALY,531033.0
AFR,2010,FOODBORNE_DALY,248611.0
EMR,2010,FOODBORNE_DALY,92522.0
WPR,2010,FOODBORNE_DALY,69050.0
GLOBAL,2010,FOODBORNE_DALY,819280.0
EMR,2010,FOODBORNE_DALY,365587.0
AMR,2010,FOODBORNE_DALY,7788.0
EMR,2010,FOODBORNE_DALY,26642.0
WPR,2010,FOODBORNE_DALY,5627.0
SEAR,2010,FOODBORNE_DALY,43921.0
EMR,2010,FOODBORNE_DALY,614.0
AFR,2010,FOODBORNE_DALY,119811.0
EUR,2010,FOODBORNE_DALY,18058.0
AFR,2010,FOODBORNE_DALY,855789.0
SEAR,2010,FOODBORNE_DALY,146111.0
AMR,2010,FOODBORNE_DALY,5562.0
EMR,2010,FOODBORNE_DALY,35354.0
AFR,2010,FOODBORNE_DALY,77914.0
GLOBAL,2010,FOODBORNE_DALY,312460.0
GLOBAL,2010,FOODBORNE_DALY,750578.0
SEAR,2010,FOODBORNE_DALY,604193.0
AMR,2010,FOODBORNE_DALY,47027.0
GLOBAL,2010,FOODBORNE_DALY,411592.0
WPR,2010,FOODBORNE_DALY,744932.0
AMR,2010,FOODBORNE_DALY,31833.0
WPR,2010,FOODBORNE_DALY,89635.0
WPR,2010,FOODBORNE_DALY,3577787.0
SEAR,2010,FOODBORNE_DALY,2542670.0
AFR,2010,FOODBORNE_DALY,3640971.0
AFR,2010,FOODBORNE_DALY,3134813.0
EMR,2010,FOODBORNE_DALY,55505.0
EUR,2010,FOODBORNE_DALY,41.0
AFR,2010,FOODBORNE_DALY,110502.0
