IndicatorCode,FOODBORNE_DALY,FOODBORNE_DALY_100k,FOODBORNE_DALY_CASE,FOODBORNE_DTH,FOODBORNE_DTH_100K,FOODBORNE_ILL,FOODBORNE_ILL_100K,FOODBORNE_YLD,FOODBORNE_YLD_100K,FOODBORNE_YLD_CASE,FOODBORNE_YLL,FOODBORNE_YLL_100K,FOODBORNE_YLL_CASE,FOODSAFETY_IHR_PERCENT,FOODSAFETY_IHR_PERCENT,FOODSAFETY_IHR_PERCENT,FOODSAFETY_IHR_PERCENT,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,IHRSPAR2_C13,IHRSPAR2_C13,IHRSPAR2_C13
YEAR,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2021,2022,2023,2024,2016,2017,2018,2019,2021,2022,2023,2024,2021,2022,2023
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,46.0,45.0
13,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,75.0,70.0
14,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,51.0,50.0
142,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,61.0,61.0
143,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,56.0,52.0
145,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,67.0,66.0
15,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,60.0,60.0
150,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,83.0,80.0
151,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,84.0,76.0
154,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,90.0,94.0
155,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,76.0,80.0
17,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,36.0,27.0
18,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,52.0,48.0
19,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,72.0,68.0
199,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,43.0,42.0
2,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,48.0,46.0
202,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,47.0,44.0
21,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0
29,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,74.0,71.0
30,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,68.0,76.0
34,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,49.0,51.0
35,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,62.0,60.0
39,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,82.0,73.0
419,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,70.0,66.0
432,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,51.0,49.0
5,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,63.0,58.0
513,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,84.0,81.0
514,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,84.0,82.0
515,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,57.0,55.0
53,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,90.0,90.0
54,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,60.0,55.0
543,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,51.0,49.0
57,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,40.0,44.0
61,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,50.0,50.0
62,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,51.0,51.0
722,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,61.0,57.0
747,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,65.0,64.0
753,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,64.0,65.0
777,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,84.0,81.0
9,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,60.0,55.0
AFG,,,,,,,,,,,,,,20.0,20.0,20.0,20.0,1.0,,,,,,,,20.0,20.0,20.0
AFR,603377.4668148148,153.3178888888889,3.379824,7891.714281481482,1.834562962962963,5030026.777814815,1553.4154296296297,49257.428148148145,11.8216,0.9529679999999999,552776.8125925927,141.03157777777778,2.463216,,,,43.0,,,,,,,,,45.106384,46.80851,44.255318
AGO,,,,,,,,,,,,,,20.0,20.0,40.0,40.0,,,,1.5,,,2.0,,20.0,20.0,40.0
ALB,,,,,,,,,,,,,,80.0,100.0,100.0,100.0,4.0,,,,,,,,80.0,100.0,100.0
AMR,62329.54888888889,20.874362962962966,2.2384758064516133,518.7867111111111,0.13297777777777778,4405002.220000001,1538.0628148148148,31469.391407407405,10.940170370370371,1.1203064516129033,30483.394074074076,9.702444444444444,1.1304999999999998,,,,63.0,,,,,,,,,70.625,72.0,68.0
AND,,,,,,,,,,,,,,,,,80.0,,,,,,,,,,,
ARE,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,5.0,,,,,,,80.0,80.0,80.0
ARG,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,,,,,,,,80.0,80.0,80.0
ARM,,,,,,,,,,,,,,60.0,60.0,40.0,60.0,5.0,,,,,,2.5,,60.0,60.0,40.0
ATG,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,,,,,,,,80.0,80.0,80.0
AUS,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,,5.0,,,,,,,100.0,100.0,100.0
AUT,,,,,,,,,,,,,,100.0,80.0,80.0,80.0,,,,,,,,,100.0,80.0,80.0
AZE,,,,,,,,,,,,,,80.0,80.0,80.0,80.0,,,,,,,3.5,,80.0,80.0,80.0
