COUNTRY,YEAR,IndicatorCode,NumericValue
MMR,2017,GDO_q12x2x1x1_1PRV,
CHE,2017,GDO_q12x2x1x1_1PRV,
FIN,2017,GDO_q12x2x1x1_1PRV,
NLD,2017,GDO_q12x2x1x1_1PRV,
POL,2017,GDO_q12x2x1x1_1PRV,
LCA,2017,GDO_q12x2x1x1_1PRV,
PAK,2017,GDO_q12x2x1x1_1PRV,
ITA,2017,GDO_q12x2x1x1_1PRV,
SGP,2017,GDO_q12x2x1x1_1PRV,
CAN,2017,GDO_q12x2x1x1_1PRV,
KOR,2017,GDO_q12x2x1x1_1PRV,
VNM,2017,GDO_q12x2x1x1_1PRV,
IRL,2017,GDO_q12x2x1x1_1PRV,
CZE,2017,GDO_q12x2x1x1_1PRV,
ZAF,2017,GDO_q12x2x1x1_1PRV,
QAT,2017,GDO_q12x2x1x1_1PRV,
TGO,2017,GDO_q12x2x1x1_1PRV,
SVN,2017,GDO_q12x2x1x1_1PRV,
USA,2017,GDO_q12x2x1x1_1PRV,
BEL,2017,GDO_q12x2x1x1_1PRV,
BGD,2017,GDO_q12x2x1x1_1PRV,
CHL,2017,GDO_q12x2x1x1_1PRV,
EST,2017,GDO_q12x2x1x1_1PRV,
GRC,2017,GDO_q12x2x1x1_1PRV,
FRA,2017,GDO_q12x2x1x1_1PRV,
TTO,2017,GDO_q12x2x1x1_1PRV,
LTU,2017,GDO_q12x2x1x1_1PRV,
MAR,2017,GDO_q12x2x1x1_1PRV,
IND,2017,GDO_q12x2x1x1_1PRV,
JOR,2017,GDO_q12x2x1x1_1PRV,
AUT,2017,GDO_q12x2x1x1_1PRV,
MDV,2017,GDO_q12x2x1x1_1PRV,
NOR,2017,GDO_q12x2x1x1_1PRV,
DOM,2017,GDO_q12x2x1x1_1PRV,
OMN,2017,GDO_q12x2x1x1_1PRV,
THA,2017,GDO_q12x2x1x1_1PRV,
IRN,2017,GDO_q12x2x1x1_1PRV,
BRA,2017,GDO_q12x2x1x1_1PRV,
HUN,2017,GDO_q12x2x1x1_1PRV,
DNK,2017,GDO_q12x2x1x1_1PRV,
DEU,2017,GDO_q12x2x1x1_1PRV,
AUS,2017,GDO_q12x2x1x1_1PRV,
CYP,2017,GDO_q12x2x1x1_1PRV,
LBN,2017,GDO_q12x2x1x1_1PRV,
BLZ,2017,GDO_q12x2x1x1_1PRV,
CHN,2017,GDO_q12x2x1x1_1PRV,
ISR,2017,GDO_q12x2x1x1_1PRV,
MUS,2017,GDO_q12x2x1x1_1PRV,
TUR,2017,GDO_q12x2x1x1_1PRV,
BRN,2017,GDO_q12x2x1x1_1PRV,
GBR,2017,GDO_q12x2x1x1_1PRV,
JPN,2017,GDO_q12x2x1x1_1PRV,
GUY,2017,GDO_q12x2x1x1_1PRV,
TUN,2017,GDO_q12x2x1x1_1PRV,
SWE,2017,GDO_q12x2x1x1_1PRV,
MYS,2017,GDO_q12x2x1x1_1PRV,
FJI,2017,GDO_q12x2x1x1_1PRV,
COK,2017,GDO_q12x2x1x1_1PRV,
SWZ,2017,GDO_q12x2x1x1_1PRV,
MLT,2017,GDO_q12x2x1x1_1PRV,
GRD,2017,GDO_q12x2x1x1_1PRV,
MAR,2017,GDO_q12x2x1x1_2PRV,
FRA,2017,GDO_q12x2x1x1_2PRV,
POL,2017,GDO_q12x2x1x1_2PRV,
BEL,2017,GDO_q12x2x1x1_2PRV,
USA,2017,GDO_q12x2x1x1_2PRV,
BRA,2017,GDO_q12x2x1x1_2PRV,
DOM,2017,GDO_q12x2x1x1_2PRV,
LCA,2017,GDO_q12x2x1x1_2PRV,
MMR,2017,GDO_q12x2x1x1_2PRV,
GRC,2017,GDO_q12x2x1x1_2PRV,
ZAF,2017,GDO_q12x2x1x1_2PRV,
CHL,2017,GDO_q12x2x1x1_2PRV,
IRL,2017,GDO_q12x2x1x1_2PRV,
TUR,2017,GDO_q12x2x1x1_2PRV,
TTO,2017,GDO_q12x2x1x1_2PRV,
MYS,2017,GDO_q12x2x1x1_2PRV,
LBN,2017,GDO_q12x2x1x1_2PRV,
VNM,2017,GDO_q12x2x1x1_2PRV,
QAT,2017,GDO_q12x2x1x1_2PRV,
DNK,2017,GDO_q12x2x1x1_2PRV,
MUS,2017,GDO_q12x2x1x1_2PRV,
TGO,2017,GDO_q12x2x1x1_2PRV,
HUN,2017,GDO_q12x2x1x1_2PRV,
MLT,2017,GDO_q12x2x1x1_2PRV,
OMN,2017,GDO_q12x2x1x1_2PRV,
TUN,2017,GDO_q12x2x1x1_2PRV,
CHE,2017,GDO_q12x2x1x1_2PRV,
CYP,2017,GDO_q12x2x1x1_2PRV,
ISR,2017,GDO_q12x2x1x1_2PRV,
EST,2017,GDO_q12x2x1x1_2PRV,
GBR,2017,GDO_q12x2x1x1_2PRV,
BRN,2017,GDO_q12x2x1x1_2PRV,
THA,2017,GDO_q12x2x1x1_2PRV,
BLZ,2017,GDO_q12x2x1x1_2PRV,
IND,2017,GDO_q12x2x1x1_2PRV,
CZE,2017,GDO_q12x2x1x1_2PRV,
MDV,2017,GDO_q12x2x1x1_2PRV,
SVN,2017,GDO_q12x2x1x1_2PRV,
NLD,2017,GDO_q12x2x1x1_2PRV,
DEU,2017,GDO_q12x2x1x1_2PRV,
JOR,2017,GDO_q12x2x1x1_2PRV,
COK,2017,GDO_q12x2x1x1_2PRV,
BGD,2017,GDO_q12x2x1x1_2PRV,
SWZ,2017,GDO_q12x2x1x1_2PRV,
CAN,2017,GDO_q12x2x1x1_2PRV,
AUT,2017,GDO_q12x2x1x1_2PRV,
LTU,2017,GDO_q12x2x1x1_2PRV,
GUY,2017,GDO_q12x2x1x1_2PRV,
SGP,2017,GDO_q12x2x1x1_2PRV,
CHN,2017,GDO_q12x2x1x1_2PRV,
PAK,2017,GDO_q12x2x1x1_2PRV,
AUS,2017,GDO_q12x2x1x1_2PRV,
FIN,2017,GDO_q12x2x1x1_2PRV,
ITA,2017,GDO_q12x2x1x1_2PRV,
KOR,2017,GDO_q12x2x1x1_2PRV,
