IndicatorCode,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-DCHE_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,GHED_PVT-D_pc_US_SHA2011,ORALHEALTH_SUGAR_AVAILABILITY,R_Ad_val,R_Ad_val,R_Ad_val,R_Ad_val,R_Ad_val,R_Ad_val,R_Ad_val,R_Ad_val,R_Ad_val_average,R_Ad_val_average,R_Ad_val_estimate,R_Ad_val_estimate,R_Ad_val_estimate,R_Ad_val_estimate,R_Ad_val_estimate,R_Ad_val_estimate,R_Ad_val_estimate,R_Sp_excise,R_Sp_excise,R_Sp_excise,R_Sp_excise,R_Sp_excise,R_Sp_excise,R_Sp_excise,R_Sp_excise,R_Sp_excise_average,R_Sp_excise_average,R_Sp_excise_estimate,R_Sp_excise_estimate,R_Sp_excise_estimate,R_Sp_excise_estimate,R_Sp_excise_estimate,R_Sp_excise_estimate,R_Sp_excise_estimate,R_excise_proportion,R_excise_proportion,R_excise_proportion,R_excise_proportion,R_excise_proportion,R_excise_proportion,R_excise_proportion,R_excise_proportion,Rev_VAT,Rev_VAT,Rev_VAT,Rev_VAT,Rev_VAT,Rev_VAT,Rev_VAT,Rev_VAT,Rev_VAT,Rev_VAT,Rev_excise,Rev_excise,Rev_excise,Rev_excise,Rev_excise,Rev_excise,Rev_excise,Rev_excise,Rev_excise,Rev_excise,Rev_excise,Rev_excise,Rev_excise,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001474_ARCHIVED,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001475_ARCHIVED,SA_0000001546,SA_0000001546_ARCHIVED,SA_0000001547,SA_0000001547,SA_0000001547,SA_0000001547,SA_0000001547,SA_0000001547,SA_0000001547,SA_0000001547,SA_0000001547,SA_0000001547,SA_0000001547,SA_0000001547_ARCHIVED,SA_0000001547_ARCHIVED,SA_0000001547_ARCHIVED,SA_0000001547_ARCHIVED,SA_0000001547_ARCHIVED,SA_0000001547_ARCHIVED,SA_0000001547_ARCHIVED,SA_0000001547_ARCHIVED,TAXBEV_EXCISE,TAXBEV_EXCISE,TAXBEV_SUGARCONTENT,TAXBEV_SUGARCONTENT,TAXBEV_VATSALES,TAXBEV_VATSALES,WHS6_101,WHS6_116
YEAR,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2019,2008,2010,2012,2014,2016,2018,2020,2022,2012,2014,2008,2010,2012,2014,2016,2018,2020,2008,2010,2012,2014,2016,2018,2020,2022,2012,2014,2008,2010,2012,2014,2016,2018,2020,2008,2010,2012,2014,2016,2018,2020,2022,2011,2014,2015,2016,2017,2018,2019,2020,2021,2022,2008,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2012,2012,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2008,2009,2010,2011,2012,2013,2014,2015,2022,2024,2022,2024,2022,2024,2013,2013
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,,,85.37560272,86.06919098,84.52758789,78.97008514,76.82497406,78.16999054,75.40338898,72.7792511,78.9966507,73.25517273,74.48620605,72.04785919,73.05591583,78.38230133,75.97433472,75.48403931,76.37773132,76.81837463,76.23153687,77.34925079,77.94615173,77.13957977,,,14.2636816,15.27386064,18.10834922,19.83245826,22.23411765,25.56856669,30.07558308,31.39224886,36.67371391,38.22983125,39.06985697,40.46239276,43.86972137,46.96636358,46.62723119,50.44137224,54.40011204,56.89494105,61.05325142,63.05598212,62.8648162,45.56458424,46.79452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,
AFR,54.49970457,53.11126438,52.85501345,50.87516939,49.55583112,48.47359028,48.26205769,47.83319448,46.85642687,46.61957294,45.23294258,43.29174927,43.88072115,43.40185659,43.42130883,44.60664361,45.05245101,43.32380049,43.74354387,43.93639756,42.1335891,41.54429986,42.01621297,41.93457794,20.72865604,20.11623672,21.05410547,26.27840276,31.01235663,32.71914264,35.04396246,38.52930895,42.98841711,43.36095799,46.06475866,49.56431569,49.78714813,51.28913409,52.25942534,48.44874938,47.56948756,47.31712171,50.23975243,48.53275158,45.13651988,49.05588655,50.75916623,52.72516973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,41.27677155,52.92855835,59.41811371,57.65277481,55.55617905,52.12800217,40.36954498,39.40856934,33.15676498,28.49826622,34.63727951,32.38171005,32.57001877,35.40424347,42.67658615,49.96444321,52.2201004,50.60655212,53.74163818,50.52954102,42.72221375,40.0026207,45.13404846,48.30569077,5.43201741,15.48740273,17.45155777,20.3057066,27.9075948,28.49390708,28.3724665,36.81824157,45.20624812,34.34867217,33.58152549,39.54418419,39.68607187,50.55177127,55.72973753,53.7260551,49.09463294,57.06073583,45.0761011,32.56457487,23.93145484,26.77970308,46.91461016,36.74670932,30.87671,0.0,,0.0,0.0,,0.0,3.93,1.62,,,0.0,,0.0,0.0,,0.0,0.04,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,3.93,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,,,,12.28,,
ALB,51.81460953,49.12870407,50.85671616,49.9150238,48.34677887,49.31711578,49.04499435,49.3926239,56.22904968,56.54403687,59.98336792,59.85713577,58.22597885,57.73825073,59.18626404,57.34393311,56.520504,57.27323914,56.47247696,56.65522003,59.47792816,59.76844025,49.63962173,49.53246689,33.92642726,36.3166533,40.0386467,52.62925304,65.99679187,73.96361968,80.54402329,103.3968588,133.3284605,133.9770647,152.34747834,163.86065569,151.78533973,159.40178662,173.49076034,145.61544844,155.67824971,169.25654572,197.20813978,207.55073894,235.63640505,278.26406775,251.60795734,292.55260951,45.15068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.77,33.33,41.18,45.0,47.83,48.75,50.0,24.44333333333333,,,0.31,0.33,0.41,0.45,0.48,0.49,0.5,30.77,33.33,41.18,45.0,47.83,48.75,50.0,50.0,,,,,,,,,,,,,,,,,,16236000000.0,20896000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.291666666666666,6.906666666666666,10.6,10.6,16.67,16.67,,
AMR,48.32164063,49.02267579,48.86394259,48.82359589,48.41001892,48.86031176,48.56593354,47.91288482,47.23011928,45.12366637,44.71287026,44.38209778,44.5098636,44.01808436,42.93653914,42.4558513,41.8371996,41.91717128,42.05095297,42.35102643,39.08076447,39.3295872,40.48131559,41.79577059,215.33817252,220.29764937,222.73949076,236.4376387,252.33055583,280.38468829,309.31630101,337.38076945,360.45204142,351.99354785,378.89695593,403.77832347,417.97328899,424.40490501,424.933764,422.76853235,427.62053752,448.87858452,448.83919535,455.11479643,421.95156851,479.83822172,514.50987162,551.27170143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND,34.58832932,34.7938652,33.68950272,35.9744339,37.9753952,35.81465912,40.16814423,40.15284348,34.83059311,32.15993118,26.00888634,26.41688347,30.49237442,29.86237144,28.93873978,28.08342743,27.89610863,28.06502724,29.25978661,28.67379379,27.41055298,28.66666603,26.38321686,29.19758987,447.60453638,479.70593325,535.89404303,679.24617967,782.39543972,816.40607908,864.39872313,958.91980343,971.81283432,861.78115339,854.78973589,939.25843152,850.33856354,862.11842693,869.67148549,750.52885286,777.08687882,807.2181037,924.36393898,866.25768583,899.62147634,1051.62152057,841.65450061,1052.63093745,,,1.68,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.02,0.0,0.0,0.0,0.0,0.0,,0.83,53.48,63.88,70.21,75.03,74.1,54.055,,,,0.01,0.53,0.64,0.7,0.75,0.74,,2.51,53.48,63.88,70.21,75.03,74.1,74.0,,,,,,,,3907665.14,3892817.26,,,,,,,,,,,,965035.66,961368.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,1.03,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,10.6,,0.99,,
ARE,31.16953659,22.98960304,38.77114487,38.72491455,42.89268875,43.15894318,42.69578171,41.32629776,36.08961487,26.31716537,29.14583778,27.57902908,27.45521164,28.02826118,29.02361488,28.74894142,23.72359848,45.18860626,48.42153931,48.82608414,39.01390076,35.89320374,34.23155212,33.22063446,220.06663462,158.46567075,292.43609274,303.94933925,352.47033837,387.72471601,440.25716881,486.20113315,529.01039458,402.92162931,472.1592966,493.00269939,469.8644055,501.61782643,515.67159731,425.33985983,377.89774041,766.03875117,906.7340736,958.19591654,840.51986979,807.58381483,767.0965362,797.80024699,94.35616,0.0,0.0,0.0,0.0,0.0,48.78,48.78,48.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.78,48.78,48.78,,,,,,,,,,,,,,,,,,,,,1225744216.0,1315367800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.875,15.875,10.6,10.6,4.76,4.76,,
ARG,45.23767471,45.68281937,45.12362289,45.3560257,45.1451416,48.01793289,47.22160721,45.77174759,44.74361801,39.66122055,40.984478,39.28659439,37.33333206,36.10850525,34.09888077,33.49847794,34.29650497,34.42665482,39.64505005,38.31008911,34.29720306,41.22537994,40.15216827,38.92549896,317.67391345,301.7961405,99.25576458,118.47167991,136.93381582,189.98102456,215.36002401,260.56602024,333.52051736,312.44338119,401.55313108,474.67289322,508.93404367,515.95852875,440.32722101,510.48657109,437.89700195,513.34226657,473.99613793,385.95740589,312.43336752,487.34967804,568.47264226,567.13911945,104.57534,52.6,53.13,53.81,54.34,66.25,61.26,61.54,61.94,64.6,64.2,0.46,0.46,0.47,0.47,0.59,0.54,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6,53.13,53.81,54.34,66.25,61.26,61.54,61.94,,,,,,,,6422481978.0,9210473393.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17,,,,,,,3.08,3.83,4.45,60.52,77.5,93.32,97.46,82.72,108.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.843333333333334,6.843333333333334,10.6,10.6,14.979999999999999,14.979999999999999,,
