COUNTRY,YEAR,IndicatorCode,NumericValue
OMN,2022,HEPATITIS_DEATHS_RATE,4.92
ARM,2022,HEPATITIS_DEATHS_RATE,16.97
SDN,2022,HEPATITIS_DEATHS_RATE,8.45
COK,2022,HEPATITIS_DEATHS_RATE,32.34
PAN,2022,HEPATITIS_DEATHS_RATE,2.62
MDG,2022,HEPATITIS_DEATHS_RATE,21.13
LKA,2022,HEPATITIS_DEATHS_RATE,11.18
SYR,2022,HEPATITIS_DEATHS_RATE,17.87
BLZ,2022,HEPATITIS_DEATHS_RATE,8.23
BFA,2022,HEPATITIS_DEATHS_RATE,26.05
GEO,2022,HEPATITIS_DEATHS_RATE,12.07
IRQ,2022,HEPATITIS_DEATHS_RATE,8.36
NER,2022,HEPATITIS_DEATHS_RATE,44.2
GTM,2022,HEPATITIS_DEATHS_RATE,5.35
PRY,2022,HEPATITIS_DEATHS_RATE,3.0
LBN,2022,HEPATITIS_DEATHS_RATE,5.24
HTI,2022,HEPATITIS_DEATHS_RATE,8.52
SMR,2022,HEPATITIS_DEATHS_RATE,4.55
KOR,2022,HEPATITIS_DEATHS_RATE,15.78
SRB,2022,HEPATITIS_DEATHS_RATE,11.11
TKM,2022,HEPATITIS_DEATHS_RATE,26.02
BEN,2022,HEPATITIS_DEATHS_RATE,13.54
ISL,2022,HEPATITIS_DEATHS_RATE,1.99
MAR,2022,HEPATITIS_DEATHS_RATE,3.0
CHN,2022,HEPATITIS_DEATHS_RATE,33.53
FJI,2022,HEPATITIS_DEATHS_RATE,14.84
LBR,2022,HEPATITIS_DEATHS_RATE,19.85
HND,2022,HEPATITIS_DEATHS_RATE,4.03
KAZ,2022,HEPATITIS_DEATHS_RATE,13.83
NAM,2022,HEPATITIS_DEATHS_RATE,19.49
TLS,2022,HEPATITIS_DEATHS_RATE,21.06
CAN,2022,HEPATITIS_DEATHS_RATE,8.06
NPL,2022,HEPATITIS_DEATHS_RATE,3.11
MNG,2022,HEPATITIS_DEATHS_RATE,41.93
BRN,2022,HEPATITIS_DEATHS_RATE,15.3
VEN,2022,HEPATITIS_DEATHS_RATE,7.84
TUN,2022,HEPATITIS_DEATHS_RATE,15.11
NRU,2022,HEPATITIS_DEATHS_RATE,30.04
MCO,2022,HEPATITIS_DEATHS_RATE,4.28
SOM,2022,HEPATITIS_DEATHS_RATE,8.88
GRD,2022,HEPATITIS_DEATHS_RATE,10.27
QAT,2022,HEPATITIS_DEATHS_RATE,6.61
RUS,2022,HEPATITIS_DEATHS_RATE,9.29
TUV,2022,HEPATITIS_DEATHS_RATE,50.66
KEN,2022,HEPATITIS_DEATHS_RATE,23.35
PER,2022,HEPATITIS_DEATHS_RATE,2.02
FSM,2022,HEPATITIS_DEATHS_RATE,40.06
BIH,2022,HEPATITIS_DEATHS_RATE,13.96
COD,2022,HEPATITIS_DEATHS_RATE,7.65
CHE,2022,HEPATITIS_DEATHS_RATE,5.01
BWA,2022,HEPATITIS_DEATHS_RATE,51.6
TUR,2022,HEPATITIS_DEATHS_RATE,9.93
STP,2022,HEPATITIS_DEATHS_RATE,48.93
KNA,2022,HEPATITIS_DEATHS_RATE,10.13
VUT,2022,HEPATITIS_DEATHS_RATE,42.49
ETH,2022,HEPATITIS_DEATHS_RATE,29.77
SLE,2022,HEPATITIS_DEATHS_RATE,29.86
IRN,2022,HEPATITIS_DEATHS_RATE,7.52
LSO,2022,HEPATITIS_DEATHS_RATE,59.11
SAU,2022,HEPATITIS_DEATHS_RATE,8.37
ARG,2022,HEPATITIS_DEATHS_RATE,6.11
MLI,2022,HEPATITIS_DEATHS_RATE,30.2
BOL,2022,HEPATITIS_DEATHS_RATE,1.46
BRA,2022,HEPATITIS_DEATHS_RATE,2.64
AFG,2022,HEPATITIS_DEATHS_RATE,5.9
LCA,2022,HEPATITIS_DEATHS_RATE,9.63
SWZ,2022,HEPATITIS_DEATHS_RATE,52.88
PNG,2022,HEPATITIS_DEATHS_RATE,27.95
MDV,2022,HEPATITIS_DEATHS_RATE,22.33
PLW,2022,HEPATITIS_DEATHS_RATE,28.45
ISR,2022,HEPATITIS_DEATHS_RATE,10.31
BHR,2022,HEPATITIS_DEATHS_RATE,5.87
BLR,2022,HEPATITIS_DEATHS_RATE,23.08
KGZ,2022,HEPATITIS_DEATHS_RATE,25.53
ARE,2022,HEPATITIS_DEATHS_RATE,9.07
BRB,2022,HEPATITIS_DEATHS_RATE,9.55
BDI,2022,HEPATITIS_DEATHS_RATE,23.03
DMA,2022,HEPATITIS_DEATHS_RATE,10.8
PAK,2022,HEPATITIS_DEATHS_RATE,24.73
PRK,2022,HEPATITIS_DEATHS_RATE,27.46
AUS,2022,HEPATITIS_DEATHS_RATE,5.63
MRT,2022,HEPATITIS_DEATHS_RATE,41.15
GNB,2022,HEPATITIS_DEATHS_RATE,50.61
AND,2022,HEPATITIS_DEATHS_RATE,4.57
UGA,2022,HEPATITIS_DEATHS_RATE,5.08
GBR,2022,HEPATITIS_DEATHS_RATE,0.59
GHA,2022,HEPATITIS_DEATHS_RATE,46.97
TTO,2022,HEPATITIS_DEATHS_RATE,13.76
DOM,2022,HEPATITIS_DEATHS_RATE,10.04
YEM,2022,HEPATITIS_DEATHS_RATE,11.0
AGO,2022,HEPATITIS_DEATHS_RATE,45.25
ERI,2022,HEPATITIS_DEATHS_RATE,26.09
NIU,2022,HEPATITIS_DEATHS_RATE,29.72
URY,2022,HEPATITIS_DEATHS_RATE,5.01
GIN,2022,HEPATITIS_DEATHS_RATE,42.4
MOZ,2022,HEPATITIS_DEATHS_RATE,26.99
MUS,2022,HEPATITIS_DEATHS_RATE,22.94
TON,2022,HEPATITIS_DEATHS_RATE,55.86
SUR,2022,HEPATITIS_DEATHS_RATE,9.89
GAB,2022,HEPATITIS_DEATHS_RATE,40.04
