IndicatorCode,HEPATITIS_DEATHS_RATE,HEPATITIS_HBV_ADDEDTEST_ANC_PERCENT,HEPATITIS_HBV_ADDEDTEST_ANC_PERCENT,HEPATITIS_HBV_ADDEDTEST_ANC_PERCENT,HEPATITIS_HBV_DEATHS_NUM,HEPATITIS_HBV_DIAGNOSED_NUM,HEPATITIS_HBV_DIAGNOSIS_PERINFECTED_PER100,HEPATITIS_HBV_INFECTIONS_NEW_NUM,HEPATITIS_HBV_LIVINGWITH_NUM,HEPATITIS_HBV_PREVALENCE_PER100,HEPATITIS_HBV_TESTING_ANC_PERCENT,HEPATITIS_HBV_TESTING_ANC_PERCENT,HEPATITIS_HBV_TESTING_ANC_PERCENT,HEPATITIS_HBV_TESTPOSITIVE_ANC_PERCENT,HEPATITIS_HBV_TESTPOSITIVE_ANC_PERCENT,HEPATITIS_HBV_TESTPOSITIVE_ANC_PERCENT,HEPATITIS_HBV_TREATMENT_ANC_PERCENT,HEPATITIS_HBV_TREATMENT_ANC_PERCENT,HEPATITIS_HBV_TREATMENT_ANC_PERCENT,HEPATITIS_HBV_TREATMENT_NUM,HEPATITIS_HBV_TREATMENT_PERDIAGNOSED_PER100,HEPATITIS_HBV_TREATMENT_PERINFECTED_PER100,HEPATITIS_HCV_DEATHS_NUM,HEPATITIS_HCV_DIAGNOSED_CRD_NUM,HEPATITIS_HCV_DIAGNOSED_NUM,HEPATITIS_HCV_DIAGNOSIS_PERINFECTED_CRD_PER100,HEPATITIS_HCV_INFECTIONS_NEW_NUM,HEPATITIS_HCV_LIVINGWITH_CRD_NUM,HEPATITIS_HCV_LIVINGWITH_NUM,HEPATITIS_HCV_PREVALENCE_PER100,HEPATITIS_HCV_TESTING_HIV_PERCENT,HEPATITIS_HCV_TESTING_HIV_PERCENT,HEPATITIS_HCV_TESTING_HIV_PERCENT,HEPATITIS_HCV_TESTING_HIV_PERCENT,HEPATITIS_HCV_TESTING_PWID_PERCENT,HEPATITIS_HCV_TESTING_PWID_PERCENT,HEPATITIS_HCV_TESTING_PWID_PERCENT,HEPATITIS_HCV_TESTING_PWID_PERCENT,HEPATITIS_HCV_TREATMENT_CUM_NUM,HEPATITIS_HCV_TREATMENT_CUM_PERINFECTED_CRD_PER100,HEPATITIS_HCV_TREATMENT_HIV_PERCENT,HEPATITIS_HCV_TREATMENT_HIV_PERCENT,HEPATITIS_HCV_TREATMENT_HIV_PERCENT,HEPATITIS_HCV_TREATMENT_HIV_PERCENT,HEPATITIS_HCV_TREATMENT_INITIATED_NUM,HEPATITIS_HCV_TREATMENT_PERDIAGNOSED_PER100,HEPATITIS_HCV_TREATMENT_PWID_PERCENT,HEPATITIS_HCV_TREATMENT_PWID_PERCENT,HEPATITIS_HCV_TREATMENT_PWID_PERCENT,HEPATITIS_HCV_TREATMENT_PWID_PERCENT,HEPB_HBSAG_CARRIER,HEPB_HBSAG_CARRIER,PRISON_D4_HEPB_DIAG_TOT,PRISON_D4_HEPC_DIAG_TOT,SDGHEPHBSAGPRV,SDGHEPHBSAGPRV,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117
YEAR,2022,2021,2022,2023,2022,2022,2022,2022,2022,2022,2021,2022,2023,2021,2022,2023,2021,2022,2023,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2020,2021,2022,2023,2020,2021,2022,2023,2022,2022,2020,2021,2022,2023,2022,2022,2020,2021,2022,2023,2015,2020,2020,2020,2015,2020,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,5.9,,,,1613.0,85658.0,11.0,5225.0,748800.0,1.8,,,,,,,,,,17093.0,20.0,2.0,784.0,30476.0,27779.0,14.0,5781.0,214696.0,211999.0,0.2,,,,0.01,,,,,2838.0,1.0,,,,100.0,21.0,9.0,,,,100.0,193.5,303.09999999999997,,,0.8,0.9450000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,64.0,63.0,66.0,68.0,67.0,64.0,62.0,64.0,66.0,64.0,68.0,65.0,61.0,55.0,58.0,60.0,59.0
AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40232.0,,,3.0,4.655,5.0,5.0,24.0,28.0,34.0,41.0,45.0,62.0,66.0,72.0,70.0,70.0,69.0,68.0,70.0,70.0,73.0,74.0,75.0,76.0,74.0,73.0,72.0,75.0,76.0
AGO,45.25,,,,14992.0,73091.0,3.0,51873.0,2715233.0,7.6,,17.2,33.6,,9.8,4.6,,6.3,37.8,7551.0,10.0,0.0,1132.0,24237.0,24227.0,13.0,5443.0,182962.0,182952.0,0.5,,,,,,,,,11.0,0.0,,,,,0.0,0.0,,,,,1290.0,1807.8999999999999,,,7.15,7.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,45.0,47.0,49.0,50.0,52.0,54.0,55.0,57.0,59.0,58.0,67.0,64.0,59.0,55.0,54.0,66.0,64.0
ALB,28.55,,,,691.0,7385.0,4.0,90.0,185474.0,6.5,,,,,,,,,,186.0,3.0,0.0,102.0,8264.0,4319.0,33.0,363.0,24957.0,21012.0,0.9,1.4,3.7,100.0,100.0,,,,,4152.0,17.0,,,,,389.0,50.0,,,,,137.0,108.0,31.0,26.0,5.3500000000000005,3.89,96.0,96.0,96.0,97.0,99.0,98.0,98.0,98.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,97.0,97.0,97.0
AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3275.0,,,0.2,0.355,70.0,72.0,75.0,84.0,86.0,89.0,90.0,89.0,89.0,91.0,90.0,90.0,91.0,89.0,89.0,88.0,88.0,82.0,82.0,79.0,81.0,80.0,83.0,86.0,85.0
AND,4.57,,,,2.0,116.0,31.0,0.0,376.0,0.5,,,,,,,,,,35.0,30.0,9.0,2.0,262.0,119.0,68.0,3.0,384.0,241.0,0.3,,,,,,,,,150.0,39.0,,,,,10.0,57.0,,,,,0.0,0.2,,,0.35,0.23500000000000001,84.0,84.0,84.0,81.0,77.0,79.0,84.0,91.0,97.0,96.0,96.0,99.0,97.0,94.0,95.0,94.0,94.0,98.0,98.0,98.0,98.0,98.0,96.0,97.0,97.0
ARE,9.07,,,,518.0,2294.0,3.0,25.0,84818.0,0.9,,,,,,,,,,44.0,2.0,0.0,396.0,78086.0,75679.0,47.0,7168.0,167660.0,165254.0,1.5,61.4,6.9,0.9,18.0,,,,,2533.0,2.0,0.0,50.0,100.0,42.9,141.0,3.0,,,,,26.0,26.85,,,0.35,0.28,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,93.0,94.0,95.0,96.0,98.0,99.0,99.0,99.0,98.0,99.0,98.0,91.0,95.0,95.0,96.0,93.0
ARG,6.11,,,,250.0,33583.0,43.0,152.0,78142.0,0.2,,,,,,,,,,2033.0,6.0,3.0,2526.0,25349.0,12213.0,8.0,875.0,306981.0,293845.0,0.7,,,,,,,,,13827.0,5.0,,,,,920.0,55.0,,,,,14.0,64.4,,,0.05,0.14500000000000002,0.0,0.0,66.0,90.0,94.0,88.0,84.0,85.0,90.0,94.0,94.0,91.0,91.0,94.0,94.0,94.0,92.0,86.0,86.0,83.0,74.0,81.0,84.0,66.0,75.0
