COUNTRY,YEAR,IndicatorCode,NumericValue
DZA,2024,FOODSAFETY_IHR_PERCENT,80.0
IDN,2023,FOODSAFETY_IHR_PERCENT,80.0
NOR,2021,FOODSAFETY_IHR_PERCENT,100.0
ARE,2021,FOODSAFETY_IHR_PERCENT,80.0
EGY,2021,FOODSAFETY_IHR_PERCENT,80.0
BGR,2024,FOODSAFETY_IHR_PERCENT,80.0
TON,2022,FOODSAFETY_IHR_PERCENT,80.0
ARE,2022,FOODSAFETY_IHR_PERCENT,80.0
IRQ,2022,FOODSAFETY_IHR_PERCENT,60.0
BOL,2021,FOODSAFETY_IHR_PERCENT,20.0
LBR,2022,FOODSAFETY_IHR_PERCENT,40.0
DMA,2024,FOODSAFETY_IHR_PERCENT,80.0
DJI,2024,FOODSAFETY_IHR_PERCENT,40.0
CYP,2023,FOODSAFETY_IHR_PERCENT,100.0
MLT,2022,FOODSAFETY_IHR_PERCENT,80.0
LIE,2024,FOODSAFETY_IHR_PERCENT,80.0
ECU,2021,FOODSAFETY_IHR_PERCENT,80.0
GBR,2024,FOODSAFETY_IHR_PERCENT,100.0
MOZ,2021,FOODSAFETY_IHR_PERCENT,60.0
QAT,2023,FOODSAFETY_IHR_PERCENT,100.0
IND,2021,FOODSAFETY_IHR_PERCENT,60.0
SVN,2023,FOODSAFETY_IHR_PERCENT,100.0
COK,2021,FOODSAFETY_IHR_PERCENT,80.0
GNB,2021,FOODSAFETY_IHR_PERCENT,20.0
MYS,2021,FOODSAFETY_IHR_PERCENT,80.0
LTU,2023,FOODSAFETY_IHR_PERCENT,100.0
LBY,2022,FOODSAFETY_IHR_PERCENT,60.0
VUT,2022,FOODSAFETY_IHR_PERCENT,60.0
BWA,2022,FOODSAFETY_IHR_PERCENT,40.0
MRT,2021,FOODSAFETY_IHR_PERCENT,20.0
MDG,2021,FOODSAFETY_IHR_PERCENT,40.0
MCO,2022,FOODSAFETY_IHR_PERCENT,80.0
KHM,2021,FOODSAFETY_IHR_PERCENT,60.0
PNG,2021,FOODSAFETY_IHR_PERCENT,
