IndicatorCode,FOODSAFETY_IHR_PERCENT,FOODSAFETY_IHR_PERCENT,FOODSAFETY_IHR_PERCENT,FOODSAFETY_IHR_PERCENT,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,IHRSPAR2_C01,IHRSPAR2_C01,IHRSPAR2_C01,IHRSPAR2_C02,IHRSPAR2_C02,IHRSPAR2_C02,SDGIHR,SDGIHR,SDGIHR,SDGIHR,SDGIHR,SDGIHR,SDGIHR,SDGIHR,SDGIHR2018,SDGIHR2018,SDGIHR2018,SDGIHR2021,SDGIHR2021,SDGIHR2021,SDGIHR2021,UHC_IHR,UHC_IHR,UHC_IHR,UHC_IHR,UHC_IHR,UHC_IHR,UHC_IHR
YEAR,2021,2022,2023,2024,2016,2017,2018,2019,2021,2022,2023,2024,2021,2022,2023,2021,2022,2023,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2010,2011,2012,2013,2014,2015,2016
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,34.0,36.0,37.0,53.0,53.0,52.0,40.0,38.0,38.0,64.0,50.0,56.0,60.0,56.0,42.0,42.0,44.0,50.0,51.0,49.0,,,,,,,,
13,,,,,,,,,,,,,51.0,50.0,42.0,68.0,67.0,68.0,49.0,62.0,70.0,76.0,78.0,79.0,82.0,81.0,63.0,74.0,74.0,69.0,67.0,64.0,,,,,,,,
14,,,,,,,,,,,,,40.0,42.0,45.0,52.0,53.0,53.0,38.0,51.0,54.0,49.0,56.0,64.0,70.0,56.0,42.0,49.0,53.0,52.0,54.0,52.0,,,,,,,,
142,,,,,,,,,,,,,59.0,65.0,65.0,75.0,77.0,74.0,64.0,70.0,72.0,77.0,81.0,82.0,82.0,80.0,67.0,69.0,70.0,70.0,73.0,70.0,,,,,,,,
143,,,,,,,,,,,,,56.0,52.0,56.0,68.0,70.0,72.0,,77.0,80.0,82.0,87.0,84.0,,,59.0,64.0,64.0,66.0,68.0,65.0,,,,,,,,
145,,,,,,,,,,,,,59.0,68.0,66.0,75.0,76.0,69.0,63.0,74.0,76.0,81.0,83.0,88.0,87.0,83.0,75.0,73.0,73.0,73.0,76.0,72.0,,,,,,,,
15,,,,,,,,,,,,,53.0,55.0,57.0,70.0,70.0,69.0,64.0,55.0,58.0,68.0,77.0,68.0,76.0,77.0,68.0,70.0,69.0,65.0,68.0,69.0,,,,,,,,
150,,,,,,,,,,,,,63.0,65.0,64.0,75.0,75.0,75.0,68.0,71.0,78.0,79.0,80.0,82.0,78.0,77.0,73.0,75.0,74.0,74.0,75.0,75.0,,,,,,,,
