COUNTRY,YEAR,IndicatorCode,NumericValue
EUR,2020,AMRGLASS_SURVL02,19558.0
AMR,2020,AMRGLASS_SURVL02,6.0
EMR,2017,AMRGLASS_SURVL02,109.0
AFR,2017,AMRGLASS_SURVL02,5.0
WPR,2019,AMRGLASS_SURVL02,68.0
AFR,2019,AMRGLASS_SURVL02,42.0
SEAR,2019,AMRGLASS_SURVL02,3.0
EUR,2017,AMRGLASS_SURVL02,6.0
SEAR,2018,AMRGLASS_SURVL02,1.0
AMR,2019,AMRGLASS_SURVL02,40600.0
AFR,2018,AMRGLASS_SURVL02,5.0
EUR,2018,AMRGLASS_SURVL02,145.0
WPR,2018,AMRGLASS_SURVL02,68.0
EUR,2019,AMRGLASS_SURVL02,15901.0
EMR,2019,AMRGLASS_SURVL02,204.0
WPR,2020,AMRGLASS_SURVL02,2.0
EMR,2020,AMRGLASS_SURVL02,59.0
AFR,2020,AMRGLASS_SURVL02,9.0
SEAR,2020,AMRGLASS_SURVL02,5.0
EMR,2018,AMRGLASS_SURVL02,129.0
SEAR,2020,AMRGLASS_SURVL04,87.0
SEAR,2018,AMRGLASS_SURVL04,13.0
EMR,2020,AMRGLASS_SURVL04,303.0
WPR,2017,AMRGLASS_SURVL04,22.0
SEAR,2019,AMRGLASS_SURVL04,25.0
WPR,2019,AMRGLASS_SURVL04,1973.0
EUR,2020,AMRGLASS_SURVL04,308.0
AFR,2020,AMRGLASS_SURVL04,11.0
WPR,2018,AMRGLASS_SURVL04,2026.0
WPR,2020,AMRGLASS_SURVL04,2075.0
AMR,2020,AMRGLASS_SURVL04,76.0
VNM,2017,GDO_Q2x2x1_MENTAL,
CYP,2017,GDO_Q2x2x1_MENTAL,
JOR,2017,GDO_Q2x2x1_MENTAL,
MAR,2017,GDO_Q2x2x1_MENTAL,
LCA,2017,GDO_Q2x2x1_MENTAL,
DOM,2017,GDO_Q2x2x1_MENTAL,
BRN,2017,GDO_Q2x2x1_MENTAL,
MLT,2017,GDO_Q2x2x1_MENTAL,
MDV,2017,GDO_Q2x2x1_MENTAL,
NOR,2017,GDO_Q2x2x1_MENTAL,
LBN,2017,GDO_Q2x2x1_MENTAL,
TUR,2017,GDO_Q2x2x1_MENTAL,
CHE,2017,GDO_Q2x2x1_MENTAL,
HUN,2017,GDO_Q2x2x1_MENTAL,
JPN,2017,GDO_Q2x2x1_MENTAL,
SWZ,2017,GDO_Q2x2x1_MENTAL,
MYS,2017,GDO_Q2x2x1_MENTAL,
LTU,2017,GDO_Q2x2x1_MENTAL,
FJI,2017,GDO_Q2x2x1_MENTAL,
AUT,2017,GDO_Q2x2x1_MENTAL,
SGP,2017,GDO_Q2x2x1_MENTAL,
AUS,2017,GDO_Q2x2x1_MENTAL,
CHN,2017,GDO_Q2x2x1_MENTAL,
BGD,2017,GDO_Q2x2x1_MENTAL,
IRN,2017,GDO_Q2x2x1_MENTAL,
BLZ,2017,GDO_Q2x2x1_MENTAL,
DNK,2017,GDO_Q2x2x1_MENTAL,
TGO,2017,GDO_Q2x2x1_MENTAL,
CHL,2017,GDO_Q2x2x1_MENTAL,
KOR,2017,GDO_Q2x2x1_MENTAL,
SWE,2017,GDO_Q2x2x1_MENTAL,
CZE,2017,GDO_Q2x2x1_MENTAL,
CAN,2017,GDO_Q2x2x1_MENTAL,
NLD,2017,GDO_Q2x2x1_MENTAL,
SVN,2017,GDO_Q2x2x1_MENTAL,
GRC,2017,GDO_Q2x2x1_MENTAL,
FRA,2017,GDO_Q2x2x1_MENTAL,
MUS,2017,GDO_Q2x2x1_MENTAL,
OMN,2017,GDO_Q2x2x1_MENTAL,
PAK,2017,GDO_Q2x2x1_MENTAL,
IND,2017,GDO_Q2x2x1_MENTAL,
BRA,2017,GDO_Q2x2x1_MENTAL,
BEL,2017,GDO_Q2x2x1_MENTAL,
USA,2017,GDO_Q2x2x1_MENTAL,
FIN,2017,GDO_Q2x2x1_MENTAL,
GBR,2017,GDO_Q2x2x1_MENTAL,
QAT,2017,GDO_Q2x2x1_MENTAL,
TTO,2017,GDO_Q2x2x1_MENTAL,
ZAF,2017,GDO_Q2x2x1_MENTAL,
MMR,2017,GDO_Q2x2x1_MENTAL,
TUN,2017,GDO_Q2x2x1_MENTAL,
DEU,2017,GDO_Q2x2x1_MENTAL,
THA,2017,GDO_Q2x2x1_MENTAL,
GRD,2017,GDO_Q2x2x1_MENTAL,
COK,2017,GDO_Q2x2x1_MENTAL,
ISR,2017,GDO_Q2x2x1_MENTAL,
IRL,2017,GDO_Q2x2x1_MENTAL,
EST,2017,GDO_Q2x2x1_MENTAL,
POL,2017,GDO_Q2x2x1_MENTAL,
GUY,2017,GDO_Q2x2x1_MENTAL,
ITA,2017,GDO_Q2x2x1_MENTAL,
VNM,2017,GDO_q16x2_2,
GBR,2017,GDO_q16x2_2,
USA,2017,GDO_q16x2_2,
OMN,2017,GDO_q16x2_2,
BLZ,2017,GDO_q16x2_2,
QAT,2017,GDO_q16x2_2,
IRL,2017,GDO_q16x2_2,
ITA,2017,GDO_q16x2_2,
CZE,2017,GDO_q16x2_2,
TGO,2017,GDO_q16x2_2,
MUS,2017,GDO_q16x2_2,
SWE,2017,GDO_q16x2_2,
GRC,2017,GDO_q16x2_2,
HUN,2017,GDO_q16x2_2,
FRA,2017,GDO_q16x2_2,
TTO,2017,GDO_q16x2_2,
KOR,2017,GDO_q16x2_2,
MYS,2017,GDO_q16x2_2,
CAN,2017,GDO_q16x2_2,
FIN,2017,GDO_q16x2_2,
COK,2017,GDO_q16x2_2,
LCA,2017,GDO_q16x2_2,
MAR,2017,GDO_q16x2_2,
NLD,2017,GDO_q16x2_2,
BGD,2017,GDO_q16x2_2,
TUN,2017,GDO_q16x2_2,
TUR,2017,GDO_q16x2_2,
CHL,2017,GDO_q16x2_2,
EST,2017,GDO_q16x2_2,
MDV,2017,GDO_q16x2_2,
NOR,2017,GDO_q16x2_2,
SVN,2017,GDO_q16x2_2,
JOR,2017,GDO_q16x2_2,
AUS,2017,GDO_q16x2_2,
SWZ,2017,GDO_q16x2_2,
GRD,2017,GDO_q16x2_2,
BRN,2017,GDO_q16x2_2,
BEL,2017,GDO_q16x2_2,
PAK,2017,GDO_q16x2_2,
FJI,2017,GDO_q16x2_2,
ZAF,2017,GDO_q16x2_2,
DNK,2017,GDO_q16x2_2,
AUT,2017,GDO_q16x2_2,
DEU,2017,GDO_q16x2_2,
IRN,2017,GDO_q16x2_2,
SGP,2017,GDO_q16x2_2,
DOM,2017,GDO_q16x2_2,
LTU,2017,GDO_q16x2_2,
CHN,2017,GDO_q16x2_2,
MMR,2017,GDO_q16x2_2,
THA,2017,GDO_q16x2_2,
CHE,2017,GDO_q16x2_2,
JPN,2017,GDO_q16x2_2,
GUY,2017,GDO_q16x2_2,
