IndicatorCode,AMRGLASS_SURVL02,AMRGLASS_SURVL02,AMRGLASS_SURVL02,AMRGLASS_SURVL02,AMRGLASS_SURVL04,AMRGLASS_SURVL04,AMRGLASS_SURVL04,AMRGLASS_SURVL04,GDO_q9x5_1,GDO_q9x6_1,MH_10,MH_10,MH_10,MH_10,MH_10,MH_11,MH_11,MH_11,MH_12,MH_12,MH_12,MH_12,MH_12,MH_12,MH_12,MH_12,MH_12,MH_12,MH_12,MH_12,MH_12,MH_12,MH_12,MH_12,MH_12,MH_12,MH_12,MH_12,MH_12,MH_12,MH_13,MH_13,MH_13,MH_13,MH_14,MH_14,MH_14,MH_14,MH_14,MH_15,MH_15,MH_15,MH_15,MH_15,MH_16,MH_16,MH_16,MH_16,MH_16,MH_17,MH_17,MH_17,MH_17,MH_17,MH_18,MH_18,MH_18,MH_18,MH_20,MH_24,MH_4,MH_5,MH_5,MH_5,MH_5,MH_5,MH_6,MH_6,MH_6,MH_6,MH_6,MH_7,MH_7,MH_7,MH_7,MH_8,MH_8,MH_8,MH_8,MH_8,MH_9,MH_9,MH_9,MH_9,MH_9,PRISON_B9_1_PHYCHIATRISTS_RATIO,PRISON_D3_DEATHS_SUICIDE_MRATE,RSUD_44,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE,SDGSUICIDE
YEAR,2017,2018,2019,2020,2017,2018,2019,2020,2017,2017,2013,2014,2015,2016,2017,2015,2016,2017,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2013,2015,2016,2017,2013,2014,2015,2016,2017,2013,2014,2015,2016,2017,2013,2014,2015,2016,2017,2013,2014,2015,2016,2017,2013,2015,2016,2017,2014,2014,2011,2013,2014,2015,2016,2017,2013,2014,2015,2016,2017,2013,2015,2016,2017,2013,2014,2015,2016,2017,2013,2014,2015,2016,2017,2020,2020,2008,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,,,,,,,,,,,,,,0.00593,,,,,7.243332533,7.326203881333334,7.165436085666666,7.092571096666667,7.069444225666667,6.940503869666666,6.6399944763333325,6.5077389803333325,6.333056919666666,5.921958215,5.759674059000001,5.908168190333334,5.789386474666667,5.699810700333333,5.549653752333334,5.334255916333333,5.337132459333333,5.484628124333334,5.439870675666666,5.384626239666666,5.349134511333333,5.330588440333333,,,0.29641,,,,,,,,,,,,,,,0.29641,,,,,0.00296,,,,0.01186,,,24.018,,,,,,,,,,0.2312,,,,0.09782,,,,,,,,,,0.29641,,,,,4.353332929666667,4.379434185333333,4.250398875,4.232959464666667,4.2262894656666665,4.1491171693333335,4.009845980000001,3.944457503666667,3.8565642436666665,3.6517867249999996,3.580009333333333,3.6755694143333333,3.631265449666667,3.6049221599999997,3.5330387893333337,3.4512080126666667,3.457597278333333,3.5464414509999997,3.5489903490000003,3.5205771670000003,3.4868183496666667,6.484045473638889
AFR,5.0,5.0,42.0,9.0,,,,11.0,,,,,,,,,,,12.158126497333335,12.058851851,12.075603864666666,12.081418682,11.984692030666666,11.764958596333335,11.775810083666665,11.702726594,11.700774764000002,11.632237380666666,11.876240232666666,11.668656538333332,11.527468703000002,11.420441842999999,11.393579974666666,11.374776564666666,11.264869818666666,11.164795723666666,11.355912125333333,11.351657309333334,11.472284769333333,11.700563193333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.94711458,6.894601320333334,6.920162513666667,6.941300794333333,6.897510180666667,6.762216512666666,6.795097261666666,6.766423605666667,6.794097077,6.766424198666667,6.956196304666666,6.843263576666668,6.799266047333333,6.774379610333334,6.807624453,6.828271172333333,6.792048904999999,6.745850965333333,6.933754686333334,6.977615306,6.9019721700000005,7.275369586333333
AGO,,,,,,,,,,,,,,,,,,,17.790367556,16.966154411666665,16.578030661,17.01078668566667,16.938742466333334,15.890260182,16.318396267,15.230973943333334,14.360401643666668,13.995978506333332,13.301577659333333,13.384580413999998,13.152313008,13.289914608666669,12.352057051666668,12.628293342,12.507071223666665,12.349811852666667,13.468189773666666,14.060478805,14.367455087000002,15.119874865666667,,,0.18665,,,,,0.01436,,,,,0.33741,,,,,0.58508,,,,,0.01077,,,,,,,,,,,,,,,,,0.05743,,,,0.66046,,,,,0.02154,,,,,0.17947,,,,,9.180894376,8.543721355666667,8.291975770999999,8.943725553,8.977542003666667,8.375918770666667,8.643064964333334,8.044365112666666,7.544488364333333,7.283431142666667,6.932566803,6.988333468666666,6.826175751333333,6.915281202666667,6.392264652000001,6.587488528999999,6.515998618666667,6.498490180666667,7.182245044999999,7.5518701356666655,7.439132380333334,20.329158300472223
ALB,,,,,,,,,,,,,,0.41049,,,,,5.1499163690000005,4.442197066333333,4.508882423,4.624292255333334,4.533958765666667,6.933065278,6.892836784333333,6.974292866666667,6.977170397999999,6.837208662999999,6.513063028666667,6.621996953666667,4.110111741,4.069914342666666,3.8090085429999996,3.5910786906666665,3.4568306653333334,3.2954455360000003,3.1425851739999993,3.0254636070000003,2.5066101396666665,2.1437147083333334,,,4.27591,,,,,0.44469,,,,,4.58378,,,,,16.76158,,,,,0.06841,,,,0.06841,,1432.533,58.297,,,,,,,,,,1.47091,,,,6.87567,,,,,1.06043,,,,,1.23146,,1.22,101.69,,4.804310136666667,4.209880324666667,4.301067802666666,4.484651142666666,4.460866661666667,6.815392106333333,6.896650349999999,7.044849503666668,7.107748161,7.029697916666667,6.772560159666667,6.906726230666667,4.4986680256666665,4.505958674333333,4.259238897,4.137161119,4.032434475,3.9208367883333337,3.8326453333333332,3.7906576343333334,3.3623357843333337,2.948407513638889
AMR,,,40600.0,6.0,,,,76.0,,,,,,,,,,,7.954590287333333,8.200292159666667,8.196431069,8.111538246333334,8.063334110333335,8.005997970333333,7.9372558589999995,8.050421575333333,8.237338175333333,8.285485055666667,8.265021090333333,8.442931092333334,8.498444276666666,8.432342607,8.678052342666666,8.846159256666667,8.932262962666668,9.217575601,9.245848857333334,9.163354562666667,8.925045618333334,9.256575262666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.670005519333333,7.948339316666666,8.000386319333332,7.967984443,7.9709606456666675,7.966057662333334,7.942387992666667,8.099711526666667,8.334372815333333,8.426588546333333,8.461594634,8.686605789,8.786886368666666,8.766786686666666,9.057306723,9.274924978666666,9.390343071,9.720786633,9.806933180333333,9.756470750666667,9.542469084666665,9.905831854333334
ARE,,,,,,,,,,,,,,0.52434,,,,,2.2409241876666663,2.193848726666667,2.096658939333333,1.9935432759999998,2.01045595,1.9974386373333335,1.9202117989999998,1.6358833276666667,1.673417827333333,1.7760271763333335,1.9087685819999998,1.9820565416666664,2.0186123410000003,1.9516124146666665,1.8506285266666669,1.8491943016666665,1.7938659706666666,1.8577350553333334,1.8702166063333336,1.8274131263333333,1.828411363,1.5206661739999998,,,2.99313,,,,,0.03277,,,,,,,,,,0.89575,,,,,0.01092,,,,0.05462,,,6.246,,,,,,,,,,1.6495,,,,4.36953,,,,,0.36049,,,,,0.76467,,,,,2.2237096629999997,2.1995694066666664,2.0758418466666666,1.983084195,1.9710110783333334,1.9774324773333334,1.9637782216666668,1.7386379613333334,1.861999537,2.047292140666667,2.238798618,2.3217915713333332,2.3746794393333333,2.3102431643333334,2.1801030193333335,2.18586057,2.1103765046666667,2.198738524,2.2266968736666666,2.1814308189999996,2.0834127976666665,1.847400083777778
ARG,,,,,,,,,,,,,,1.72049,,,,,9.478816679333333,10.617160100333335,10.521031108,9.873031750666668,8.841977133999999,8.681632969666667,8.673049799666666,8.341059281333335,8.711880641,8.446779143,8.517355003666665,8.596596000666667,9.217114983666667,8.765165384666666,9.495076496000001,8.673565694999999,8.280659336333335,8.926936688666666,9.226808732333334,9.151710218,7.924258049999999,7.734183381333334,,,2.71778,,,,,0.15201,,,,,,,,,,40.56634,,,,,0.9374,,,,1.07099,,,,,,,,,,,,,21.7054,,,,,,,,,,,,,,222.57249,,,,,9.221757878666667,10.390631149666667,10.371941225,9.794588530666667,8.795160946333333,8.688571237333333,8.657715332333334,8.350367588,8.713218699333334,8.482033221666667,8.583461690333332,8.668611172666667,9.325706983333333,8.844850008,9.562858620666667,8.806284942666666,8.43694633,9.060122527333334,9.358347863666667,9.310757457333333,8.148075600333334,9.421283447138888
ARM,,,,,,,,,,,,,,1.3713,,,0.03428,,3.8236600243333334,3.3807693266666665,3.636892006,2.8034340859999998,3.8879848403333335,4.159132085666667,6.025920705333333,5.539289027,4.514300265666667,4.534225206333333,6.639586837333333,5.960181502,6.917308824666667,5.582366186000001,4.998549583333333,5.039786788333333,5.199510023,2.9094080593333334,2.023528638,2.3952659953333333,1.8011933903333333,2.079368895,,,1.71412,,,,,,,,,,,,,,,,,,,,,,,,0.06856,,,23.224,3.38,,,,19.5,,,,,3.83963,,,,11.24462,,,,,0.27426,,,,,0.78849,,3.05,50.84,0.1,3.616339406,3.296926803333333,3.7206296426666667,2.894906547333333,4.026487085666667,4.358927647333333,6.178719659666666,6.134353482666666,4.9517145959999995,4.901306179333333,7.087294298333333,6.873463950666667,7.754781961666667,6.549639831333334,6.474758877,6.260287495,6.208893278000001,3.3527745003333336,2.4009913529999998,2.81970115,2.264856557,2.98786564175
