COUNTRY,YEAR,IndicatorCode,NumericValue
BHR,2024,MCV2,99.0
KEN,2006,MCV2,0.0
SGP,2013,MCV2,90.0
FIN,2022,MCV2,92.0
SOM,2021,MCV2,3.0
ZAF,2023,MCV2,84.0
KWT,2021,MCV2,94.0
CHL,2009,MCV2,89.0
MNE,2013,MCV2,97.0
TUN,2022,MCV2,98.0
CYP,2018,MCV2,88.0
TLS,2014,MCV2,0.0
SLE,2020,MCV2,67.0
MKD,2009,MCV2,97.0
MDV,2020,MCV2,97.0
EGY,2013,MCV2,96.0
BTN,2009,MCV2,79.0
WB_LI,2009,MCV2,9.0
PRK,2002,MCV2,0.0
SOM,2010,MCV2,0.0
KAZ,2024,MCV2,92.0
LTU,2021,MCV2,88.0
TKM,2011,MCV2,99.0
SVK,2019,MCV2,98.0
COG,2013,MCV2,0.0
SDN,2011,MCV2,0.0
KGZ,2008,MCV2,97.0
JPN,2013,MCV2,93.0
BFA,2009,MCV2,0.0
LCA,2000,MCV2,89.0
DMA,2022,MCV2,87.0
GUY,2007,MCV2,90.0
GTM,2017,MCV2,89.0
SMR,2020,MCV2,79.0
LBN,2023,MCV2,59.0
CUB,2013,MCV2,97.0
LSO,2002,MCV2,50.0
BGD,2021,MCV2,93.0
MRT,2011,MCV2,0.0
STP,2003,MCV2,0.0
USA,2013,MCV2,91.0
ARG,2012,MCV2,89.0
COM,2022,MCV2,71.0
MWI,2017,MCV2,67.0
NOR,2022,MCV2,94.0
BLZ,2011,MCV2,98.0
PRY,2004,MCV2,0.0
BOL,2010,MCV2,0.0
COL,2022,MCV2,84.0
UGA,2021,MCV2,0.0
PRY,2023,MCV2,57.0
BTN,2014,MCV2,92.0
SVK,2002,MCV2,99.0
IDN,2005,MCV2,23.0
MOZ,2007,MCV2,0.0
CRI,2008,MCV2,89.0
LKA,2015,MCV2,99.0
PER,2021,MCV2,60.0
ROU,2012,MCV2,90.0
TJK,2016,MCV2,97.0
CUB,2004,MCV2,0.0
GIN,2022,MCV2,3.0
MNE,2008,MCV2,96.0
TKM,2003,MCV2,89.0
AMR,2018,MCV2,84.0
MNE,2024,MCV2,68.0
MNE,2011,MCV2,97.0
GMB,2010,MCV2,0.0
CMR,2010,MCV2,0.0
LTU,2022,MCV2,87.0
EUR,2003,MCV2,73.0
SVK,2018,MCV2,97.0
WPR,2018,MCV2,93.0
MNG,2015,MCV2,98.0
TLS,2017,MCV2,54.0
SYC,2011,MCV2,99.0
NAM,2012,MCV2,0.0
LAO,2000,MCV2,0.0
