COUNTRY,YEAR,IndicatorCode,NumericValue
STP,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
GUY,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
MWI,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
MKD,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
BRA,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
OMN,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
NPL,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
BGD,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
BGR,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
YEM,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
MNE,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
KAZ,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
CUB,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
UZB,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
SEN,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
MDV,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
CMR,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
RWA,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
IRQ,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
NLD,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
ALB,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
TUV,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
BRN,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
BLR,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
BEL,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
CHE,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
CYP,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
COK,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
BHR,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
UGA,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
CAN,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
BDI,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
PRT,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
CZE,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
BEN,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
NER,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
ESP,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
AZE,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
MYS,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
GIN,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
VNM,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
AFG,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
HRV,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
MMR,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
DZA,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
EST,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
GHA,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
KEN,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
TZA,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
POL,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
ARE,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
THA,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
CHN,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
BWA,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
MRT,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
ARM,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
MEX,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
SVK,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
HND,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
LTU,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
SGP,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
ZMB,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
ISL,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
LBR,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
VUT,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
USA,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
GTM,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
QAT,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
GEO,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
PNG,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
LVA,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
JOR,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
FJI,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
MNG,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
DMA,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
JAM,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
DOM,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
NOR,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
SLV,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
TUR,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
BFA,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
ZWE,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
SVN,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
KGZ,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
KHM,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
TJK,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
SAU,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
ZAF,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
SWE,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
MAR,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
PHL,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
ITA,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
IDN,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
MOZ,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
GAB,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
IRN,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
PER,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
COL,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
SDN,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
NGA,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
SYC,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
CRI,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
JPN,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
BTN,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
TUN,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
AUT,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
DEU,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
SLB,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
PAN,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
GBR,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
KIR,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
MDG,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
IND,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
RUS,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
SWZ,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
LAO,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
FIN,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
ROU,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
AUS,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
KWT,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
BLZ,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
ECU,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
ISR,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
EGY,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
BOL,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
SMR,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
NIC,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
WSM,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
MDA,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
TTO,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
NZL,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
SRB,2014,VIOLENCE_EXTENTIMP_CHILDHOMEVISIT,
MWI,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
ALB,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
LBR,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
BOL,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
KWT,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
MNE,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
KAZ,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
MRT,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
SMR,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
HRV,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
HND,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
BEN,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
BGR,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
DOM,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
FIN,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
EGY,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
GTM,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
NER,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
RUS,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
LAO,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
UGA,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
AZE,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
EST,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
SAU,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
THA,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
TUR,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
ISR,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
BLR,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
BDI,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
SRB,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
PAN,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
CZE,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
TUN,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
KIR,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
ZMB,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
KEN,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
CAN,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
ESP,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
ZWE,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
BRA,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
GEO,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
AUT,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
IDN,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
NGA,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
USA,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
LVA,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
MOZ,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
SVN,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
COK,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
NIC,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
IRN,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
MMR,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
MAR,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
ISL,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
CHN,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
SEN,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
ITA,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
SWZ,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
GHA,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
NLD,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
ARM,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
YEM,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
GUY,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
RWA,2014,VIOLENCE_EXTENTIMP_CHILDPROTECTION,
