COUNTRY,YEAR,IndicatorCode,NumericValue
MLT,2017,GDO_q10x2_1AVAIL,
DOM,2017,GDO_q10x2_1AVAIL,
FJI,2017,GDO_q10x2_1AVAIL,
TUN,2017,GDO_q10x2_1AVAIL,
CHL,2017,GDO_q10x2_1AVAIL,
SGP,2017,GDO_q10x2_1AVAIL,
ZAF,2017,GDO_q10x2_1AVAIL,
NOR,2017,GDO_q10x2_1AVAIL,
OMN,2017,GDO_q10x2_1AVAIL,
JOR,2017,GDO_q10x2_1AVAIL,
IND,2017,GDO_q10x2_1AVAIL,
BEL,2017,GDO_q10x2_1AVAIL,
MYS,2017,GDO_q10x2_1AVAIL,
ISR,2017,GDO_q10x2_1AVAIL,
GRC,2017,GDO_q10x2_1AVAIL,
CHN,2017,GDO_q10x2_1AVAIL,
FRA,2017,GDO_q10x2_1AVAIL,
AUT,2017,GDO_q10x2_1AVAIL,
KOR,2017,GDO_q10x2_1AVAIL,
LBN,2017,GDO_q10x2_1AVAIL,
GUY,2017,GDO_q10x2_1AVAIL,
MDV,2017,GDO_q10x2_1AVAIL,
HUN,2017,GDO_q10x2_1AVAIL,
DEU,2017,GDO_q10x2_1AVAIL,
MMR,2017,GDO_q10x2_1AVAIL,
SWE,2017,GDO_q10x2_1AVAIL,
CYP,2017,GDO_q10x2_1AVAIL,
NLD,2017,GDO_q10x2_1AVAIL,
ITA,2017,GDO_q10x2_1AVAIL,
GBR,2017,GDO_q10x2_1AVAIL,
CZE,2017,GDO_q10x2_1AVAIL,
SWZ,2017,GDO_q10x2_1AVAIL,
DNK,2017,GDO_q10x2_1AVAIL,
BRA,2017,GDO_q10x2_1AVAIL,
EST,2017,GDO_q10x2_1AVAIL,
QAT,2017,GDO_q10x2_1AVAIL,
USA,2017,GDO_q10x2_1AVAIL,
BRN,2017,GDO_q10x2_1AVAIL,
LCA,2017,GDO_q10x2_1AVAIL,
CHE,2017,GDO_q10x2_1AVAIL,
VNM,2017,GDO_q10x2_1AVAIL,
PAK,2017,GDO_q10x2_1AVAIL,
IRN,2017,GDO_q10x2_1AVAIL,
COK,2017,GDO_q10x2_1AVAIL,
CAN,2017,GDO_q10x2_1AVAIL,
SVN,2017,GDO_q10x2_1AVAIL,
IRL,2017,GDO_q10x2_1AVAIL,
POL,2017,GDO_q10x2_1AVAIL,
JPN,2017,GDO_q10x2_1AVAIL,
BGD,2017,GDO_q10x2_1AVAIL,
MAR,2017,GDO_q10x2_1AVAIL,
FIN,2017,GDO_q10x2_1AVAIL,
BLZ,2017,GDO_q10x2_1AVAIL,
LTU,2017,GDO_q10x2_1AVAIL,
TUR,2017,GDO_q10x2_1AVAIL,
TTO,2017,GDO_q10x2_1AVAIL,
MUS,2017,GDO_q10x2_1AVAIL,
AUS,2017,GDO_q10x2_1AVAIL,
TGO,2017,GDO_q10x2_1AVAIL,
THA,2017,GDO_q10x2_1AVAIL,
GRD,2017,GDO_q10x2_1AVAIL,
BRB,1995,HWF_0017,96.0
MLI,2009,HWF_0017,76.0
SEN,2022,HWF_0017,634.0
MYS,2010,HWF_0017,83.0
MYS,2019,HWF_0017,217.0
NGA,2011,HWF_0017,6225.0
UGA,2022,HWF_0017,426.0
MYS,2012,HWF_0017,140.0
RWA,2008,HWF_0017,98.0
NGA,2021,HWF_0017,1234.0
LKA,1980,HWF_0017,913.0
KEN,2018,HWF_0017,1628.0
PLW,2020,HWF_0017,12.0
TLS,2004,HWF_0017,10.0
JAM,2008,HWF_0017,455.0
HND,2005,HWF_0017,394.0
TZA,2022,HWF_0017,1204.0
GNB,2021,HWF_0017,1.0
ETH,2020,HWF_0017,2378.0
TCD,2023,HWF_0017,79.0
ZAF,2019,HWF_0017,3881.0
TGO,2008,HWF_0017,7.0
ZAF,2011,HWF_0017,2950.0
ISL,2009,HWF_0017,53.0
BFA,2022,HWF_0017,1755.0
TGO,2019,HWF_0017,21.0
ISR,2017,HWF_0017,200.0
OMN,1995,HWF_0017,191.0
COG,2007,HWF_0017,19.0
KEN,2022,HWF_0017,636.0
PAK,2004,HWF_0017,106.0
TGO,2022,HWF_0017,340.0
ARG,1992,HWF_0017,1000.0
TCD,2022,HWF_0017,76.0
JAM,2013,HWF_0017,47.0
GNB,2004,HWF_0017,3.0
ISL,2006,HWF_0017,53.0
GNB,2020,HWF_0017,2.0
