IndicatorCode,HWF_0017,HWF_0017,HWF_0017,HWF_0017,HWF_0017,HWF_0017,HWF_0017,HWF_0017,HWF_0017,HWF_0017,HWF_0017,HWF_0017,HWF_0017,HWF_0017,HWF_0017,HWF_0017,HWF_0017,HWF_0017,HWF_0017,HWF_0017,HWF_0017,HWF_0017,HWF_0017,HWF_0017,HWF_0017,HWF_0017,HWF_0017,HWF_0017,HWF_0017,HWF_0017,HWF_0017,HWF_0017,HWF_0017,HWF_0017,HWF_0017,HWF_0017,HWF_0017,HWF_0017,HWWS_1,HWWS_1,HWWS_1,HWWS_1,HWWS_2,HWWS_2,HWWS_2,SDGODAWS,SDGODAWS,SDGODAWS,SDGODAWS,SDGODAWS,SDGODAWS,SDGODAWS,SDGODAWS,SDGODAWS,SDGODAWS,SDGODAWS,SDGODAWS,SDGODAWS,SDGODAWS,SDGWSHBOD,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,UNICEF_ORS,WSH_1,WSH_10,WSH_10_HYG,WSH_10_SAN,WSH_10_WAT,WSH_2,WSH_20,WSH_20_HYG,WSH_20_SAN,WSH_20_WAT,WSH_3,WSH_30,WSH_30_HYG,WSH_30_SAN,WSH_30_WAT,WSH_4,WSH_5,WSH_6,WSH_7,WSH_8,WSH_DOMESTIC_WASTE_SAFELY_TREATED,WSH_DOMESTIC_WASTE_SAFELY_TREATED,WSH_DOMESTIC_WASTE_SAFELY_TREATED,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_HYGIENE_BASIC,WSH_SANITATION_BASIC,WSH_SANITATION_BASIC,WSH_SANITATION_BASIC,WSH_SANITATION_BASIC,WSH_SANITATION_BASIC,WSH_SANITATION_BASIC,WSH_SANITATION_BASIC,WSH_SANITATION_BASIC,WSH_SANITATION_BASIC,WSH_SANITATION_BASIC,WSH_SANITATION_BASIC,WSH_SANITATION_BASIC,WSH_SANITATION_BASIC,WSH_SANITATION_BASIC,WSH_SANITATION_BASIC,WSH_SANITATION_BASIC,WSH_SANITATION_BASIC,WSH_SANITATION_BASIC,WSH_SANITATION_BASIC,WSH_SANITATION_BASIC,WSH_SANITATION_BASIC,WSH_SANITATION_BASIC,WSH_SANITATION_BASIC,WSH_SANITATION_OD,WSH_SANITATION_OD,WSH_SANITATION_OD,WSH_SANITATION_OD,WSH_SANITATION_OD,WSH_SANITATION_OD,WSH_SANITATION_OD,WSH_SANITATION_OD,WSH_SANITATION_OD,WSH_SANITATION_OD,WSH_SANITATION_OD,WSH_SANITATION_OD,WSH_SANITATION_OD,WSH_SANITATION_OD,WSH_SANITATION_OD,WSH_SANITATION_OD,WSH_SANITATION_OD,WSH_SANITATION_OD,WSH_SANITATION_OD,WSH_SANITATION_OD,WSH_SANITATION_OD,WSH_SANITATION_OD,WSH_SANITATION_OD,WSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,WSH_SANITATION_SAFELY_MANAGED,WSH_WATER_BASIC,WSH_WATER_BASIC,WSH_WATER_BASIC,WSH_WATER_BASIC,WSH_WATER_BASIC,WSH_WATER_BASIC,WSH_WATER_BASIC,WSH_WATER_BASIC,WSH_WATER_BASIC,WSH_WATER_BASIC,WSH_WATER_BASIC,WSH_WATER_BASIC,WSH_WATER_BASIC,WSH_WATER_BASIC,WSH_WATER_BASIC,WSH_WATER_BASIC,WSH_WATER_BASIC,WSH_WATER_BASIC,WSH_WATER_BASIC,WSH_WATER_BASIC,WSH_WATER_BASIC,WSH_WATER_BASIC,WSH_WATER_BASIC,WSH_WATER_SAFELY_MANAGED,WSH_WATER_SAFELY_MANAGED,WSH_WATER_SAFELY_MANAGED,WSH_WATER_SAFELY_MANAGED,WSH_WATER_SAFELY_MANAGED,WSH_WATER_SAFELY_MANAGED,WSH_WATER_SAFELY_MANAGED,WSH_WATER_SAFELY_MANAGED,WSH_WATER_SAFELY_MANAGED,WSH_WATER_SAFELY_MANAGED,WSH_WATER_SAFELY_MANAGED,WSH_WATER_SAFELY_MANAGED,WSH_WATER_SAFELY_MANAGED,WSH_WATER_SAFELY_MANAGED,WSH_WATER_SAFELY_MANAGED,WSH_WATER_SAFELY_MANAGED,WSH_WATER_SAFELY_MANAGED,WSH_WATER_SAFELY_MANAGED,WSH_WATER_SAFELY_MANAGED,WSH_WATER_SAFELY_MANAGED,WSH_WATER_SAFELY_MANAGED,WSH_WATER_SAFELY_MANAGED,WSH_WATER_SAFELY_MANAGED,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ors,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort,ort
YEAR,1980,1985,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2004,2005,2007,2010,2005,2007,2010,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2019,1986,1987,1988,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2019,2019,2019,2019,2019,2004,2019,2019,2019,2019,2004,2019,2019,2019,2019,2004,2004,2004,2004,2004,2020,2022,2024,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.46749,27.64665222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.28587,60.88390732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.50767,12.30827236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.04151,50.60446167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9239,31.76943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.43557,61.33014,61.92827225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.96028,67.54338,68.14102936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.48213,74.2899,75.57826996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
