COUNTRY,YEAR,IndicatorCode,NumericValue
NLD,2008,RSUD_11,
BGD,2008,RSUD_11,
UKR,2008,RSUD_11,
SMR,2008,RSUD_11,
HUN,2008,RSUD_11,
NAM,2008,RSUD_11,
TJK,2008,RSUD_11,
AFG,2008,RSUD_11,
IRL,2008,RSUD_11,
GIN,2008,RSUD_11,
GIN,2008,RSUD_11,
PER,2008,RSUD_11,
BEN,2008,RSUD_11,
SDN,2008,RSUD_11,
CHN,2008,RSUD_11,
GHA,2008,RSUD_11,
IRN,2008,RSUD_11,
RUS,2008,RSUD_11,
BRN,2008,RSUD_11,
TUN,2008,RSUD_11,
FJI,2008,RSUD_11,
CAF,2008,RSUD_11,
GMB,2008,RSUD_11,
PNG,2008,RSUD_11,
IRL,2008,RSUD_11,
GEO,2008,RSUD_11,
CYP,2008,RSUD_11,
SUR,2008,RSUD_11,
MNG,2008,RSUD_11,
DNK,2008,RSUD_11,
BGR,2008,RSUD_11,
PRY,2008,RSUD_11,
GHA,2008,RSUD_11,
NOR,2008,RSUD_11,
ERI,2008,RSUD_11,
TJK,2008,RSUD_11,
SYR,2008,RSUD_11,
LKA,2008,RSUD_11,
SRB,2008,RSUD_11,
BHS,2008,RSUD_11,
EGY,2008,RSUD_11,
CAF,2008,RSUD_11,
JOR,2008,RSUD_11,
GTM,2008,RSUD_11,
BLZ,2008,RSUD_11,
DZA,2008,RSUD_11,
RUS,2008,RSUD_11,
LVA,2008,RSUD_11,
ESP,2008,RSUD_11,
ITA,2008,RSUD_11,
ERI,2008,RSUD_11,
MWI,2008,RSUD_11,
DEU,2008,RSUD_11,
ZWE,2008,RSUD_11,
THA,2008,RSUD_11,
AGO,2008,RSUD_11,
SUR,2008,RSUD_11,
CHL,2008,RSUD_11,
SYC,2008,RSUD_11,
ETH,2008,RSUD_11,
FRA,2008,RSUD_11,
NZL,2008,RSUD_11,
SVN,2008,RSUD_11,
BHR,2008,RSUD_11,
HRV,2008,RSUD_11,
THA,2008,RSUD_11,
TCD,2008,RSUD_11,
DZA,2008,RSUD_11,
COG,2008,RSUD_11,
MAR,2008,RSUD_11,
CYP,2008,RSUD_11,
UKR,2008,RSUD_11,
UGA,2008,RSUD_11,
IDN,2008,RSUD_11,
ZAF,2008,RSUD_11,
NIC,2008,RSUD_11,
MDV,2008,RSUD_11,
TLS,2008,RSUD_11,
ZAF,2008,RSUD_11,
CMR,2008,RSUD_11,
PRY,2008,RSUD_11,
NER,2008,RSUD_11,
OMN,2008,RSUD_11,
ISL,2008,RSUD_11,
BTN,2008,RSUD_11,
COL,2008,RSUD_11,
AUS,2008,RSUD_11,
MLT,2008,RSUD_11,
BHR,2008,RSUD_11,
HND,2008,RSUD_11,
FIN,2008,RSUD_11,
BWA,2008,RSUD_11,
JAM,2008,RSUD_11,
PNG,2008,RSUD_11,
BEN,2008,RSUD_11,
SDN,2008,RSUD_11,
JAM,2008,RSUD_11,
NZL,2008,RSUD_11,
MDG,2008,RSUD_11,
CIV,2008,RSUD_11,
CMR,2008,RSUD_11,
PAK,2008,RSUD_11,
AFG,2008,RSUD_11,
TUN,2008,RSUD_11,
SVK,2008,RSUD_11,
CHE,2008,RSUD_11,
SGP,2008,RSUD_11,
JPN,2008,RSUD_11,
COD,2008,RSUD_11,
AUS,2008,RSUD_11,
AUT,2008,RSUD_11,
TGO,2008,RSUD_11,
GTM,2008,RSUD_11,
IRQ,2008,RSUD_11,
BTN,2008,RSUD_11,
DOM,2008,RSUD_11,
IND,2008,RSUD_11,
ALB,2008,RSUD_11,
MDA,2008,RSUD_11,
HND,2008,RSUD_11,
MLI,2008,RSUD_11,
LUX,2008,RSUD_11,
CHE,2008,RSUD_11,
