IndicatorCode,RSUD_45,SCSUD_DATAPREV,SCSUD_DATASERVPROV,SCSUD_DATASERVUTIL,SCSUD_FINANCINGEXP,SCSUD_FINANCINGPROGRESS,SCSUD_FINANCINGSUPPORT,SCSUD_GOVGUIDELINES,SCSUD_GOVPAL,SCSUD_HEALTHINFOPROGRESS,SCSUD_HWFAVAILABILITY,SCSUD_HWFDEV,SCSUD_HWFPROGRESS,SCSUD_HWFSUPPORT,SCSUD_MEDACCESSPROGRESS,SCSUD_MEDBIS,SCSUD_MEDDF,SCSUD_MEDNTG,SCSUD_MEDNUM,SCSUD_MEDPUBLIC,SCSUD_MEDREG,SCSUD_NSS,SCSUD_NSSPROGRESS,SCSUD_PHARM,SCSUD_PSYCH,SCSUD_PSYCHPROGRESS,SCSUD_REHAB,SCSUD_SBI,SCSUD_SBIPROGRESS,SCSUD_STS,SCSUD_STSPROGRESS,SUD_SERVICECAPACITYINDEX,SUD_TREATMENTSERVICES_COVERAGE,SUD_TREATMENTSERVICES_COVERAGE,SUD_TREATMENTSERVICES_COVERAGE,SUD_TREATMENTSERVICES_COVERAGE
YEAR,2008,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2019,2015,2016,2017,2018
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,0.6,0.8421052631578947,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.5,0.08333333333333333,0.0,0.5714285714285714,0.0,0.0,0.35714285714285715,0.0,41.17989418,,,,
AFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.115064,,,,
AGO,,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,1.0,1.0,0.0,0.0,0.16666666666666666,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.125,0.0,0.08333333333333333,0.08333333333333333,0.0,0.14285714285714285,0.16666666666666666,0.0,0.07142857142857142,0.0,63.43650794,,0.406216576,,
ALB,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.67654321,,,,
AMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.088699,,,,
AND,,0.0,0.0,0.5666666666666667,0.0,0.0,0.0,0.75,0.5454545454545454,1.0,0.15384615384615385,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.125,0.0,0.9166666666666666,0.7775,1.0,1.0714285714285714,0.5275,1.0,0.8857142857142858,1.0,35.06084656,,,,
ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.71746032,,,,
ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.01781305,,,,
ARM,1.75,0.6842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,0.13333333333333333,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.2857142857142857,0.0,0.5,0.0,0.9716666666666667,0.7775,0.0,0.0,0.0,0.0,0.0,0.0,20.5026455,,,,
ATG,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.5384615384615384,0.3333333333333333,1.0,1.0,1.0,0.0,0.16666666666666666,0.2857142857142857,0.0,0.14285714285714285,0.7142857142857143,0.125,0.0,0.9716666666666667,0.8608333333333333,1.0,0.5714285714285714,0.16666666666666666,0.0,0.14285714285714285,0.0,19.48677249,,,,
AUS,,0.7894736842105263,0.5555555555555556,0.4,1.0,1.0,0.34285714285714286,0.375,0.2727272727272727,0.0,1.0769230769230769,0.9333333333333333,1.0,1.0,1.0,0.0,1.0,1.0,0.6666666666666666,0.5714285714285714,0.8571428571428571,1.25,1.0,0.5833333333333334,0.3333333333333333,1.0,0.8571428571428571,1.5,1.0,1.5,1.0,60.63492064,,,,
AUT,10.3,0.0,0.0,0.0,1.0,1.0,0.2571428571428572,0.75,0.45454545454545453,0.0,0.9230769230769231,0.06666666666666667,1.0,1.6666666666666667,0.0,0.0,0.16666666666666666,0.2857142857142857,0.5,0.14285714285714285,0.2857142857142857,0.125,0.0,0.7216666666666667,0.9441666666666667,1.0,0.8571428571428571,0.16666666666666666,0.0,1.1285714285714286,1.0,32.57010582,,,,
AZE,3.7,0.5,0.8888888888888888,0.6666666666666666,0.0,0.0,0.0,0.7916666666666666,0.8181818181818182,1.0,1.0769230769230769,0.5333333333333333,1.0,1.0,1.0,0.42857142857142855,0.6666666666666666,0.42857142857142855,0.5,0.42857142857142855,0.5714285714285714,0.3333333333333333,1.0,0.8333333333333334,1.0275,1.0,0.8571428571428571,0.8333333333333334,1.0,0.8714285714285713,0.0,46.47089947,,,,
BDI,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.6666666666666666,0.0,0.14285714285714285,0.3333333333333333,0.2857142857142857,0.16666666666666666,0.2857142857142857,0.2857142857142857,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.14285714285714285,0.16666666666666666,0.0,0.5714285714285714,1.0,6.878306878,,,,
BEL,,0.3684210526315789,0.4444444444444444,0.06666666666666667,0.0,0.0,0.0,0.7916666666666666,0.6363636363636364,0.0,0.9230769230769231,0.6,1.0,1.6666666666666667,1.0,0.0,1.0,0.7142857142857143,0.0,0.0,0.7142857142857143,0.875,1.0,0.75,0.9166666666666666,1.0,0.14285714285714285,1.5274999999999999,1.0,1.1857142857142857,1.0,66.89153439,,,,4.49663768
BEN,0.2,0.23529411764705882,0.6666666666666666,0.26666666666666666,1.0,0.0,0.0,0.7647058823529411,0.3333333333333333,1.0,0.46153846153846156,0.4,1.0,1.5,1.0,0.14285714285714285,0.5,0.8571428571428571,0.0,0.14285714285714285,0.42857142857142855,0.625,1.0,0.6108333333333333,0.16666666666666666,1.0,0.7142857142857143,0.5,1.0,0.2857142857142857,0.0,16.4021164,,,,
BFA,,0.47368421052631576,0.7777777777777778,0.9666666666666667,1.0,1.0,0.05714285714285715,0.9583333333333334,0.45454545454545453,0.0,1.0769230769230769,0.8,1.0,1.6666666666666667,1.0,0.5714285714285714,0.3333333333333333,0.7142857142857143,0.6666666666666666,0.7142857142857143,0.5714285714285714,1.04125,1.0,1.0,0.7775,1.0,1.0235714285714286,0.08333333333333333,0.0,0.9714285714285714,1.0,12.43386243,,,,
BGD,1.6,0.10526315789473684,0.3333333333333333,0.3,1.0,1.0,0.19999999999999998,0.0,0.18181818181818182,0.0,0.9230769230769231,0.26666666666666666,1.0,1.0,1.0,0.0,0.3333333333333333,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.9575,1.0,1.0,0.555,1.0,0.5714285714285714,0.16666666666666666,0.0,1.1142857142857143,1.0,47.60582011,,,,
BGR,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.40661376,,,,
BHR,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.06666666666666667,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.42857142857142855,0.25,0.0,0.6933333333333334,0.5,0.0,0.5471428571428572,0.08333333333333333,0.0,0.6714285714285715,0.0,23.36243386,,,,
BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.50445326,,,,
BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.77720459,,,,
BLR,14.100000000000001,0.0,0.4444444444444444,0.43333333333333335,0.0,0.0,0.0,0.375,0.45454545454545453,0.0,0.7692307692307693,0.5333333333333333,0.0,1.0,0.0,0.0,0.3333333333333333,0.14285714285714285,0.16666666666666666,0.14285714285714285,0.2857142857142857,0.5,0.0,0.8883333333333333,0.5,0.0,0.0,1.055,0.0,1.3857142857142857,0.0,51.67195767,,,,10.0
BLZ,,0.631578947368421,0.2222222222222222,0.2,1.0,1.0,0.2857142857142857,0.041666666666666664,0.6363636363636364,0.0,0.6923076923076923,0.7333333333333333,1.0,1.3333333333333333,0.0,0.8571428571428571,0.8333333333333334,0.2857142857142857,0.8333333333333334,0.0,0.8571428571428571,1.16625,0.0,1.0833333333333333,1.1666666666666667,0.0,1.3571428571428572,1.1383333333333334,0.0,1.5142857142857142,1.0,18.95502646,,,,
