IndicatorCode,NTD_TSOL3,NTD_TSOL3
YEAR,2016,2020
COUNTRY,,
AGO,2603365.0,3739563.0
ALB,112212.0,158401.0
AND,34.0,
ARE,0.0,
ARG,2440000.0,5316958.0
ARM,145044.0,223250.0
ATG,5000.0,5260.0
AUS,2098147.0,2258046.0
AUT,2983158.0,2806460.0
AZE,6746.0,5877.0
BDI,388242.0,846948.0
BEL,6592978.0,6218270.0
BEN,414000.0,545000.0
BFA,2345188.0,2505977.0
BGD,207212.0,207212.0
BGR,530945.0,592100.0
BHR,0.0,
BHS,5000.0,5026.0
BIH,529644.0,546771.0
BLR,4242900.0,2871600.0
BLZ,22000.0,25661.0
BOL,2863928.0,3209604.0
BRA,36743593.0,41124233.0
BRB,23000.0,19827.0
BRN,1225.0,762.0
BTN,15373.0,17577.0
BWA,13500.0,2464.0
CAF,1000000.0,1081626.0
CAN,12879000.0,13970000.0
CHE,1487704.0,1240214.0
CHL,2793260.0,2713123.0
CHN,475922000.0,412172274.0
CIV,362693.0,439404.0
CMR,1750000.0,1952770.0
COD,1050000.0,998055.0
COG,95000.0,106383.0
COK,32200.0,20540.0
COL,5340890.0,6710666.0
CPV,84559.0,70206.0
CRI,434000.0,395598.0
CUB,1606900.0,1120699.0
CYP,357900.0,359420.0
CZE,1586627.0,1546020.0
DEU,27690100.0,26069900.0
DMA,5000.0,5075.0
DNK,12075750.0,13391000.0
DOM,528000.0,998055.0
DZA,5000.0,4660.0
ECU,1218538.0,1059842.0
EGY,10600.0,11000.0
ERI,5000.0,
ESP,25494720.0,32796070.0
EST,358700.0,316600.0
ETH,33000.0,36416.0
FIN,1300385.0,1103900.0
FJI,147000.0,153849.0
FRA,13487588.0,13737000.0
FSM,33000.0,38061.0
GAB,225000.0,223960.0
GBR,4885000.0,5148000.0
GEO,204300.0,155500.0
GHA,638000.0,759211.0
GIN,104000.0,159985.0
GMB,4873.0,13322.0
GNB,460000.0,473656.0
GNQ,6700.0,7079.0
GRC,1077000.0,743000.0
GRD,3000.0,2955.0
GTM,2768500.0,2961099.0
GUY,12600.0,10069.0
HND,487000.0,460515.0
HRV,1110000.0,1033000.0
HTI,100100.0,1010282.0
HUN,2989000.0,2850000.0
IDN,8246000.0,9069892.0
IND,10130000.0,8852111.0
IRL,1552000.0,1678570.0
IRN,0.0,
IRQ,0.0,
ISL,26033.0,27000.0
ISR,176900.0,183808.0
ITA,8661500.0,8543030.0
JAM,210000.0,218410.0
JOR,0.0,
JPN,9685000.0,9123909.0
KAZ,922296.0,816736.0
KEN,432979.0,649273.0
KGZ,51777.0,29465.0
KHM,2150000.0,1901967.0
KIR,13500.0,14580.0
KNA,7000.0,2600.0
KOR,9912204.0,11078032.0
KWT,0.0,
LAO,2800000.0,4298000.0
LBN,7900.0,7537.0
LBR,292000.0,362788.0
LCA,20000.0,12671.0
LKA,80471.0,92640.0
LSO,81000.0,47157.0
LTU,807500.0,580400.0
LUX,87518.0,82130.0
LVA,355200.0,306820.0
MAR,8000.0,7949.0
MCO,0.0,
MDA,410400.0,396652.0
MDG,1500000.0,1768766.0
MDV,0.0,
MEX,16201625.0,18788002.0
MHL,15000.0,
MKD,167492.0,164074.0
MLI,77594.0,87215.0
MLT,49450.0,45270.0
MMR,10530000.0,19192640.0
MNE,18451.0,26853.0
MNG,51864.0,24531.0
MOZ,1800000.0,1695167.0
MUS,14500.0,21987.0
MWI,2754414.0,7794586.0
MYS,1816660.0,1876029.0
NAM,72500.0,105395.0
NER,42500.0,43351.0
NGA,8080000.0,7990514.0
NIC,494000.0,529433.0
NIU,2100.0,2266.0
NLD,12212300.0,11541000.0
NOR,848063.0,785161.0
NPL,1160035.0,1519593.0
NRU,3000.0,3049.0
NZL,297724.0,234533.0
PAN,341800.0,365700.0
PER,3132335.0,3265145.0
PHL,11843051.0,12795721.0
PLW,862.0,
PNG,2000000.0,2118571.0
POL,11162472.0,11727400.0
PRK,2265000.0,2306000.0
PRT,2014000.0,2259180.0
PRY,1300000.0,1333083.0
QAT,0.0,
ROU,5234313.0,3750400.0
RUS,18816357.0,25163165.0
RWA,1011250.0,1541367.0
SEN,386000.0,478118.0
SGP,272000.0,
SLB,54500.0,55293.0
SLE,55000.0,268746.0
SLV,445000.0,250000.0
SMR,67.0,
SOM,3700.0,3815.0
SRB,3144215.0,2983102.0
STP,33000.0,42985.0
SUR,31177.0,34073.0
SVK,631464.0,538310.0
SVN,296097.0,229480.0
SWE,1398875.0,1383200.0
SWZ,35000.0,35758.0
SYC,5550.0,5126.0
SYR,0.0,11.0
TCD,33000.0,111561.0
TGO,1000000.0,1120815.0
THA,7923654.0,7536066.0
TJK,662.0,87.0
TKM,29000.0,7726.0
TLS,360000.0,444897.0
TON,82500.0,83414.0
TTO,35000.0,29711.0
TUN,5500.0,5297.0
TUR,2986.0,990.0
TUV,13600.0,14544.0
TZA,500000.0,520884.0
UGA,2497600.0,2638296.0
UKR,7576700.0,5727400.0
URY,279000.0,162000.0
USA,64775000.0,77312000.0
UZB,95200.0,52430.0
VCT,4800.0,6723.0
VEN,3900000.0,3000146.0
VNM,26241400.0,22027858.0
VUT,94000.0,91195.0
WSM,201000.0,106586.0
YEM,0.0,
ZAF,1600000.0,1356892.0
ZMB,1098951.0,1066369.0
ZWE,650000.0,272206.0
