COUNTRY/REGION,YEAR,IndicatorCode,NumericValue
UNSDG_LAC,2005,FINANCIALHARDSHIP_MILLIONOFPOP,123.864660027
WB_SAR2,2010,FINANCIALHARDSHIP_MILLIONOFPOP,114.222448
WB_SAR,2019,FINANCIALHARDSHIP_MILLIONOFPOP,535.504179992
EMR,2003,FINANCIALHARDSHIP_MILLIONOFPOP,34.258076
RC_ESCAP,2019,FINANCIALHARDSHIP_MILLIONOFPOP,1042.291992318
WB_MNA2,2002,FINANCIALHARDSHIP_MILLIONOFPOP,21.472522
RC_ECE,2016,FINANCIALHARDSHIP_MILLIONOFPOP,112.774303664
WB_HI,2018,FINANCIALHARDSHIP_MILLIONOFPOP,86.635516603
WB_EAP,2015,FINANCIALHARDSHIP_MILLIONOFPOP,62.9279
UNSDG_OCEANIA,2009,FINANCIALHARDSHIP_MILLIONOFPOP,1.247804625
UNSDG_WESTERNASIANORTHERNAFR,2013,FINANCIALHARDSHIP_MILLIONOFPOP,107.825459828
GLOBAL,2007,FINANCIALHARDSHIP_MILLIONOFPOP,162.328624
WB_SSA,2010,FINANCIALHARDSHIP_MILLIONOFPOP,316.469949592
WB_UMI,2005,FINANCIALHARDSHIP_MILLIONOFPOP,94.505973842
WB_SAR2,2019,FINANCIALHARDSHIP_MILLIONOFPOP,148.286416
AFR,2003,FINANCIALHARDSHIP_MILLIONOFPOP,271.970654023
EUR,2002,FINANCIALHARDSHIP_MILLIONOFPOP,27.310018
UNSDG_EASTERNASIASOUTHEASTERNASIA,2012,FINANCIALHARDSHIP_MILLIONOFPOP,119.001808
NC,2018,FINANCIALHARDSHIP_MILLIONOFPOP,3.547073281
WB_MNA2,2022,FINANCIALHARDSHIP_MILLIONOFPOP,30.009058
WB_LAC,2007,FINANCIALHARDSHIP_MILLIONOFPOP,90.679232231
UNSDG_LAC,2001,FINANCIALHARDSHIP_MILLIONOFPOP,18.391586
RC_ESCAP,2018,FINANCIALHARDSHIP_MILLIONOFPOP,1046.417243676
WB_UMI,2000,FINANCIALHARDSHIP_MILLIONOFPOP,123.456244753
WB_UMI,2014,FINANCIALHARDSHIP_MILLIONOFPOP,65.028884
WB_NAR,2004,FINANCIALHARDSHIP_MILLIONOFPOP,2.790344
WB_LI,2017,FINANCIALHARDSHIP_MILLIONOFPOP,259.397587781
WPR_WO_IDN,2018,FINANCIALHARDSHIP_MILLIONOFPOP,68.946608
EMR,2022,FINANCIALHARDSHIP_MILLIONOFPOP,21.052622
RC_ECE,2017,FINANCIALHARDSHIP_MILLIONOFPOP,111.385451779
WB_MNA2,2018,FINANCIALHARDSHIP_MILLIONOFPOP,30.896958
NC,2002,FINANCIALHARDSHIP_MILLIONOFPOP,1.065660625
WB_LI,2002,FINANCIALHARDSHIP_MILLIONOFPOP,157.657104
SEAR,2000,FINANCIALHARDSHIP_MILLIONOFPOP,478.379389426
