IndicatorCode,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,UHC_AVAILABILITY_SCORE,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH
YEAR,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,1985,1986,1987,1988,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2023,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
COUNTRY/REGION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.343077786666665,,,,,,42.4261600375,,,29.90000590152941,,,,32.38331254333333,,,,,71.0,30.0,31.0,32.0,33.0,34.0,35.0,35.0,36.0,36.0,37.0,38.0,36.0,37.0,38.0,38.0,38.0,39.0,40.0,42.0,42.0,42.0,42.0,42.0,42.0,25.0,25.0,25.0,25.0,25.0,24.0,23.0,24.0,24.0,25.0,24.0,19.0,19.0,20.0,21.0,19.0,20.0,19.0,21.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,24.0,25.0,27.0,28.0,29.0,31.0,32.0,34.0,35.0,36.0,38.0,39.0,41.0,42.0,43.0,45.0,46.0,48.0,49.0,50.0,52.0,53.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,52.0,53.0,54.0,55.0,55.0,56.0,56.0,57.0,57.0,57.0,58.0,58.0,38.0,40.0,41.0,42.0,44.0,45.0,46.0,46.0,46.0,44.0,46.0,48.0,49.0,48.0,47.0,49.0,51.0,52.0,54.0,53.0,51.0,49.0,48.0,46.0
AFR,174.95996398280002,176.4077822612,178.9794497644,177.1857510876,177.2605223302,187.0813522012,183.2979348248,188.49970147640002,186.0590952184,189.9370472658,193.67654225619998,196.5857197734,204.52191965440002,206.19997986479999,218.0403723762,223.17144968920002,224.57510482520001,221.44030852740002,226.364245528,230.4555898516,238.69107513160003,240.38562154239997,246.28214569460002,,,,,,,,,,,,,,,25.8585822996,25.4020229126,25.1051415278,24.2057193466,23.578740167399996,24.2262084652,23.1054542394,23.1263692652,22.2124082066,22.0655384834,21.8921921378,21.615284257600003,21.878982729,21.466353878,22.099735293600002,22.0289019118,21.5992985108,20.7596793992,20.6816303646,20.5260396416,20.731286875000002,20.3682417452,20.3661689962,,,69.0,30.0,29.0,28.0,28.0,29.0,31.0,34.0,36.0,38.0,39.0,41.0,43.0,44.0,44.0,46.0,47.0,47.0,48.0,48.0,48.0,48.0,49.0,50.0,51.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,31.0,32.0,34.0,35.0,36.0,38.0,39.0,39.0,39.0,35.0,35.0,35.0,39.0,43.0,43.0,11.0,9.0,8.0,8.0,9.0,11.0,16.0,19.0,21.0,24.0,27.0,31.0,32.0,32.0,34.0,37.0,38.0,40.0,40.0,40.0,41.0,40.0,40.0,42.0,55.0,56.0,57.0,58.0,59.0,60.0,60.0,61.0,62.0,62.0,63.0,64.0,64.0,65.0,66.0,66.0,67.0,67.0,68.0,69.0,69.0,69.0,69.0,69.0,41.0,41.0,42.0,42.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,51.0,53.0,53.0,54.0,54.0,54.0,54.0
AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3588356524375,,,,,,,,,,34.60246072877778,,,,,,,50.0,28.0,29.0,30.0,30.0,30.0,31.0,34.0,37.0,38.0,38.0,38.0,39.0,37.0,37.0,37.0,39.0,40.0,42.0,41.0,45.0,43.0,38.0,45.0,44.0,31.0,31.0,31.0,31.0,31.0,32.0,33.0,33.0,34.0,35.0,34.0,33.0,32.0,31.0,23.0,29.0,32.0,33.0,29.0,35.0,40.0,36.0,44.0,44.0,10.0,10.0,11.0,12.0,11.0,12.0,17.0,23.0,25.0,23.0,25.0,26.0,23.0,24.0,32.0,31.0,31.0,34.0,37.0,42.0,33.0,22.0,35.0,32.0,54.0,55.0,55.0,56.0,56.0,57.0,57.0,58.0,58.0,58.0,58.0,58.0,58.0,59.0,59.0,59.0,59.0,59.0,59.0,60.0,60.0,60.0,60.0,60.0,37.0,39.0,40.0,41.0,41.0,42.0,42.0,43.0,43.0,44.0,44.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,46.0,45.0,45.0,44.0,44.0,46.0
ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.994870229272728,,,,,,26.1342398166,,,23.22163491245,,,17.363606429,,,,15.8446518659,,,,,13.167294687666667,,,,,,,,54.0,56.0,55.0,55.0,55.0,55.0,55.0,56.0,56.0,56.0,57.0,58.0,59.0,60.0,61.0,61.0,62.0,62.0,64.0,66.0,67.0,68.0,69.0,70.0,71.0,74.0,73.0,72.0,72.0,72.0,72.0,74.0,75.0,75.0,75.0,74.0,75.0,76.0,75.0,74.0,73.0,72.0,75.0,81.0,85.0,90.0,91.0,97.0,98.0,89.0,90.0,91.0,91.0,92.0,92.0,93.0,93.0,94.0,95.0,95.0,96.0,96.0,97.0,97.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,42.0,43.0,44.0,45.0,46.0,46.0,47.0,48.0,49.0,49.0,50.0,51.0,51.0,52.0,53.0,53.0,54.0,54.0,55.0,55.0,56.0,56.0,57.0,57.0,34.0,33.0,32.0,31.0,30.0,29.0,30.0,30.0,29.0,30.0,31.0,33.0,34.0,36.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,44.0,45.0,46.0
AMR,82.5307818966,81.7247614064,82.29959008120001,81.7215984786,86.3536667382,86.39976459980001,85.06193830219999,83.8898302382,85.396085793,83.726486546,83.4057648684,84.6960414276,84.8784912782,86.3629815838,84.24199947240001,83.15867377859999,82.9477247348,88.50365221300001,86.10988056779999,87.4492983964,83.578524065,87.5150960574,89.9954791624,,,,,,,,,,,,,,,9.8985410888,9.6808811742,9.6321093074,9.453035663,9.8748414352,9.7688904274,9.5103628118,9.2749908026,9.3376218078,9.0567525726,8.9276852856,8.972295071400001,8.900060436,8.9652209806,8.659438981,8.4665659096,8.365673300000001,8.8445446352,8.5305161628,8.591667130400001,8.1587172322,8.503618915999999,8.6969583216,,,65.0,73.0,73.0,74.0,74.0,75.0,76.0,76.0,77.0,77.0,77.0,78.0,79.0,80.0,81.0,81.0,82.0,82.0,82.0,82.0,82.0,83.0,83.0,83.0,83.0,79.0,78.0,78.0,78.0,78.0,79.0,79.0,79.0,79.0,79.0,79.0,82.0,85.0,87.0,88.0,89.0,89.0,89.0,86.0,86.0,88.0,87.0,85.0,85.0,84.0,85.0,85.0,85.0,86.0,86.0,87.0,87.0,88.0,88.0,88.0,89.0,89.0,90.0,90.0,91.0,91.0,91.0,92.0,92.0,92.0,93.0,93.0,93.0,55.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,67.0,68.0,69.0,69.0,70.0,71.0,71.0,72.0,72.0,72.0,73.0,73.0,76.0,76.0,77.0,77.0,78.0,78.0,79.0,79.0,79.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,81.0
AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.746597387545455,7.341869913538462,5.551780760272727,3.8702024503333337,4.945755506444445,,31.0,69.0,69.0,70.0,70.0,71.0,71.0,71.0,71.0,72.0,72.0,72.0,71.0,72.0,69.0,72.0,72.0,72.0,72.0,73.0,74.0,74.0,74.0,74.0,75.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,66.0,68.0,58.0,66.0,65.0,66.0,66.0,72.0,74.0,74.0,74.0,74.0,74.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,47.0,47.0,47.0,48.0,48.0,49.0,49.0,49.0,49.0,50.0,50.0,50.0,50.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,69.0,70.0,71.0,71.0,72.0,73.0,74.0,74.0,75.0,76.0,77.0,77.0,78.0,78.0,79.0,79.0,79.0,79.0,79.0,79.0,80.0,80.0,81.0,81.0
ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,73.0,74.0,74.0,74.0,74.0,71.0,71.0,72.0,72.0,73.0,72.0,74.0,76.0,79.0,80.0,81.0,81.0,82.0,83.0,84.0,84.0,84.0,84.0,84.0,65.0,67.0,67.0,68.0,66.0,58.0,59.0,62.0,62.0,62.0,60.0,68.0,71.0,85.0,87.0,90.0,89.0,92.0,94.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,63.0,64.0,65.0,65.0,66.0,66.0,66.0,66.0,67.0,67.0,67.0,67.0,68.0,68.0,69.0,70.0,70.0,71.0,71.0,71.0,71.0,72.0,72.0,72.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,67.0,67.0,68.0,68.0,68.0,68.0,69.0,69.0,70.0,70.0,70.0,70.0,71.0,71.0,71.0,72.0,72.0
ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.875221252333333,,,,,,,,85.0,74.0,74.0,75.0,76.0,76.0,77.0,77.0,77.0,78.0,78.0,78.0,78.0,79.0,80.0,80.0,81.0,81.0,80.0,79.0,79.0,79.0,80.0,80.0,80.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,89.0,91.0,93.0,94.0,91.0,89.0,86.0,85.0,86.0,87.0,88.0,86.0,87.0,88.0,88.0,89.0,89.0,90.0,90.0,91.0,91.0,92.0,92.0,93.0,93.0,93.0,94.0,94.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,48.0,48.0,49.0,50.0,51.0,51.0,52.0,53.0,53.0,54.0,54.0,55.0,55.0,56.0,56.0,56.0,57.0,57.0,57.0,57.0,58.0,58.0,58.0,58.0,82.0,83.0,84.0,85.0,85.0,85.0,85.0,85.0,85.0,86.0,86.0,85.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,85.0,85.0,85.0,84.0
