IndicatorCode,RHR_IPV
YEAR,2010
COUNTRY,
GBD_IHME_ASIACEN,22.88547
GBD_IHME_ASIAEAS,16.3023
GBD_IHME_ASIAPACHI,28.45126
GBD_IHME_ASIASE,27.98697
GBD_IHME_ASIASOU,41.73425
GBD_IHME_AUSASIA,28.28895
GBD_IHME_CAR,27.08837
GBD_IHME_EUROCEN,27.84805
GBD_IHME_EUROEAS,26.13291
GBD_IHME_EUROWES,19.29733
GBD_IHME_LATAMAND,40.62944
GBD_IHME_LATAMCEN,29.50806
GBD_IHME_LATAMSOU,23.67529
GBD_IHME_LATAMTRO,27.43354
GBD_IHME_NORAFRMIDEAS,35.3794
GBD_IHME_NORAMEHI,21.31728
GBD_IHME_OCEANIA,35.27044
GBD_IHME_SUBSAHACEN,65.63952
GBD_IHME_SUBSAHAEAS,38.82647
GBD_IHME_SUBSAHASOU,29.66877
GBD_IHME_SUBSAHAWES,41.74858
GLOBAL,28.364378333333335
HI_INCOME,19.359071666666665
LMI_AFR,35.915456999999996
LMI_AMR,30.842507272727275
LMI_EMR,30.944153
LMI_EUR,24.90259375
LMI_SEAR,45.191942499999996
LMI_WPR,24.010437
