COUNTRY,YEAR,IndicatorCode,NumericValue
LKA,2024,NTD_YAWSEND,
VUT,2024,NTD_YAWSEND,
THA,2024,NTD_YAWSEND,
AZE,2024,NTD_YAWSEND,
ATG,2024,NTD_YAWSEND,
CHE,2024,NTD_YAWSEND,
IRQ,2024,NTD_YAWSEND,
USA,2024,NTD_YAWSEND,
ARG,2024,NTD_YAWSEND,
GRD,2024,NTD_YAWSEND,
CMR,2024,NTD_YAWSEND,
MYS,2024,NTD_YAWSEND,
IDN,2024,NTD_YAWSEND,
BGR,2024,NTD_YAWSEND,
VNM,2024,NTD_YAWSEND,
UZB,2024,NTD_YAWSEND,
CPV,2024,NTD_YAWSEND,
SRB,2024,NTD_YAWSEND,
COL,2024,NTD_YAWSEND,
TUR,2024,NTD_YAWSEND,
CHL,2024,NTD_YAWSEND,
GTM,2024,NTD_YAWSEND,
BLZ,2024,NTD_YAWSEND,
CAF,2024,NTD_YAWSEND,
ZWE,2024,NTD_YAWSEND,
MDA,2024,NTD_YAWSEND,
NIU,2024,NTD_YAWSEND,
QAT,2024,NTD_YAWSEND,
STP,2024,NTD_YAWSEND,
DJI,2024,NTD_YAWSEND,
SYR,2024,NTD_YAWSEND,
HUN,2024,NTD_YAWSEND,
CZE,2024,NTD_YAWSEND,
MNG,2024,NTD_YAWSEND,
GMB,2024,NTD_YAWSEND,
VEN,2024,NTD_YAWSEND,
TGO,2024,NTD_YAWSEND,
LBR,2024,NTD_YAWSEND,
RUS,2024,NTD_YAWSEND,
SLV,2024,NTD_YAWSEND,
IND,2024,NTD_YAWSEND,
SYC,2024,NTD_YAWSEND,
KEN,2024,NTD_YAWSEND,
COG,2024,NTD_YAWSEND,
FJI,2024,NTD_YAWSEND,
PLW,2024,NTD_YAWSEND,
TKM,2024,NTD_YAWSEND,
PRT,2024,NTD_YAWSEND,
SSD,2024,NTD_YAWSEND,
EST,2024,NTD_YAWSEND,
BRA,2024,NTD_YAWSEND,
NAM,2024,NTD_YAWSEND,
BGD,2024,NTD_YAWSEND,
CYP,2024,NTD_YAWSEND,
KOR,2024,NTD_YAWSEND,
ESP,2024,NTD_YAWSEND,
SUR,2024,NTD_YAWSEND,
SMR,2024,NTD_YAWSEND,
TLS,2024,NTD_YAWSEND,
ETH,2024,NTD_YAWSEND,
BDI,2024,NTD_YAWSEND,
TJK,2024,NTD_YAWSEND,
SVN,2024,NTD_YAWSEND,
LBN,2024,NTD_YAWSEND,
GIN,2024,NTD_YAWSEND,
LCA,2024,NTD_YAWSEND,
AUS,2024,NTD_YAWSEND,
NZL,2024,NTD_YAWSEND,
PNG,2024,NTD_YAWSEND,
SDN,2024,NTD_YAWSEND,
NPL,2024,NTD_YAWSEND,
GEO,2024,NTD_YAWSEND,
FSM,2024,NTD_YAWSEND,
NOR,2024,NTD_YAWSEND,
MMR,2024,NTD_YAWSEND,
ERI,2024,NTD_YAWSEND,
BTN,2024,NTD_YAWSEND,
KIR,2024,NTD_YAWSEND,
EGY,2024,NTD_YAWSEND,
ROU,2024,NTD_YAWSEND,
HND,2024,NTD_YAWSEND,
COK,2024,NTD_YAWSEND,
UKR,2024,NTD_YAWSEND,
MEX,2024,NTD_YAWSEND,
NER,2024,NTD_YAWSEND,
BFA,2024,NTD_YAWSEND,
GNB,2024,NTD_YAWSEND,
PRK,2024,NTD_YAWSEND,
ZAF,2024,NTD_YAWSEND,
MNE,2024,NTD_YAWSEND,
TON,2024,NTD_YAWSEND,
AGO,2024,NTD_YAWSEND,
SVK,2024,NTD_YAWSEND,
SLB,2024,NTD_YAWSEND,
DNK,2024,NTD_YAWSEND,
MOZ,2024,NTD_YAWSEND,
RWA,2024,NTD_YAWSEND,
JPN,2024,NTD_YAWSEND,
MDG,2024,NTD_YAWSEND,
GRC,2024,NTD_YAWSEND,
ECU,2024,NTD_YAWSEND,
GHA,2024,NTD_YAWSEND,
DMA,2024,NTD_YAWSEND,
PAK,2024,NTD_YAWSEND,
VCT,2024,NTD_YAWSEND,
NRU,2024,NTD_YAWSEND,
TUN,2024,NTD_YAWSEND,
IRN,2024,NTD_YAWSEND,
NLD,2024,NTD_YAWSEND,
BRB,2024,NTD_YAWSEND,
KAZ,2024,NTD_YAWSEND,
GNQ,2024,NTD_YAWSEND,
WSM,2024,NTD_YAWSEND,
PRY,2024,NTD_YAWSEND,
LBY,2024,NTD_YAWSEND,
ISR,2024,NTD_YAWSEND,
ARE,2024,NTD_YAWSEND,
TUV,2024,NTD_YAWSEND,
MUS,2024,NTD_YAWSEND,
BWA,2024,NTD_YAWSEND,
BHR,2024,NTD_YAWSEND,
SAU,2024,NTD_YAWSEND,
BLR,2024,NTD_YAWSEND,
CRI,2024,NTD_YAWSEND,
SWE,2024,NTD_YAWSEND,
MAR,2024,NTD_YAWSEND,
DOM,2024,NTD_YAWSEND,
POL,2024,NTD_YAWSEND,
ITA,2024,NTD_YAWSEND,
LTU,2024,NTD_YAWSEND,
DEU,2024,NTD_YAWSEND,
ARM,2024,NTD_YAWSEND,
URY,2024,NTD_YAWSEND,
SEN,2024,NTD_YAWSEND,
TCD,2024,NTD_YAWSEND,
MLI,2024,NTD_YAWSEND,
COD,2024,NTD_YAWSEND,
JAM,2024,NTD_YAWSEND,
PER,2024,NTD_YAWSEND,
OMN,2024,NTD_YAWSEND,
LAO,2024,NTD_YAWSEND,
BEN,2024,NTD_YAWSEND,
BEL,2024,NTD_YAWSEND,
HTI,2024,NTD_YAWSEND,
IRL,2024,NTD_YAWSEND,
KNA,2024,NTD_YAWSEND,
ISL,2024,NTD_YAWSEND,
LSO,2024,NTD_YAWSEND,
SWZ,2024,NTD_YAWSEND,
MRT,2024,NTD_YAWSEND,
UGA,2024,NTD_YAWSEND,
LVA,2024,NTD_YAWSEND,
NGA,2024,NTD_YAWSEND,
AUT,2024,NTD_YAWSEND,
MCO,2024,NTD_YAWSEND,
CIV,2024,NTD_YAWSEND,
PAN,2024,NTD_YAWSEND,
BRN,2024,NTD_YAWSEND,
MHL,2024,NTD_YAWSEND,
COM,2024,NTD_YAWSEND,
MWI,2024,NTD_YAWSEND,
FIN,2024,NTD_YAWSEND,
YEM,2024,NTD_YAWSEND,
CAN,2024,NTD_YAWSEND,
TTO,2024,NTD_YAWSEND,
BHS,2024,NTD_YAWSEND,
JOR,2024,NTD_YAWSEND,
MDV,2024,NTD_YAWSEND,
DZA,2024,NTD_YAWSEND,
FRA,2024,NTD_YAWSEND,
HRV,2024,NTD_YAWSEND,
KGZ,2024,NTD_YAWSEND,
GBR,2024,NTD_YAWSEND,
GAB,2024,NTD_YAWSEND,
CUB,2024,NTD_YAWSEND,
AFG,2024,NTD_YAWSEND,
SGP,2024,NTD_YAWSEND,
LUX,2024,NTD_YAWSEND,
ALB,2024,NTD_YAWSEND,
BIH,2024,NTD_YAWSEND,
BOL,2024,NTD_YAWSEND,
KHM,2024,NTD_YAWSEND,
PHL,2024,NTD_YAWSEND,
AND,2024,NTD_YAWSEND,
CHN,2024,NTD_YAWSEND,
NIC,2024,NTD_YAWSEND,
TZA,2024,NTD_YAWSEND,
KWT,2024,NTD_YAWSEND,
GUY,2024,NTD_YAWSEND,
ZMB,2024,NTD_YAWSEND,
SOM,2024,NTD_YAWSEND,
MLT,2024,NTD_YAWSEND,
MKD,2024,NTD_YAWSEND,
SLE,2024,NTD_YAWSEND,
CMR,2016,NTD_YAWSNUM,890.0
CMR,2015,NTD_YAWSNUM,463.0
SLB,2014,NTD_YAWSNUM,13312.0
CIV,2014,NTD_YAWSNUM,2650.0
SLB,2013,NTD_YAWSNUM,14909.0
CIV,2015,NTD_YAWSNUM,1940.0
TLS,2011,NTD_YAWSNUM,
IDN,2013,NTD_YAWSNUM,2043.0
PNG,2012,NTD_YAWSNUM,17560.0
GHA,2013,NTD_YAWSNUM,18702.0
SLB,2008,NTD_YAWSNUM,
GHA,2016,NTD_YAWSNUM,1481.0
TLS,2009,NTD_YAWSNUM,
COD,2012,NTD_YAWSNUM,
CMR,2014,NTD_YAWSNUM,530.0
COG,2010,NTD_YAWSNUM,
BEN,2012,NTD_YAWSNUM,11.0
COD,2014,NTD_YAWSNUM,
CIV,2012,NTD_YAWSNUM,3092.0
CAF,2015,NTD_YAWSNUM,
SLB,2012,NTD_YAWSNUM,12372.0
CAF,2011,NTD_YAWSNUM,
TGO,2010,NTD_YAWSNUM,15.0
SLB,2015,NTD_YAWSNUM,9736.0
GHA,2012,NTD_YAWSNUM,8980.0
CIV,2009,NTD_YAWSNUM,
CIV,2011,NTD_YAWSNUM,3343.0
BEN,2014,NTD_YAWSNUM,
VUT,2016,NTD_YAWSNUM,609.0
BEN,2011,NTD_YAWSNUM,
BEN,2015,NTD_YAWSNUM,
CMR,2011,NTD_YAWSNUM,133.0
IDN,2009,NTD_YAWSNUM,7751.0
IDN,2008,NTD_YAWSNUM,6083.0
CMR,2012,NTD_YAWSNUM,59.0
VUT,2013,NTD_YAWSNUM,1198.0
TGO,2014,NTD_YAWSNUM,15.0
CAF,2013,NTD_YAWSNUM,
COG,2013,NTD_YAWSNUM,
PNG,2016,NTD_YAWSNUM,33891.0
BEN,2013,NTD_YAWSNUM,
GHA,2011,NTD_YAWSNUM,9674.0
COD,2008,NTD_YAWSNUM,383.0
VUT,2010,NTD_YAWSNUM,1593.0
SLB,2010,NTD_YAWSNUM,20635.0
TLS,2016,NTD_YAWSNUM,
IDN,2011,NTD_YAWSNUM,6631.0
COG,2008,NTD_YAWSNUM,
BEN,2016,NTD_YAWSNUM,
CAF,2016,NTD_YAWSNUM,
PNG,2013,NTD_YAWSNUM,19710.0
COG,2014,NTD_YAWSNUM,
VUT,2011,NTD_YAWSNUM,2331.0
SLB,2016,NTD_YAWSNUM,18082.0
CMR,2009,NTD_YAWSNUM,
TGO,2013,NTD_YAWSNUM,
TGO,2009,NTD_YAWSNUM,
IDN,2015,NTD_YAWSNUM,3379.0
COD,2009,NTD_YAWSNUM,
TLS,2013,NTD_YAWSNUM,
VUT,2012,NTD_YAWSNUM,2514.0
GHA,2008,NTD_YAWSNUM,20525.0
COG,2009,NTD_YAWSNUM,646.0
CIV,2008,NTD_YAWSNUM,
COD,2013,NTD_YAWSNUM,
IDN,2012,NTD_YAWSNUM,4360.0
COD,2010,NTD_YAWSNUM,
PNG,2009,NTD_YAWSNUM,25822.0
BEN,2010,NTD_YAWSNUM,45.0
COD,2015,NTD_YAWSNUM,
PNG,2010,NTD_YAWSNUM,29061.0
BEN,2009,NTD_YAWSNUM,
TGO,2011,NTD_YAWSNUM,
CMR,2013,NTD_YAWSNUM,97.0
IDN,2016,NTD_YAWSNUM,2762.0
TLS,2010,NTD_YAWSNUM,
VUT,2008,NTD_YAWSNUM,
GHA,2014,NTD_YAWSNUM,2055.0
GHA,2015,NTD_YAWSNUM,1636.0
IDN,2014,NTD_YAWSNUM,1521.0
GHA,2009,NTD_YAWSNUM,35248.0
COD,2011,NTD_YAWSNUM,
CIV,2016,NTD_YAWSNUM,1581.0
IDN,2010,NTD_YAWSNUM,6178.0
PNG,2014,NTD_YAWSNUM,29886.0
TGO,2008,NTD_YAWSNUM,
TGO,2012,NTD_YAWSNUM,
TLS,2012,NTD_YAWSNUM,
CIV,2010,NTD_YAWSNUM,3740.0
COG,2011,NTD_YAWSNUM,
VUT,2014,NTD_YAWSNUM,615.0
GHA,2010,NTD_YAWSNUM,18157.0
PNG,2015,NTD_YAWSNUM,28584.0
VUT,2015,NTD_YAWSNUM,317.0
CAF,2012,NTD_YAWSNUM,230.0
BEN,2008,NTD_YAWSNUM,
CMR,2010,NTD_YAWSNUM,802.0
CIV,2013,NTD_YAWSNUM,2256.0
PNG,2011,NTD_YAWSNUM,28989.0
CAF,2009,NTD_YAWSNUM,
SLB,2009,NTD_YAWSNUM,
TLS,2008,NTD_YAWSNUM,
TGO,2016,NTD_YAWSNUM,11.0
COG,2016,NTD_YAWSNUM,
CMR,2008,NTD_YAWSNUM,
TLS,2015,NTD_YAWSNUM,
COG,2012,NTD_YAWSNUM,197.0
COG,2015,NTD_YAWSNUM,
PNG,2008,NTD_YAWSNUM,28989.0
VUT,2009,NTD_YAWSNUM,
CAF,2014,NTD_YAWSNUM,
CAF,2010,NTD_YAWSNUM,
COD,2016,NTD_YAWSNUM,
SLB,2011,NTD_YAWSNUM,
CAF,2008,NTD_YAWSNUM,243.0
TGO,2015,NTD_YAWSNUM,7.0
TLS,2014,NTD_YAWSNUM,
SLE,2022,NTD_YAWSNUM_CONF,
MMR,2021,NTD_YAWSNUM_CONF,
PHL,2017,NTD_YAWSNUM_CONF,4.0
TTO,2022,NTD_YAWSNUM_CONF,
COG,2017,NTD_YAWSNUM_CONF,
CAF,2023,NTD_YAWSNUM_CONF,166.0
GHA,2018,NTD_YAWSNUM_CONF,448.0
VCT,2024,NTD_YAWSNUM_CONF,
FSM,2022,NTD_YAWSNUM_CONF,
MYS,2018,NTD_YAWSNUM_CONF,
AGO,2022,NTD_YAWSNUM_CONF,
BLZ,2023,NTD_YAWSNUM_CONF,
GTM,2024,NTD_YAWSNUM_CONF,
JAM,2023,NTD_YAWSNUM_CONF,
JAM,2022,NTD_YAWSNUM_CONF,
TON,2020,NTD_YAWSNUM_CONF,
FSM,2023,NTD_YAWSNUM_CONF,
PAN,2020,NTD_YAWSNUM_CONF,
CMR,2019,NTD_YAWSNUM_CONF,
TLS,2021,NTD_YAWSNUM_CONF,
TCD,2023,NTD_YAWSNUM_CONF,
GRD,2021,NTD_YAWSNUM_CONF,
GHA,2020,NTD_YAWSNUM_CONF,146.0
BDI,2020,NTD_YAWSNUM_CONF,
HND,2021,NTD_YAWSNUM_CONF,
COG,2024,NTD_YAWSNUM_CONF,0.0
RWA,2022,NTD_YAWSNUM_CONF,
PNG,2018,NTD_YAWSNUM_CONF,
JAM,2017,NTD_YAWSNUM_CONF,
DMA,2020,NTD_YAWSNUM_CONF,
AGO,2019,NTD_YAWSNUM_CONF,
SDN,2019,NTD_YAWSNUM_CONF,
ATG,2024,NTD_YAWSNUM_CONF,
CIV,2017,NTD_YAWSNUM_CONF,15.0
MHL,2018,NTD_YAWSNUM_CONF,
IND,2018,NTD_YAWSNUM_CONF,0.0
LCA,2018,NTD_YAWSNUM_CONF,
IDN,2021,NTD_YAWSNUM_CONF,
AGO,2023,NTD_YAWSNUM_CONF,
HTI,2021,NTD_YAWSNUM_CONF,
TCD,2018,NTD_YAWSNUM_CONF,
KHM,2022,NTD_YAWSNUM_CONF,
LKA,2017,NTD_YAWSNUM_CONF,
COM,2019,NTD_YAWSNUM_CONF,
ETH,2019,NTD_YAWSNUM_CONF,
VUT,2017,NTD_YAWSNUM_CONF,169.0
SSD,2023,NTD_YAWSNUM_CONF,
CIV,2019,NTD_YAWSNUM_CONF,
TLS,2024,NTD_YAWSNUM_CONF,
GHA,2024,NTD_YAWSNUM_CONF,313.0
BDI,2017,NTD_YAWSNUM_CONF,
COK,2023,NTD_YAWSNUM_CONF,
CPV,2024,NTD_YAWSNUM_CONF,
CMR,2020,NTD_YAWSNUM_CONF,
NIC,2023,NTD_YAWSNUM_CONF,
LAO,2024,NTD_YAWSNUM_CONF,
PER,2019,NTD_YAWSNUM_CONF,
GUY,2017,NTD_YAWSNUM_CONF,
KNA,2022,NTD_YAWSNUM_CONF,
BEN,2023,NTD_YAWSNUM_CONF,3.0
NGA,2017,NTD_YAWSNUM_CONF,
FSM,2017,NTD_YAWSNUM_CONF,
WSM,2021,NTD_YAWSNUM_CONF,
SSD,2018,NTD_YAWSNUM_CONF,
MOZ,2018,NTD_YAWSNUM_CONF,
COG,2019,NTD_YAWSNUM_CONF,
NRU,2018,NTD_YAWSNUM_CONF,
HTI,2023,NTD_YAWSNUM_CONF,
TTO,2020,NTD_YAWSNUM_CONF,
RWA,2020,NTD_YAWSNUM_CONF,
CUB,2018,NTD_YAWSNUM_CONF,0.0
IND,2019,NTD_YAWSNUM_CONF,
AUS,2020,NTD_YAWSNUM_CONF,
ETH,2021,NTD_YAWSNUM_CONF,
MYS,2020,NTD_YAWSNUM_CONF,
IND,2020,NTD_YAWSNUM_CONF,
COM,2022,NTD_YAWSNUM_CONF,
ZWE,2022,NTD_YAWSNUM_CONF,
PHL,2023,NTD_YAWSNUM_CONF,
VUT,2018,NTD_YAWSNUM_CONF,205.0
RWA,2024,NTD_YAWSNUM_CONF,
GUY,2020,NTD_YAWSNUM_CONF,
BRB,2022,NTD_YAWSNUM_CONF,
TON,2019,NTD_YAWSNUM_CONF,
NGA,2019,NTD_YAWSNUM_CONF,
LBR,2017,NTD_YAWSNUM_CONF,0.0
DMA,2021,NTD_YAWSNUM_CONF,
PAN,2019,NTD_YAWSNUM_CONF,
MMR,2017,NTD_YAWSNUM_CONF,
GAB,2018,NTD_YAWSNUM_CONF,
SDN,2020,NTD_YAWSNUM_CONF,
NER,2021,NTD_YAWSNUM_CONF,
BLZ,2017,NTD_YAWSNUM_CONF,
KIR,2021,NTD_YAWSNUM_CONF,
MYS,2022,NTD_YAWSNUM_CONF,40.0
PER,2020,NTD_YAWSNUM_CONF,
TUV,2019,NTD_YAWSNUM_CONF,
SLV,2023,NTD_YAWSNUM_CONF,
BFA,2019,NTD_YAWSNUM_CONF,
UGA,2017,NTD_YAWSNUM_CONF,
TGO,2017,NTD_YAWSNUM_CONF,
MYS,2017,NTD_YAWSNUM_CONF,
KHM,2020,NTD_YAWSNUM_CONF,
CIV,2021,NTD_YAWSNUM_CONF,
SOM,2019,NTD_YAWSNUM_CONF,
BRA,2017,NTD_YAWSNUM_CONF,
CIV,2020,NTD_YAWSNUM_CONF,20.0
COM,2018,NTD_YAWSNUM_CONF,
COG,2018,NTD_YAWSNUM_CONF,
