IndicatorCode,NTD_YAWSNUM,NTD_YAWSNUM,NTD_YAWSNUM,NTD_YAWSNUM,NTD_YAWSNUM,NTD_YAWSNUM,NTD_YAWSNUM,NTD_YAWSNUM,NTD_YAWSNUM,NTD_YAWSNUM_CONF,NTD_YAWSNUM_CONF,NTD_YAWSNUM_CONF,NTD_YAWSNUM_CONF,NTD_YAWSNUM_CONF,NTD_YAWSNUM_CONF,NTD_YAWSNUM_CONF,NTD_YAWSNUM_CONF,NTD_YAWSNUM_SUSP,NTD_YAWSNUM_SUSP,NTD_YAWSNUM_SUSP,NTD_YAWSNUM_SUSP,NTD_YAWSNUM_SUSP,NTD_YAWSNUM_SUSP,NTD_YAWSNUM_SUSP,NTD_YAWSNUM_SUSP,NTD_YAWSNUM_SUSP,NTD_YAWSNUM_SUSP,NTD_YAWSNUM_SUSP,NTD_YAWSNUM_SUSP,NTD_YAWSNUM_SUSP,NTD_YAWSNUM_SUSP,NTD_YAWSNUM_SUSP,NTD_YAWSNUM_SUSP,NTD_YAWSNUM_SUSP
YEAR,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,76.0,,,
BEN,,,45.0,,11.0,,,,,,4.0,,9.0,2.0,1.0,3.0,13.0,,,45.0,,11.0,,,,,,4.0,11.0,9.0,198.0,499.0,203.0,8538.0
BFA,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
CAF,243.0,,,,230.0,,,,,,,,,12.0,13.0,166.0,,243.0,,,,230.0,,,,,,,,,1218.0,58.0,274.0,
CIV,,,3740.0,3343.0,3092.0,2256.0,2650.0,1940.0,1581.0,15.0,30.0,,20.0,,119.0,100.0,18.0,,,3740.0,3343.0,3092.0,2256.0,2650.0,1940.0,1581.0,1749.0,3240.0,1749.0,564.0,106.0,36828.0,8200.0,2063.0
CMR,,,802.0,133.0,59.0,97.0,530.0,463.0,890.0,53.0,150.0,,,37.0,80.0,6.0,0.0,,,802.0,133.0,59.0,97.0,530.0,463.0,890.0,1237.0,2591.0,1713.0,,647.0,2352.0,535.0,1620.0
COD,383.0,,,,,,,,,,27.0,,18.0,27.0,300.0,514.0,412.0,383.0,,,,,,,,429.0,,27.0,40.0,45.0,669.0,1012.0,1024.0,4206.0
COG,,646.0,,,197.0,,,,,,,,,623.0,61.0,72.0,0.0,,646.0,,,197.0,,3.0,10.0,8.0,,,,,1871.0,476.0,625.0,392.0
CUB,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,
ECU,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
GAB,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
GHA,20525.0,35248.0,18157.0,9674.0,8980.0,18702.0,2055.0,1636.0,1481.0,26.0,448.0,,146.0,184.0,758.0,276.0,313.0,20525.0,35248.0,18157.0,9674.0,8980.0,18702.0,2055.0,1636.0,1497.0,1917.0,1833.0,1483.0,4695.0,3367.0,17056.0,5106.0,10051.0
GIN,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,
GNB,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,
IDN,6083.0,7751.0,6178.0,6631.0,4360.0,2043.0,1521.0,3379.0,2762.0,1218.0,,,,,,,,6083.0,7751.0,6178.0,6631.0,4360.0,2043.0,1521.0,3379.0,2762.0,1218.0,355.0,9110.0,6541.0,8027.0,40570.0,88646.0,
IND,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
JAM,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
LBR,,,,,,,,,,0.0,24.0,,0.0,0.0,7.0,19.0,50.0,,,,,,,,2.0,,0.0,24.0,,6.0,27.0,49.0,95.0,93.0
MYS,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,40.0,3.0,
NGA,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
NIC,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
PHL,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,150.0,,,,,,,
PNG,28989.0,25822.0,29061.0,28989.0,17560.0,19710.0,29886.0,28584.0,33891.0,,,,,,,,,28989.0,25822.0,29061.0,28989.0,17560.0,19710.0,29886.0,28584.0,33953.0,25444.0,54082.0,69723.0,81369.0,93014.0,96817.0,100165.0,103286.0
RWA,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
SEN,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
SLB,,,20635.0,,12372.0,14909.0,13312.0,9736.0,18082.0,,,,,15.0,,,,,,20635.0,,12372.0,14909.0,13312.0,9736.0,18082.0,13403.0,13048.0,13694.0,12409.0,13599.0,12397.0,9402.0,17307.0
SLE,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,
SUR,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
TGO,,,15.0,,,,15.0,7.0,11.0,,,0.0,24.0,33.0,22.0,19.0,1.0,,,15.0,,,,13.0,7.0,11.0,,,,291.0,1028.0,740.0,4886.0,2908.0
TLS,,,,,,,,,,3.0,0.0,,,,,,,,,,,,,,,,3098.0,194.0,265.0,165.0,204.0,127.0,,
TTO,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,
VUT,,,1593.0,2331.0,2514.0,1198.0,615.0,317.0,609.0,169.0,205.0,99.0,48.0,63.0,127.0,321.0,189.0,,2432.0,2017.0,2334.0,2508.0,1461.0,615.0,317.0,663.0,504.0,728.0,374.0,823.0,2320.0,690.0,3220.0,1700.0
